;sc;ALO;MSC;TRU;HEI;WEB;RSC;KLI;DLR;RAI;FIS;BUT;MAS;SAT;COU;VIL;MTR;KAR;ALB;FRI;BAR
0;0;1;2;3;5;4;6;np;9;7;8;10;12;11;16;14;17;15;19;18;13
1;0;1;2;3;5;4;6;np;10;7;8;12;13;9;16;14;17;15;19;18;11
2;0;1;2;3;5;4;6;np;9;7;14;11;12;8;15;13;16;ab;18;17;10
3;0;1;2;3;5;4;6;np;9;7;17;11;12;8;14;13;15;ab;18;16;10
4;0;1;2;3;5;4;6;np;9;7;ab;11;12;8;14;13;15;ab;17;16;10
5;0;1;2;3;5;4;6;np;9;7;ab;11;12;8;14;13;15;ab;17;16;10
6;0;1;2;3;5;4;6;np;9;7;ab;11;12;8;14;13;15;ab;17;16;10
7;0;1;2;3;5;4;6;np;9;7;ab;11;12;8;14;13;15;ab;17;16;10
8;0;1;2;3;6;4;5;np;9;7;ab;11;12;8;14;13;15;ab;17;16;10
9;0;1;2;3;6;4;5;np;9;7;ab;11;12;8;14;13;16;ab;17;15;10
10;0;1;2;3;6;4;5;np;9;7;ab;11;12;8;14;13;16;ab;17;15;10
11;0;1;14;2;5;3;4;np;8;6;ab;10;11;7;13;12;16;ab;17;15;9
12;0;1;ab;2;5;3;4;np;8;6;ab;10;11;7;13;12;15;ab;16;14;9
13;0;1;ab;2;5;3;4;np;8;6;ab;10;11;7;13;12;15;ab;16;14;9
14;0;1;ab;2;5;3;4;np;8;6;ab;10;11;7;13;12;15;ab;16;14;9
15;0;1;ab;2;5;3;4;np;8;6;ab;10;11;7;13;12;15;ab;16;14;9
16;0;1;ab;2;5;3;4;np;8;6;ab;10;11;7;13;12;14;ab;16;15;9
17;0;1;ab;2;5;3;4;np;8;6;ab;10;11;7;13;12;14;ab;16;15;9
18;0;1;ab;2;4;3;12;np;7;5;ab;9;10;6;13;11;14;ab;16;15;8
19;0;1;ab;2;4;3;12;np;7;5;ab;9;10;6;13;11;14;ab;16;15;8
20;0;3;ab;1;4;2;12;np;9;5;ab;8;10;6;13;11;14;ab;16;15;7
21;0;1;ab;4;2;10;12;np;8;3;ab;7;9;5;13;11;14;ab;16;15;6
22;0;1;ab;4;3;9;11;np;8;2;ab;7;13;5;12;10;14;ab;16;15;6
23;0;1;ab;3;9;7;10;np;12;2;ab;6;13;4;11;8;14;ab;16;15;5
24;0;1;ab;2;8;5;9;np;12;6;ab;11;13;3;10;7;14;ab;16;15;4
25;0;1;ab;2;ab;3;5;np;9;4;ab;8;11;10;6;12;13;ab;15;14;7
26;0;1;ab;2;ab;3;5;np;8;4;ab;7;9;11;12;10;13;ab;15;14;6
27;0;1;ab;2;ab;3;5;np;8;4;ab;7;9;ab;11;10;12;ab;14;13;6
28;0;1;ab;2;ab;3;5;np;8;4;ab;7;9;ab;11;10;12;ab;14;13;6
29;0;1;ab;2;ab;3;5;np;8;4;ab;7;9;ab;11;10;12;ab;14;13;6
30;0;1;ab;2;ab;3;5;np;8;4;ab;7;9;ab;11;10;12;ab;14;13;6
31;0;1;ab;2;ab;3;5;np;8;4;ab;7;9;ab;11;10;12;ab;14;13;6
32;0;1;ab;2;ab;3;5;np;7;4;ab;8;9;ab;11;10;12;ab;14;13;6
33;0;1;ab;2;ab;5;4;np;7;3;ab;8;9;ab;11;10;12;ab;14;13;6
