;sc;RAI;ALO;BUT;WEB;TRU;SAT;WUR;HEI;BAR;RSC;VIL;FIS;MSC;COU;LIU;KAR;MTR;MAS;FRI;ALB
0;0;1;2;3;5;4;6;7;10;9;12;8;11;13;15;14;16;17;18;19;20
1;0;1;2;3;5;4;6;7;10;9;12;8;11;13;15;14;16;18;17;19;20
2;0;1;2;3;5;4;6;7;10;9;12;8;11;13;15;14;16;18;17;19;20
3;0;1;2;3;5;4;6;7;10;9;12;8;11;13;15;14;17;18;16;19;20
4;0;1;2;3;5;4;6;7;10;9;12;8;11;13;15;14;17;18;16;19;20
5;0;1;2;3;5;4;6;7;10;9;11;8;ab;12;14;13;16;17;15;18;19
6;0;1;2;3;5;4;6;7;10;9;11;8;ab;12;14;13;16;17;15;18;19
7;0;1;2;3;5;4;6;7;10;9;11;8;ab;12;14;13;16;17;15;18;19
8;0;18;1;2;4;3;5;6;9;8;10;7;ab;11;13;12;15;16;14;ab;17
9;0;ab;1;2;4;3;5;6;9;8;10;7;ab;11;13;12;15;16;14;ab;17
10;0;ab;1;2;4;3;5;6;9;8;10;7;ab;11;13;12;15;16;14;ab;17
11;0;ab;1;2;4;3;5;6;9;8;10;7;ab;11;13;12;15;16;14;ab;17
12;0;ab;1;2;4;3;5;6;9;8;10;7;ab;11;13;12;15;16;14;ab;17
13;0;ab;1;2;4;3;5;6;9;8;10;7;ab;11;13;12;15;16;14;ab;17
14;0;ab;1;2;4;3;5;6;9;8;10;7;ab;11;13;12;15;16;14;ab;17
15;0;ab;1;2;4;3;5;6;9;8;10;7;ab;11;13;12;15;16;14;ab;17
16;0;ab;1;2;4;3;5;6;9;8;10;7;ab;11;13;12;14;15;16;ab;17
17;0;ab;1;2;4;3;5;6;8;15;9;7;ab;10;12;11;13;14;16;ab;17
18;0;ab;1;2;4;3;5;6;8;ab;9;7;ab;10;12;11;13;14;15;ab;16
19;0;ab;1;2;4;3;5;6;8;ab;9;7;ab;10;12;11;13;14;15;ab;16
20;0;ab;1;2;4;3;5;6;8;ab;9;7;ab;10;12;11;13;15;14;ab;ab
21;0;ab;1;2;5;4;3;6;11;ab;12;7;ab;8;10;9;13;15;14;ab;ab
22;0;ab;1;2;8;7;3;4;11;ab;12;6;ab;5;10;9;13;15;14;ab;ab
23;0;ab;2;1;7;6;5;3;11;ab;12;9;ab;4;10;8;13;15;14;ab;ab
24;0;ab;1;2;7;6;5;4;11;ab;12;8;ab;3;10;9;13;15;14;ab;ab
25;0;ab;1;2;7;6;5;4;10;ab;11;8;ab;3;12;9;14;15;13;ab;ab
26;0;ab;1;2;7;6;5;4;10;ab;11;8;ab;3;12;9;14;15;13;ab;ab
27;0;ab;1;2;7;6;5;4;9;ab;10;8;ab;3;12;11;14;15;13;ab;ab
28;0;ab;1;2;7;6;5;4;9;ab;10;8;ab;3;12;11;14;15;13;ab;ab
29;0;ab;1;2;8;6;5;4;9;ab;10;7;ab;3;12;11;14;15;13;ab;ab
30;0;ab;1;2;8;6;5;4;9;ab;10;7;ab;3;12;11;14;15;13;ab;ab
31;0;ab;1;2;8;6;5;4;9;ab;10;7;ab;3;12;11;14;15;13;ab;ab
32;0;ab;1;2;8;6;5;4;9;ab;10;7;ab;3;12;11;14;15;13;ab;ab
33;0;ab;1;2;8;6;5;4;9;ab;10;7;ab;3;12;11;14;15;13;ab;ab
34;0;ab;1;2;8;6;5;4;9;ab;10;7;ab;3;12;11;14;15;13;ab;ab
35;0;ab;1;2;8;6;5;4;9;ab;10;7;ab;3;13;11;14;15;12;ab;ab
36;0;ab;1;2;8;6;5;4;9;ab;10;7;ab;3;13;11;14;15;12;ab;ab
37;0;ab;1;2;8;6;5;4;9;ab;10;7;ab;3;13;11;14;15;12;ab;ab
38;0;ab;1;2;8;6;5;4;9;ab;10;7;ab;3;13;11;14;15;12;ab;ab
39;0;ab;1;2;8;6;5;4;9;ab;10;7;ab;3;13;11;14;15;12;ab;ab
40;0;ab;1;2;8;6;5;4;9;ab;10;7;ab;3;13;11;14;15;12;ab;ab
41;0;ab;1;2;8;6;5;4;9;ab;10;7;ab;3;12;11;13;15;14;ab;ab
42;0;ab;3;1;11;6;5;4;8;ab;9;7;ab;2;12;10;14;15;13;ab;ab
43;0;ab;3;1;11;6;5;4;8;ab;9;7;ab;2;12;10;14;15;13;ab;ab
44;0;ab;3;1;11;6;5;4;10;ab;9;7;ab;2;12;8;14;15;13;ab;ab
45;0;ab;3;1;11;8;5;4;10;ab;9;6;ab;2;12;7;14;15;13;ab;ab
46;0;ab;3;2;11;8;5;4;10;ab;9;7;ab;1;13;6;14;15;12;ab;ab
47;0;ab;3;2;10;7;5;4;9;ab;8;6;ab;1;13;11;14;15;12;ab;ab
