;sc;RAI;WEB;ALO;RSC;TRU;FIS;MON;MSC;COU;MAS;LIU;VIL;KAR;ALB;FRI;BAR;HEI;MTR
0;1;1;4;2;3;5;6;8;7;9;10;13;11;15;17;18;14;12;16
1;1;1;4;2;3;5;6;8;7;9;10;13;11;15;17;18;14;12;16
2;0;1;4;2;3;5;6;7;8;9;10;13;11;15;17;18;14;12;16
3;0;1;4;2;3;5;6;7;8;9;10;13;11;15;17;18;14;12;16
4;0;1;4;2;3;5;6;7;8;9;10;13;11;15;17;18;14;12;16
5;0;1;4;2;3;5;6;7;8;9;10;13;11;15;17;18;14;12;16
6;0;1;4;2;3;5;6;7;8;9;10;13;11;15;17;18;14;12;16
7;0;1;4;2;3;5;6;7;8;9;10;13;11;15;17;18;14;12;16
8;0;1;4;2;3;5;6;7;8;9;10;13;11;15;17;18;14;12;16
9;0;1;4;2;3;5;6;7;8;9;10;ab;11;14;16;17;13;12;15
10;0;1;4;2;3;5;6;7;8;9;10;ab;11;14;16;17;13;12;15
11;0;1;4;2;3;5;6;7;8;9;10;ab;11;14;16;ab;13;12;15
12;0;1;4;2;3;5;6;7;8;9;10;ab;11;15;16;ab;13;12;14
13;0;1;4;2;3;5;6;7;8;9;10;ab;11;15;16;ab;13;12;14
14;0;1;4;2;3;5;6;7;8;9;10;ab;11;15;16;ab;13;12;14
15;0;1;4;2;3;5;6;7;8;9;10;ab;11;15;16;ab;13;12;14
16;0;1;4;2;3;5;6;7;8;9;10;ab;11;15;16;ab;13;12;14
17;0;1;5;2;3;4;6;7;8;9;10;ab;11;15;16;ab;13;12;14
18;0;1;10;2;3;4;5;6;7;8;9;ab;11;15;16;ab;13;12;14
19;0;1;10;2;3;4;5;6;7;8;9;ab;11;15;ab;ab;13;12;14
20;0;1;10;2;3;4;5;6;7;8;9;ab;11;15;ab;ab;13;12;14
21;0;1;10;2;3;4;5;6;7;8;9;ab;11;15;ab;ab;13;12;14
22;0;1;10;2;3;4;5;6;7;8;9;ab;11;15;ab;ab;13;12;14
