;sc;RAI;ALO;WEB;FIS;TRU;HEI;COU;MSC;VIL;BAR;MAS;LIU;FRI;ALB;MTR;MON;KAR;RSC
0;0;1;2;5;3;4;6;7;8;10;11;9;13;14;15;16;12;18;17
1;0;1;2;5;3;4;6;7;8;10;11;9;13;14;15;16;12;18;17
2;0;1;2;5;3;4;6;7;8;10;11;9;13;14;15;17;12;18;16
3;0;1;2;5;3;4;6;7;8;10;11;9;13;14;16;17;12;18;15
4;0;1;2;5;3;4;6;7;8;10;11;9;13;14;16;17;12;18;15
5;0;1;2;5;3;4;6;7;8;10;11;9;13;14;16;17;12;18;15
6;0;1;2;5;3;4;6;7;8;10;11;9;13;14;16;17;12;18;15
7;0;1;2;5;3;4;6;7;8;10;11;9;13;15;16;17;12;18;14
8;0;1;2;5;3;4;6;7;8;10;11;9;13;15;16;17;12;18;14
9;0;1;2;5;3;4;6;7;8;10;11;9;13;15;16;17;12;18;14
10;0;1;2;5;3;4;6;7;8;10;11;9;13;15;16;17;12;18;14
11;0;1;2;5;3;4;6;7;8;10;11;9;13;15;16;17;12;18;14
12;0;1;2;5;3;4;6;7;8;10;11;9;13;15;16;17;12;18;14
13;0;1;2;5;3;4;6;7;8;10;11;9;13;15;16;17;12;18;14
14;0;1;2;5;3;4;6;7;8;10;11;9;13;15;16;17;12;18;14
15;0;1;2;5;3;4;6;7;8;10;11;9;13;15;16;17;12;18;14
16;0;1;2;5;3;4;6;7;8;10;11;9;13;15;16;17;12;18;14
17;0;1;2;5;3;4;6;7;8;10;11;9;13;15;16;17;12;18;14
18;0;1;2;5;3;4;6;7;8;10;11;9;13;15;16;17;12;ab;14
19;0;1;2;5;3;4;6;7;8;10;11;9;13;15;16;17;12;ab;14
20;0;1;2;5;3;4;6;7;8;10;11;9;13;15;16;17;12;ab;14
21;0;1;2;5;3;4;6;7;8;10;11;9;13;15;16;17;12;ab;14
22;0;1;2;5;3;4;6;7;8;10;11;9;13;15;17;16;12;ab;14
23;1;1;2;5;3;4;6;ab;13;8;9;7;11;14;16;15;10;ab;12
24;1;1;3;4;6;2;5;ab;13;8;9;7;11;14;16;15;10;ab;12
25;1;1;3;4;8;2;5;ab;13;7;9;6;11;14;16;15;10;ab;12
26;1;1;3;4;8;2;5;ab;13;7;9;6;11;14;16;15;10;ab;12
27;1;1;3;4;8;2;5;ab;13;7;9;6;11;14;16;15;10;ab;12
28;0;1;3;4;8;2;5;ab;13;7;9;6;11;14;16;15;10;ab;12
29;0;1;3;4;8;2;5;ab;13;7;9;6;11;ab;15;14;10;ab;12
30;0;1;3;4;8;2;5;ab;13;7;9;6;11;ab;15;14;10;ab;12
31;0;1;3;4;8;2;5;ab;13;7;9;6;11;ab;15;14;10;ab;12
32;0;1;3;4;8;2;5;ab;13;7;9;6;11;ab;15;14;10;ab;12
33;0;1;3;4;8;2;5;ab;13;7;9;6;11;ab;15;14;10;ab;12
34;0;1;3;4;8;2;5;ab;13;7;9;6;11;ab;15;14;10;ab;12
35;0;1;3;4;8;2;5;ab;13;7;9;6;11;ab;15;14;10;ab;12
36;0;1;3;4;7;2;5;ab;13;12;8;6;10;ab;15;14;9;ab;11
37;0;1;3;4;7;2;5;ab;13;12;8;6;10;ab;15;14;9;ab;11
38;0;1;2;3;6;9;4;ab;13;12;7;5;10;ab;15;14;8;ab;11
39;0;1;2;3;6;11;4;ab;13;12;7;5;9;ab;15;14;8;ab;10
40;0;1;2;3;6;10;4;ab;13;12;7;5;9;ab;15;14;8;ab;11
41;0;1;2;3;6;10;4;ab;13;11;7;5;9;ab;15;14;8;ab;12
42;0;1;2;3;6;10;4;ab;13;11;7;5;9;ab;15;14;8;ab;12
43;0;1;2;3;6;10;4;ab;13;11;7;5;9;ab;15;14;8;ab;12
44;0;1;2;3;6;8;4;ab;12;10;13;5;9;ab;15;14;7;ab;11
45;0;1;2;3;6;7;4;ab;11;9;13;5;12;ab;15;14;8;ab;10
46;0;1;2;3;6;7;4;ab;11;9;13;5;12;ab;15;14;8;ab;10
47;0;1;2;3;6;7;4;ab;11;9;13;5;12;ab;15;14;8;ab;10
48;0;1;2;3;6;7;4;ab;11;9;13;5;12;ab;15;14;8;ab;10
49;0;1;2;3;5;6;4;ab;11;9;13;7;12;ab;15;14;8;ab;10
50;0;1;2;3;5;6;4;ab;11;9;13;7;12;ab;15;14;8;ab;10
51;0;1;2;3;5;6;4;ab;11;9;13;7;12;ab;15;14;8;ab;10
52;0;1;2;3;5;6;4;ab;11;9;13;7;12;ab;15;14;8;ab;10
53;0;1;2;3;5;6;4;ab;11;9;13;7;12;ab;15;14;8;ab;10
54;0;1;2;3;5;6;4;ab;11;9;13;7;12;ab;15;14;8;ab;10
55;0;1;2;3;5;6;4;ab;11;9;12;7;13;ab;15;14;8;ab;10
56;0;1;2;3;5;6;4;ab;11;9;12;7;13;ab;15;14;8;ab;10
57;0;1;2;4;5;6;3;ab;12;9;11;7;13;ab;15;14;8;ab;10
58;0;1;2;4;5;6;3;ab;13;9;11;7;12;ab;15;14;8;ab;10
59;0;1;2;4;5;6;3;ab;12;9;11;7;ab;ab;14;13;8;ab;10
60;0;1;2;4;5;6;3;ab;12;9;11;8;ab;ab;14;13;7;ab;10
61;0;1;2;4;5;6;3;ab;12;9;11;8;ab;ab;14;13;7;ab;10
62;0;1;2;4;5;6;3;ab;10;12;9;11;ab;ab;14;13;7;ab;8
63;0;1;2;4;10;9;3;ab;8;12;7;11;ab;ab;14;13;5;ab;6
64;0;1;2;4;9;11;3;ab;8;12;7;10;ab;ab;14;13;5;ab;6
65;0;1;2;4;9;11;3;ab;8;12;7;10;ab;ab;14;13;5;ab;6
66;0;1;2;4;9;11;3;ab;8;12;7;10;ab;ab;14;13;5;ab;6
67;0;1;2;4;9;11;3;ab;8;12;7;10;ab;ab;14;13;5;ab;6
68;0;1;2;4;9;11;3;ab;8;12;7;10;ab;ab;14;13;5;ab;6
69;0;1;2;4;9;11;3;ab;8;12;7;10;ab;ab;14;13;5;ab;6
70;0;1;3;4;9;11;2;ab;8;12;7;10;ab;ab;14;13;5;ab;6
71;0;1;3;4;10;11;2;ab;8;12;7;9;ab;ab;14;13;5;ab;6
72;0;1;3;4;10;11;2;ab;8;12;7;9;ab;ab;14;13;5;ab;6
73;0;1;4;3;10;11;2;ab;8;12;7;9;ab;ab;14;13;5;ab;6
74;0;1;4;3;12;10;2;ab;8;11;7;9;ab;ab;14;13;5;ab;6
75;0;1;4;3;12;10;2;ab;8;11;7;9;ab;ab;14;13;5;ab;6
76;0;1;4;3;12;10;2;ab;8;11;7;9;ab;ab;14;13;5;ab;6
77;0;1;4;3;12;10;2;ab;7;11;8;9;ab;ab;14;13;5;ab;6
