;sc;HEI;RAI;WEB;TRU;MON;ALO;BAR;RSC;FIS;MSC;MAS;COU;BUT;LIU;VIL;SAT;MTR;FRI;KAR;ALB
0;0;2;1;ab;3;13;5;9;19;17;14;6;4;8;7;12;18;10;15;11;16
1;0;2;1;ab;3;10;5;9;19;16;12;6;4;8;7;14;18;11;15;13;17
2;0;2;1;ab;3;10;5;9;19;15;11;6;4;8;7;14;18;12;16;13;17
3;0;2;1;ab;3;10;5;9;19;13;11;6;4;8;7;15;18;12;16;14;17
4;0;2;1;ab;3;10;5;9;19;12;11;6;4;8;7;15;18;13;16;14;17
5;0;2;1;ab;3;9;5;8;19;12;11;6;4;10;7;15;18;13;16;14;17
6;0;2;1;ab;3;9;5;8;19;12;11;6;4;10;7;15;18;13;16;14;17
7;0;2;1;ab;5;9;4;7;19;12;11;6;3;10;8;15;18;13;16;14;17
8;0;2;1;ab;9;8;4;6;19;12;11;5;3;10;7;15;18;13;16;14;17
9;0;2;1;ab;9;8;4;6;19;12;11;5;3;10;7;15;18;13;17;14;16
10;0;2;1;ab;9;8;4;6;19;12;10;5;3;11;7;15;18;13;17;14;16
11;0;2;1;ab;8;7;4;12;19;11;9;5;3;10;6;14;17;13;18;15;16
12;0;4;1;ab;8;7;3;12;18;11;9;5;2;10;6;14;16;13;19;15;17
13;0;4;1;ab;8;7;3;12;18;11;9;5;2;10;6;14;16;13;19;15;17
14;0;4;1;ab;8;7;3;12;17;11;9;5;2;10;6;14;16;13;19;15;18
15;0;4;1;ab;8;7;3;12;17;11;9;5;2;10;6;14;16;13;19;15;18
16;0;4;1;ab;8;7;3;12;17;11;9;5;2;10;6;14;16;13;19;15;18
17;0;4;1;ab;9;7;3;12;17;11;8;5;2;10;6;14;16;13;19;15;18
18;0;4;3;ab;12;8;2;11;17;10;6;5;1;9;7;14;16;13;19;15;18
19;0;4;3;ab;12;10;1;8;17;7;5;9;2;6;11;14;16;13;19;15;18
20;0;3;2;ab;12;10;1;7;17;6;9;8;4;5;11;13;16;15;19;14;18
21;0;3;2;ab;12;10;1;7;16;6;9;8;4;5;11;13;15;17;19;14;18
22;0;3;2;ab;11;9;1;6;15;12;8;7;4;5;10;13;14;17;19;16;18
23;0;2;1;ab;10;8;3;4;15;12;7;6;5;11;9;13;14;17;19;16;18
24;0;2;1;ab;10;8;3;4;14;12;7;6;5;11;9;15;13;17;19;16;18
25;0;2;1;ab;10;8;3;4;14;12;7;6;5;11;9;15;13;17;19;16;18
26;0;2;1;ab;10;8;3;4;14;12;7;6;5;11;9;15;13;17;19;16;18
27;0;2;1;ab;10;8;3;4;14;12;7;6;5;11;9;15;13;17;19;16;18
28;0;2;1;ab;10;8;3;4;14;12;7;6;5;11;9;15;13;17;19;16;18
29;0;1;2;ab;10;8;3;4;14;12;7;6;5;11;9;15;13;17;19;16;18
30;0;2;1;ab;10;8;3;4;14;12;7;6;5;11;9;15;13;17;19;16;18
31;0;4;1;ab;10;8;2;3;14;12;7;6;5;11;9;15;13;17;19;16;18
32;0;4;1;ab;10;8;2;3;14;12;7;6;5;11;9;15;13;17;19;16;18
33;0;3;1;ab;10;8;2;4;ab;12;7;6;5;11;9;14;13;16;18;15;17
34;0;3;1;ab;10;8;2;4;ab;12;7;6;5;11;9;14;13;16;18;15;17
35;0;3;1;ab;10;8;2;4;ab;12;7;6;5;11;9;14;13;16;18;15;17
36;0;3;1;ab;10;8;2;4;ab;12;7;6;5;11;9;14;13;16;18;15;17
37;0;3;1;ab;10;8;2;4;ab;12;7;6;5;11;9;14;13;16;18;15;17
38;0;3;1;ab;10;8;2;4;ab;12;7;6;5;11;9;14;13;16;18;15;17
39;0;3;1;ab;10;8;2;4;ab;12;7;6;5;11;9;14;13;15;18;16;17
40;0;3;1;ab;10;8;2;4;ab;12;7;6;5;11;9;14;13;15;18;16;17
41;0;3;1;ab;10;8;2;4;ab;12;7;6;5;11;9;14;13;15;18;16;17
42;0;3;1;ab;10;8;2;4;ab;12;7;6;5;11;9;14;13;15;18;16;17
43;0;3;2;ab;9;8;1;4;ab;12;6;7;5;11;10;14;13;15;18;16;17
44;0;3;2;ab;8;7;1;4;ab;10;6;11;5;9;12;14;13;16;18;15;17
45;0;3;2;ab;11;10;1;4;ab;7;6;9;5;8;12;14;13;16;18;15;17
46;0;3;2;ab;10;9;1;4;ab;6;7;8;5;12;11;14;13;16;18;15;17
47;0;2;1;ab;10;9;4;3;ab;6;7;8;5;12;11;14;13;16;18;15;17
48;0;2;1;ab;10;9;3;4;ab;6;7;8;5;12;11;14;13;16;18;15;17
49;0;2;1;ab;10;8;3;4;ab;6;7;9;5;12;11;14;13;16;18;15;17
50;0;3;1;ab;10;8;2;4;ab;7;6;9;5;12;11;14;13;16;18;15;17
51;0;3;1;ab;9;8;2;4;ab;7;6;10;5;12;11;14;13;16;18;15;17
52;0;3;1;ab;9;8;2;4;ab;7;6;10;5;12;11;14;13;16;18;15;17
53;0;3;1;ab;9;8;2;4;ab;7;6;13;5;11;10;14;12;16;18;15;17
54;0;3;1;ab;9;8;2;4;ab;7;6;14;5;11;10;13;12;15;18;16;17
55;0;3;1;ab;9;8;2;4;ab;7;6;14;5;11;10;13;12;15;18;16;17
56;0;3;1;ab;9;8;2;4;ab;7;6;14;5;11;10;13;12;15;18;16;17
57;0;3;1;ab;9;8;2;4;ab;7;6;14;5;11;10;13;12;15;18;16;17
58;0;2;11;ab;8;7;1;3;ab;6;5;14;4;10;9;13;12;15;18;16;17
