;sc;MSC;MAS;ALO;TRU;RSC;RAI;FIS;DLR;COU;WEB;HEI;KLI;BAR;SPE;ALB;VIL;BUT;MTR;ROS;MTG;SAT;LIU
0;0;1;2;3;4;5;6;7;9;11;8;10;15;12;13;18;14;16;21;17;20;ab;19
1;0;1;2;3;4;5;6;7;9;11;8;10;15;12;13;19;14;16;21;17;20;ab;18
2;0;1;2;3;4;5;6;7;9;11;8;10;15;12;13;19;14;16;21;17;20;ab;18
3;0;1;2;3;4;5;6;7;9;11;8;10;15;12;13;19;14;16;21;17;20;ab;18
4;0;1;2;3;4;5;6;7;9;11;8;10;15;12;13;19;14;16;21;17;20;ab;18
5;0;1;2;3;4;5;6;7;9;11;8;10;15;13;12;19;14;16;21;17;20;ab;18
6;0;1;2;3;4;5;6;7;9;11;8;10;15;13;12;19;14;16;21;17;20;ab;18
7;0;1;2;3;4;5;6;7;9;11;8;10;15;13;12;19;14;16;21;17;20;ab;18
8;0;1;2;3;4;5;6;7;9;11;8;10;15;13;12;19;14;16;21;17;20;ab;18
9;0;1;2;3;4;5;6;7;9;11;8;10;15;13;12;19;14;16;21;17;20;ab;18
10;0;1;2;3;4;5;6;7;9;11;8;10;15;13;12;19;14;16;21;17;20;ab;18
11;0;1;2;3;4;5;6;7;9;11;8;10;15;13;12;19;14;16;ab;17;20;ab;18
12;0;1;2;3;4;5;6;7;9;11;8;10;15;13;12;19;14;16;ab;17;20;ab;18
13;0;1;2;3;4;5;6;7;9;11;8;10;15;14;12;19;13;16;ab;17;20;ab;18
14;0;1;2;3;4;5;6;7;9;11;8;10;15;14;12;19;13;16;ab;17;20;ab;18
15;0;1;2;3;4;5;6;7;9;11;8;10;15;14;12;19;13;16;ab;17;20;ab;18
16;0;1;7;2;3;4;5;6;9;11;8;10;15;14;12;19;13;16;ab;17;20;ab;18
17;0;1;5;6;2;3;7;4;9;11;8;10;15;14;12;19;13;16;ab;17;20;ab;18
18;0;3;4;5;1;2;6;7;13;10;8;9;14;ab;11;18;12;15;ab;16;19;ab;17
19;0;3;4;5;1;2;6;7;12;9;13;8;14;ab;10;18;11;15;ab;16;19;ab;17
20;0;2;3;4;5;1;6;7;12;9;13;8;14;ab;10;18;11;15;ab;16;19;ab;17
21;0;2;3;4;5;1;6;7;12;9;13;8;14;ab;10;16;11;17;ab;18;19;ab;15
22;0;1;2;3;4;7;5;6;12;9;13;8;14;ab;10;16;11;17;ab;18;19;ab;15
23;0;1;2;3;4;7;5;6;12;9;13;8;14;ab;10;16;11;17;ab;18;19;ab;15
24;0;1;2;3;4;7;5;6;12;9;13;8;14;ab;10;16;11;17;ab;18;19;ab;15
25;0;1;2;3;4;7;5;6;11;8;12;13;14;ab;9;16;10;17;ab;18;19;ab;15
26;0;1;2;3;5;7;4;6;10;8;12;13;14;ab;9;18;11;16;ab;17;19;ab;15
27;0;1;2;3;5;7;4;6;10;8;11;12;13;ab;9;18;15;16;ab;17;19;ab;14
28;0;1;2;3;5;7;4;6;9;8;10;11;12;ab;14;18;15;16;ab;17;19;ab;13
29;0;1;2;3;5;7;4;6;8;11;9;10;12;ab;14;18;15;16;ab;17;19;ab;13
30;0;1;2;3;5;7;4;6;8;11;9;10;12;ab;14;18;15;16;ab;17;19;ab;13
31;0;1;2;3;5;7;4;6;8;11;9;10;15;ab;12;18;13;14;ab;17;19;ab;16
32;0;1;2;3;4;6;7;5;8;11;9;10;15;ab;12;18;13;14;ab;17;19;ab;16
33;0;1;2;3;4;6;7;5;8;11;9;10;15;ab;12;18;13;14;ab;17;19;ab;16
34;0;1;3;2;4;6;7;5;8;11;9;10;15;ab;12;18;13;14;ab;17;19;ab;16
35;0;1;3;2;4;6;7;5;10;11;8;9;15;ab;12;18;13;14;ab;17;19;ab;16
36;0;1;3;2;4;6;7;5;9;11;8;10;15;ab;12;18;13;14;ab;17;19;ab;16
37;0;1;3;2;4;6;7;5;8;10;11;9;15;ab;12;18;13;14;ab;17;19;ab;16
38;0;2;3;1;11;5;6;4;7;9;17;8;14;ab;10;18;12;13;ab;16;19;ab;15
39;0;2;3;1;ab;5;6;4;7;9;18;8;13;ab;10;16;11;12;ab;15;17;ab;14
40;0;2;3;1;ab;5;6;4;7;9;18;8;13;ab;10;16;11;12;ab;15;17;ab;14
41;0;1;3;2;ab;5;6;4;7;9;18;8;13;ab;10;16;11;12;ab;15;17;ab;14
42;0;1;2;3;ab;5;6;4;7;9;18;8;13;ab;10;16;11;12;ab;15;17;ab;14
43;0;1;2;3;ab;5;6;4;7;9;18;8;13;ab;10;16;11;12;ab;15;17;ab;14
44;0;1;2;3;ab;4;6;5;7;9;18;8;13;ab;10;15;11;12;ab;16;17;ab;14
45;0;1;2;3;ab;4;5;6;7;9;18;8;12;ab;10;15;11;14;ab;16;17;ab;13
46;0;1;2;3;ab;5;4;6;7;8;18;9;12;ab;10;15;11;14;ab;16;17;ab;13
47;0;1;2;3;ab;5;4;6;7;8;18;9;12;ab;10;15;11;14;ab;16;17;ab;13
48;0;1;2;3;ab;5;4;6;7;8;18;9;12;ab;10;16;11;14;ab;15;17;ab;13
49;0;1;2;3;ab;5;4;6;7;8;18;9;12;ab;10;16;11;14;ab;15;17;ab;13
50;0;1;2;3;ab;5;4;6;7;8;18;9;11;ab;13;16;10;14;ab;15;17;ab;12
51;0;1;2;3;ab;5;4;6;7;8;18;9;11;ab;13;16;10;14;ab;15;17;ab;12
52;0;1;2;3;ab;5;4;6;7;9;18;8;11;ab;12;16;10;13;ab;15;17;ab;14
53;0;1;3;2;ab;4;5;6;7;9;ab;8;13;ab;10;16;12;11;ab;15;17;ab;14
54;0;1;3;2;ab;4;5;6;7;9;ab;8;13;ab;10;16;12;11;ab;15;17;ab;14
55;0;1;3;2;ab;4;5;6;7;9;ab;8;13;ab;10;16;12;11;ab;15;17;ab;14
56;0;1;3;2;ab;4;5;6;7;9;ab;8;13;ab;10;16;12;11;ab;15;17;ab;14
57;0;1;3;2;ab;4;5;6;7;9;ab;8;13;ab;10;16;12;11;ab;15;17;ab;14
58;0;1;3;2;ab;4;5;6;7;9;ab;8;13;ab;10;16;12;11;ab;15;17;ab;14
59;0;1;3;2;ab;4;5;6;7;9;ab;8;13;ab;10;16;12;11;ab;15;17;ab;14
60;0;1;3;2;ab;4;5;6;7;9;ab;8;12;ab;10;16;11;14;ab;15;17;ab;13
61;0;1;3;2;ab;4;5;6;7;9;ab;8;12;ab;10;15;11;ab;ab;14;16;ab;13
62;0;1;3;2;ab;4;5;6;7;9;ab;8;12;ab;10;15;11;ab;ab;14;16;ab;13
63;0;1;3;2;ab;4;5;6;7;9;ab;8;12;ab;10;15;11;ab;ab;14;16;ab;13
64;0;1;3;2;ab;4;5;6;7;9;ab;8;12;ab;10;15;11;ab;ab;14;16;ab;13
65;0;1;3;2;ab;4;5;6;7;9;ab;8;12;ab;10;15;11;ab;ab;14;16;ab;13
66;0;1;3;2;ab;4;5;6;7;9;ab;8;12;ab;10;15;11;ab;ab;14;16;ab;13
67;0;1;3;2;ab;4;5;6;7;9;ab;8;12;ab;10;15;11;ab;ab;14;ab;ab;13
68;0;1;3;2;ab;4;5;6;7;9;ab;8;12;ab;10;15;11;ab;ab;14;ab;ab;13
69;0;1;3;2;ab;4;5;6;7;9;ab;8;12;ab;10;15;11;ab;ab;14;ab;ab;13
