;sc;MAS;MSC;ALO;FIS;HEI;BUT;RAI;KUB;WEB;KLI;DLR;TRU;BAR;ROS;RSC;COU;SPE;LIU;MTR;YAM;SAT;ALB
0;0;1;2;3;17;18;5;20;7;4;8;10;12;14;6;16;11;19;9;ab;13;21;15
1;0;1;2;3;17;19;4;ab;7;5;8;10;13;12;6;16;11;18;9;ab;14;20;15
2;0;1;2;3;17;19;4;ab;7;5;8;10;12;13;6;16;11;18;9;ab;14;20;15
3;0;1;2;3;17;19;4;ab;6;5;8;10;12;13;7;16;11;18;9;ab;15;20;14
4;0;1;2;3;17;19;4;ab;6;5;8;9;11;13;7;16;12;18;10;ab;15;20;14
5;0;1;2;3;17;19;4;ab;6;5;8;9;10;13;7;16;12;18;11;ab;15;20;14
6;0;1;2;3;17;19;4;ab;6;5;8;9;10;13;7;16;11;18;12;ab;15;20;14
7;0;1;2;3;17;19;4;ab;6;5;8;9;10;12;7;16;11;18;13;ab;15;20;14
8;0;1;2;3;17;19;4;ab;6;5;8;9;10;12;7;16;11;18;13;ab;15;20;14
9;0;1;2;3;17;19;4;ab;6;5;8;9;10;12;7;16;11;18;13;ab;15;20;14
10;0;1;2;3;17;19;4;ab;6;5;8;9;10;12;7;16;11;18;13;ab;15;20;14
11;0;1;2;3;17;19;4;ab;6;5;8;9;10;12;7;16;11;18;13;ab;15;20;14
12;0;1;2;3;16;18;4;ab;6;5;8;9;10;11;7;15;12;17;ab;ab;14;19;13
13;1;1;2;3;16;18;4;ab;6;5;8;9;10;11;7;15;12;17;ab;ab;14;19;13
14;1;1;3;2;14;18;4;ab;12;11;6;7;8;9;5;13;10;17;ab;ab;16;19;15
15;1;1;3;2;14;18;4;ab;12;11;6;7;8;9;5;13;10;17;ab;ab;16;19;15
16;0;1;3;2;14;18;4;ab;12;11;6;7;8;9;5;13;10;17;ab;ab;16;19;15
17;0;1;3;2;13;18;4;ab;12;11;6;7;8;9;5;14;10;16;ab;ab;17;19;15
18;0;1;3;2;12;18;4;ab;11;13;6;7;8;9;5;14;10;16;ab;ab;17;19;15
19;0;1;3;2;11;18;4;ab;12;14;6;7;8;9;5;13;10;16;ab;ab;17;19;15
20;0;1;3;2;11;18;4;ab;12;14;7;6;8;9;5;13;10;16;ab;ab;17;19;15
21;0;1;3;2;11;18;4;ab;12;14;7;6;8;9;5;13;10;16;ab;ab;17;19;15
22;0;1;3;2;11;18;4;ab;13;14;7;6;8;9;5;12;10;16;ab;ab;17;19;15
23;0;1;3;2;11;17;4;ab;13;14;7;6;8;9;5;12;10;15;ab;ab;ab;18;16
24;0;1;3;2;10;17;4;ab;13;14;6;5;7;8;11;12;9;15;ab;ab;ab;18;16
25;0;1;3;2;8;16;4;ab;10;11;6;5;14;7;ab;9;15;12;ab;ab;ab;17;13
26;0;1;3;2;7;16;4;ab;9;10;13;5;14;6;ab;8;15;11;ab;ab;ab;17;12
27;0;1;3;2;6;16;4;ab;8;9;13;5;12;10;ab;7;14;15;ab;ab;ab;17;11
28;0;1;3;2;6;16;4;ab;8;9;13;5;12;10;ab;7;14;15;ab;ab;ab;17;11
29;0;1;3;2;6;16;4;ab;8;9;13;5;12;10;ab;7;14;15;ab;ab;ab;17;11
30;0;1;3;2;10;16;4;ab;6;8;13;7;12;9;ab;5;14;15;ab;ab;ab;17;11
31;0;1;3;2;10;16;4;ab;6;8;13;7;12;9;ab;5;14;15;ab;ab;ab;17;11
32;0;1;3;2;9;16;4;ab;5;7;13;6;11;8;ab;12;14;15;ab;ab;ab;17;10
33;0;1;3;2;9;16;4;ab;5;7;13;6;11;8;ab;12;14;15;ab;ab;ab;17;10
34;0;1;3;2;8;16;4;ab;14;6;12;5;10;7;ab;11;13;15;ab;ab;ab;17;9
35;0;1;3;2;8;16;4;ab;14;6;12;5;10;7;ab;11;13;15;ab;ab;ab;17;9
36;0;1;3;2;8;16;4;ab;14;6;12;5;10;7;ab;11;13;15;ab;ab;ab;17;9
37;0;1;3;2;8;16;4;ab;15;7;12;5;10;6;ab;11;13;14;ab;ab;ab;17;9
38;0;1;3;2;8;16;4;ab;14;7;11;5;9;6;ab;10;12;13;ab;ab;ab;17;15
39;0;2;1;3;7;16;4;ab;13;14;10;5;8;6;ab;9;11;12;ab;ab;ab;17;15
40;0;2;1;3;7;16;4;ab;14;13;10;5;8;6;ab;9;11;12;ab;ab;ab;17;15
41;0;2;1;3;7;16;4;ab;14;13;10;5;8;6;ab;9;11;12;ab;ab;ab;nc;15
42;0;2;1;3;7;16;4;ab;14;13;10;5;8;6;ab;9;11;12;ab;ab;ab;nc;15
43;0;1;3;2;7;16;4;ab;13;11;12;5;8;6;ab;9;10;14;ab;ab;ab;nc;15
44;0;1;3;2;6;16;4;ab;13;11;12;5;10;9;ab;7;8;14;ab;ab;ab;nc;15
45;0;1;3;2;6;16;4;ab;13;10;12;5;9;8;ab;7;11;14;ab;ab;ab;nc;15
46;0;1;3;2;6;15;4;ab;13;10;12;5;9;8;ab;7;11;14;ab;ab;ab;nc;ab
47;0;1;3;2;6;15;4;ab;13;10;12;5;9;8;ab;7;11;14;ab;ab;ab;nc;ab
48;0;1;3;2;6;15;4;ab;13;10;12;5;9;8;ab;7;11;14;ab;ab;ab;nc;ab
49;0;1;3;2;6;15;4;ab;13;10;12;5;9;8;ab;7;11;14;ab;ab;ab;nc;ab
