;sc;RAI;MSC;HEI;MAS;BUT;KUB;DLR;BAR;FIS;ALO;TRU;ROS;RSC;COU;SPE;KLI;LIU;ALB;WEB;MTR;SAT;YAM
0;0;1;2;6;4;5;3;8;10;9;7;12;11;17;13;15;18;16;21;14;20;22;19
1;0;1;2;7;4;5;3;8;10;9;6;12;11;16;14;15;18;17;20;13;19;22;21
2;0;1;2;7;4;5;3;8;10;9;6;12;11;16;14;15;18;17;20;13;19;22;21
3;0;1;2;7;4;5;3;8;10;9;6;12;11;16;14;15;18;17;19;13;20;22;21
4;0;1;2;7;4;5;3;8;10;9;6;12;11;16;14;15;18;17;19;13;20;21;22
5;0;1;2;7;4;5;3;8;10;9;6;12;11;16;14;15;18;17;19;13;20;21;22
6;0;1;2;7;4;5;3;8;10;9;6;12;11;16;14;15;18;17;19;13;20;21;22
7;0;1;2;7;4;5;3;8;10;9;6;12;11;16;14;15;18;17;19;13;20;21;22
8;0;1;2;7;4;5;3;8;10;9;6;11;22;15;13;14;17;16;18;12;19;20;21
9;0;1;2;7;4;5;3;8;10;9;6;11;ab;15;13;14;17;16;18;12;19;20;21
10;0;1;2;7;4;5;3;8;10;9;6;11;ab;15;13;14;17;16;18;12;19;20;21
11;0;1;2;7;4;5;3;8;10;9;6;11;ab;15;13;14;17;16;18;12;19;20;21
12;0;1;2;7;4;5;3;8;10;9;6;11;ab;15;13;14;17;16;18;12;19;20;21
13;0;1;2;7;4;5;3;8;10;9;6;11;ab;15;13;14;17;16;18;12;19;20;21
14;0;2;1;7;4;5;3;16;9;8;6;10;ab;14;12;13;17;15;18;11;19;20;21
15;0;7;1;6;3;4;2;16;9;8;5;10;ab;14;12;13;17;15;18;11;19;20;21
16;0;7;1;6;3;4;2;16;9;8;5;10;ab;14;12;13;17;15;18;11;19;20;21
17;0;7;6;5;2;3;1;15;9;8;4;10;ab;14;12;13;17;16;18;11;19;20;21
18;0;7;6;4;2;3;1;15;9;8;5;10;ab;14;12;13;17;16;20;11;18;19;ab
19;0;5;4;2;8;3;1;15;7;6;10;9;ab;14;12;13;17;16;20;11;18;19;ab
20;0;4;3;2;7;10;1;ab;6;5;9;8;ab;14;12;13;16;15;19;11;17;18;ab
21;0;3;2;8;6;10;1;ab;5;4;9;7;ab;14;12;13;16;15;19;11;17;18;ab
22;0;2;1;8;6;10;4;ab;5;3;9;7;ab;14;12;13;16;15;19;11;17;18;ab
23;0;2;1;8;6;10;4;ab;5;3;9;7;ab;14;13;12;16;15;19;11;17;18;ab
24;0;2;1;9;6;10;4;ab;5;3;8;7;ab;14;13;12;16;15;19;11;17;18;ab
25;0;2;1;11;6;9;4;ab;5;3;8;7;ab;14;13;12;16;15;19;10;17;18;ab
26;0;2;1;11;5;8;3;ab;4;10;7;6;ab;14;13;12;16;15;19;9;17;18;ab
27;0;2;1;11;5;8;3;ab;4;10;7;6;ab;16;13;12;15;14;19;9;17;18;ab
28;0;2;1;11;5;8;3;ab;4;10;6;7;ab;16;12;13;14;15;19;9;17;18;ab
29;0;2;1;10;4;7;3;ab;5;9;6;12;ab;16;11;15;13;14;19;8;17;18;ab
30;0;2;1;8;4;6;3;ab;9;7;5;11;ab;15;10;14;12;16;19;13;17;18;ab
31;0;2;1;8;4;6;3;ab;9;7;5;10;ab;15;12;14;11;16;19;13;17;18;ab
32;0;2;1;7;4;6;3;ab;9;8;5;10;ab;15;13;14;11;16;19;12;17;18;ab
33;0;2;1;7;4;6;3;ab;9;8;5;10;ab;15;13;14;11;16;19;12;17;18;ab
34;0;2;1;7;4;6;3;ab;9;8;5;10;ab;15;13;14;11;16;19;12;17;18;ab
35;0;2;1;7;4;6;3;ab;9;8;5;10;ab;15;13;14;12;16;19;11;17;18;ab
36;0;2;1;7;4;6;3;ab;9;8;5;10;ab;15;13;14;12;16;19;11;17;18;ab
37;0;2;1;7;4;6;3;ab;9;8;5;10;ab;15;13;14;12;16;19;11;17;18;ab
38;0;2;1;7;5;6;3;ab;9;8;4;10;ab;15;13;14;12;16;19;11;17;18;ab
39;0;2;1;6;7;5;3;ab;9;8;4;10;ab;15;13;14;12;16;19;11;17;18;ab
40;0;2;1;10;6;5;3;ab;8;7;4;9;ab;15;13;14;12;16;19;11;17;18;ab
41;0;2;1;10;5;7;4;ab;8;6;3;9;ab;15;13;14;12;16;19;11;17;18;ab
42;0;2;1;10;5;7;4;ab;8;6;3;9;ab;15;13;14;12;16;19;11;17;18;ab
43;0;2;1;9;4;6;3;ab;7;5;ab;8;ab;14;12;13;11;15;17;10;18;16;ab
44;0;2;1;8;9;5;3;ab;6;4;ab;7;ab;14;12;13;11;15;17;10;ab;16;ab
45;0;2;1;8;9;5;3;ab;6;4;ab;7;ab;14;12;13;11;15;17;10;ab;16;ab
46;0;2;1;8;9;5;3;ab;6;4;ab;7;ab;14;12;13;11;15;17;10;ab;16;ab
47;0;2;1;8;9;5;3;ab;6;4;ab;7;ab;14;12;13;11;15;17;10;ab;16;ab
48;0;2;1;8;9;5;3;ab;6;4;ab;7;ab;15;12;13;11;14;17;10;ab;16;ab
49;0;2;1;8;9;5;3;ab;6;4;ab;7;ab;15;12;13;11;14;17;10;ab;16;ab
50;0;2;1;8;9;5;3;ab;6;4;ab;7;ab;15;12;13;11;14;17;10;ab;16;ab
51;0;2;1;8;9;5;3;ab;6;4;ab;7;ab;15;12;13;11;14;17;10;ab;16;ab
52;0;2;1;8;9;5;3;ab;6;4;ab;7;ab;15;12;13;11;14;17;10;ab;16;ab
