;sc;MAS;MSC;RSC;TRU;ALO;FIS;BUT;BAR;HEI;ROS;RAI;KUB;DLR;WEB;LIU;ALB;COU;DOO;SPE;SAT;MTR;YAM
0;0;1;2;3;5;4;7;6;10;8;12;9;11;14;13;15;18;16;20;17;19;21;22
1;0;1;2;3;5;4;7;6;18;8;11;9;10;13;12;14;17;15;19;16;20;21;22
2;0;2;1;3;5;4;7;6;22;8;11;9;10;13;12;17;16;14;18;15;20;19;21
3;0;2;1;3;5;4;7;6;22;8;11;9;10;13;12;18;16;15;17;14;20;19;21
4;0;2;1;3;5;4;6;7;22;8;11;9;10;13;12;18;16;15;17;14;20;19;21
5;0;2;1;3;5;4;6;7;22;8;11;9;10;13;12;18;16;15;17;14;20;19;21
6;0;2;1;3;5;4;6;7;22;8;11;9;10;13;12;18;16;15;17;14;20;19;21
7;0;2;1;3;5;4;6;7;22;8;11;9;10;13;12;18;16;15;17;14;20;19;21
8;0;2;1;3;5;4;6;7;21;8;11;9;10;13;12;18;16;15;17;14;20;19;22
9;0;2;1;3;5;4;6;7;20;8;11;9;10;13;12;18;17;15;16;14;21;19;22
10;0;2;1;3;5;4;6;7;20;8;11;9;10;13;12;18;17;15;16;14;21;19;22
11;0;2;1;3;6;4;5;7;20;8;11;9;10;13;12;18;17;15;16;14;21;19;22
12;0;2;1;5;9;3;4;6;20;7;11;8;10;13;12;18;17;15;16;14;21;19;22
13;0;6;1;9;8;2;3;4;20;5;11;7;10;13;12;18;17;15;16;14;21;19;22
14;0;5;1;8;7;2;9;3;20;4;11;6;10;13;12;18;17;15;16;14;21;19;22
15;0;5;1;8;7;3;9;2;19;4;13;6;10;12;11;18;17;15;16;14;21;20;22
16;0;4;1;7;6;2;8;10;19;3;13;5;9;12;11;18;17;15;16;14;21;20;22
17;0;3;1;7;6;2;8;10;19;5;13;4;9;12;11;18;16;17;15;14;21;20;22
18;0;3;1;6;5;2;7;9;18;11;13;4;8;12;10;17;16;20;15;14;21;19;22
19;0;3;1;6;5;2;7;9;16;11;13;4;8;12;10;17;21;19;15;14;20;18;22
20;0;3;1;6;5;2;7;8;15;9;11;4;10;13;12;20;ab;18;16;14;19;17;21
21;0;3;1;6;4;2;7;8;15;9;11;5;10;13;12;20;ab;17;19;14;18;16;21
22;0;3;1;5;4;2;6;7;20;9;11;8;10;13;12;18;ab;16;17;14;19;15;21
23;0;3;1;5;4;2;6;7;19;9;11;8;10;13;12;18;ab;15;16;17;20;14;21
24;0;3;1;5;4;2;6;7;19;9;11;8;10;13;12;18;ab;14;15;16;20;17;21
25;0;3;1;5;4;2;6;7;18;9;11;8;10;13;12;17;ab;14;15;16;19;20;21
26;0;3;1;5;4;2;6;7;18;9;11;8;10;13;12;17;ab;14;15;16;19;20;21
27;0;3;1;5;4;2;6;7;18;9;11;8;10;13;12;17;ab;14;15;16;19;20;21
28;0;3;1;4;5;2;6;7;16;9;11;8;10;13;12;17;ab;14;15;18;19;20;21
29;0;3;1;5;8;2;4;6;16;9;11;7;10;13;12;17;ab;14;15;18;19;20;21
30;0;3;1;8;7;2;4;5;16;9;11;6;10;13;12;17;ab;14;15;18;19;20;21
31;0;3;1;8;7;2;4;5;16;9;11;6;10;13;12;17;ab;14;15;18;19;20;21
32;0;3;1;8;7;2;4;5;16;9;11;6;10;13;12;17;ab;14;15;18;19;20;21
33;0;3;1;8;7;2;6;4;16;9;11;5;10;13;12;17;ab;14;15;19;18;20;21
34;0;3;1;8;7;2;6;4;14;9;13;5;10;12;11;17;ab;19;15;18;16;20;21
35;0;4;1;8;7;2;6;3;14;9;13;5;10;12;11;17;ab;ab;15;19;16;18;20
36;0;3;ab;7;6;1;5;2;13;9;12;4;8;11;10;16;ab;ab;14;18;15;17;19
37;0;2;ab;7;6;1;4;5;13;8;12;3;9;11;10;15;ab;ab;14;18;16;17;19
38;0;2;ab;7;6;1;4;5;13;8;11;3;9;10;12;15;ab;ab;14;18;17;16;19
39;0;2;ab;7;6;1;4;5;12;8;11;3;9;10;ab;14;ab;ab;13;16;15;17;18
40;0;2;ab;7;6;1;4;5;12;8;10;3;9;11;ab;14;ab;ab;13;16;15;17;18
41;0;2;ab;7;6;1;3;4;12;8;10;5;9;11;ab;14;ab;ab;13;16;15;17;18
42;0;2;ab;7;6;1;3;4;12;8;10;5;9;11;ab;14;ab;ab;13;16;15;17;18
43;0;2;ab;7;6;1;3;4;12;8;10;5;9;11;ab;14;ab;ab;13;16;15;17;18
44;0;2;ab;7;6;1;3;4;12;8;10;5;9;11;ab;14;ab;ab;13;16;15;17;18
45;0;2;ab;7;6;1;3;4;12;8;10;5;9;11;ab;14;ab;ab;13;16;15;17;18
46;0;2;ab;7;6;1;3;4;12;8;10;5;9;11;ab;14;ab;ab;13;16;15;17;18
47;0;2;ab;7;6;1;3;4;12;8;10;5;9;11;ab;14;ab;ab;13;17;15;16;18
48;0;2;ab;7;6;1;3;4;12;8;10;5;9;11;ab;14;ab;ab;13;18;15;16;17
49;0;2;ab;7;6;1;3;4;12;8;10;5;9;11;ab;14;ab;ab;13;18;15;16;17
50;0;2;ab;7;6;1;3;4;12;8;10;5;9;11;ab;14;ab;ab;13;18;15;16;ab
51;0;2;ab;7;6;1;3;4;12;8;10;5;9;11;ab;14;ab;ab;13;18;15;16;ab
52;0;2;ab;7;6;1;3;4;12;8;10;5;9;ab;ab;14;ab;ab;ab;18;15;16;ab
