;sc;MAS;RAI;TRU;ALO;BAR;FIS;RSC;HEI;KUB;MSC;WEB;DLR;ROS;BUT;LIU;SPE;ALB;COU;SAT;YAM;MTR;DOO
0;0;1;2;3;4;5;6;8;12;9;7;21;11;ab;10;13;14;17;16;15;18;20;19
1;1;1;2;3;4;7;5;8;12;9;6;ab;11;ab;10;13;14;17;16;15;18;20;19
2;1;1;2;3;4;7;5;8;12;9;6;ab;11;ab;10;13;14;17;16;15;18;20;19
3;1;1;2;3;4;7;5;8;12;9;6;ab;11;ab;10;13;14;17;16;15;18;20;19
4;1;1;2;3;4;7;5;8;12;9;6;ab;11;ab;10;13;14;17;16;15;18;20;19
5;1;1;2;3;4;7;5;8;12;9;6;ab;11;ab;10;13;14;17;16;15;18;20;19
6;0;1;2;3;4;7;5;9;12;10;6;ab;11;ab;8;13;14;17;16;15;18;20;19
7;0;1;2;3;4;7;6;9;12;10;5;ab;11;ab;8;13;14;17;16;15;18;20;19
8;0;1;2;3;4;6;5;18;10;8;20;ab;9;ab;7;11;12;15;14;13;16;19;17
9;0;1;2;18;3;5;4;ab;9;7;19;ab;8;ab;6;11;10;14;13;12;15;17;16
10;0;1;2;ab;3;5;4;ab;9;7;18;ab;8;ab;6;11;10;14;12;13;15;17;16
11;0;1;2;ab;3;5;4;ab;9;7;18;ab;8;ab;6;11;10;14;12;13;15;17;16
12;0;1;2;ab;3;5;4;ab;9;7;18;ab;8;ab;6;11;10;14;12;13;15;17;16
13;0;1;2;ab;3;5;4;ab;9;7;17;ab;8;ab;6;11;10;13;18;12;14;16;15
14;0;1;2;ab;3;5;4;ab;9;7;17;ab;8;ab;6;11;10;13;ab;12;14;16;15
15;0;1;2;ab;3;5;4;ab;9;7;17;ab;8;ab;6;11;10;13;ab;12;14;16;15
16;0;1;2;ab;3;5;4;ab;9;7;17;ab;8;ab;6;11;10;13;ab;12;14;16;15
17;0;1;2;ab;3;5;4;ab;9;7;17;ab;8;ab;6;11;10;13;ab;12;14;16;15
18;0;1;2;ab;3;5;4;ab;9;7;17;ab;8;ab;6;11;10;13;ab;12;14;16;15
19;0;1;2;ab;3;5;4;ab;9;7;17;ab;8;ab;6;11;10;13;ab;12;14;16;15
20;0;1;3;ab;2;6;5;ab;9;7;17;ab;8;ab;4;11;10;13;ab;12;14;16;15
21;0;1;7;ab;2;9;8;ab;6;4;17;ab;5;ab;3;11;10;13;ab;12;14;16;15
22;0;1;7;ab;2;9;8;ab;6;4;17;ab;5;ab;3;11;10;13;ab;12;14;16;15
23;0;1;7;ab;2;9;8;ab;6;4;17;ab;5;ab;3;11;10;13;ab;12;14;16;15
24;0;3;7;ab;1;9;8;ab;6;4;17;ab;5;ab;2;11;10;13;ab;12;14;16;15
25;0;2;6;ab;1;9;8;ab;5;3;17;ab;4;ab;7;11;10;15;ab;12;13;16;14
26;0;1;6;ab;5;9;8;ab;4;2;16;ab;3;ab;7;11;10;17;ab;12;14;15;13
27;0;1;4;ab;3;8;7;ab;6;9;14;ab;2;ab;5;11;10;16;ab;12;17;15;13
28;0;1;5;ab;3;7;6;ab;11;8;13;ab;2;ab;4;10;9;16;ab;15;17;14;12
29;0;1;5;ab;3;7;6;ab;10;8;13;ab;2;ab;4;11;9;16;ab;15;17;14;12
30;0;1;5;ab;3;7;6;ab;10;8;13;ab;2;ab;4;11;9;16;ab;15;17;14;12
31;0;1;5;ab;3;7;6;ab;10;8;11;ab;2;ab;4;12;9;16;ab;15;17;14;13
32;0;1;5;ab;3;7;6;ab;9;8;11;ab;2;ab;4;15;10;16;ab;14;17;13;12
