;sc;FIS;BUT;ROS;WEB;MON;RAI;ALO;KLI;TRU;VIL;HEI;SPE;LIU;MSC;ALB;MTR;SAT;IDE;COU;BAR;MAS;RSC
0;0;1;2;7;4;5;ab;3;21;8;9;6;12;17;10;18;20;16;19;11;15;14;13
1;0;1;2;7;4;5;ab;3;21;8;9;6;13;20;10;17;18;16;19;11;15;14;12
2;0;1;2;7;4;5;ab;3;21;8;9;6;14;20;10;17;19;16;18;11;15;13;12
3;0;1;2;6;4;5;ab;3;21;8;9;7;14;20;10;17;18;16;19;11;15;13;12
4;0;1;2;6;4;5;ab;3;21;8;9;7;14;20;10;17;18;16;19;11;15;13;12
5;0;1;2;6;4;5;ab;3;21;8;9;7;14;20;10;17;18;16;19;11;15;13;12
6;0;1;2;ab;4;5;ab;3;20;7;8;6;13;18;9;16;17;15;19;10;14;12;11
7;0;1;2;ab;4;5;ab;3;20;7;8;6;13;18;9;16;17;15;19;10;14;12;11
8;0;1;2;ab;4;5;ab;3;20;7;8;6;13;18;9;16;17;15;19;10;14;12;11
9;0;1;2;ab;4;5;ab;3;20;7;8;6;12;18;9;16;17;15;19;13;14;11;10
10;0;1;2;ab;4;5;ab;3;19;7;9;6;12;17;8;15;16;14;18;ab;13;11;10
11;0;1;2;ab;4;5;ab;3;19;7;9;6;12;17;8;15;16;14;18;ab;13;11;10
12;0;1;2;ab;4;5;ab;3;19;7;9;6;12;16;8;15;17;14;18;ab;13;10;11
13;0;1;2;ab;4;5;ab;3;19;8;9;6;11;16;7;15;17;14;18;ab;12;10;13
14;0;1;2;ab;10;4;ab;3;19;7;8;5;11;16;6;14;17;15;18;ab;12;9;13
15;0;1;2;ab;ab;4;ab;3;18;8;7;5;10;15;6;13;16;14;17;ab;11;9;12
16;0;1;2;ab;ab;4;ab;3;18;9;7;5;10;15;6;13;16;14;17;ab;11;8;12
17;0;3;1;ab;ab;4;ab;2;18;9;7;5;10;15;6;13;16;14;17;ab;11;8;12
18;0;3;1;ab;ab;4;ab;2;18;9;7;5;10;15;6;13;16;14;17;ab;11;8;12
19;0;2;4;ab;ab;3;ab;1;18;9;7;5;10;15;6;13;16;14;17;ab;11;8;12
20;0;2;4;ab;ab;3;ab;1;18;12;7;5;9;14;6;13;16;15;17;ab;10;8;11
21;0;2;4;ab;ab;3;ab;1;18;12;7;5;10;15;6;13;16;14;17;ab;9;8;11
22;0;2;3;ab;ab;4;ab;1;18;10;8;5;12;15;6;13;16;14;17;ab;9;7;11
23;0;2;3;ab;ab;6;ab;1;18;10;9;4;12;15;7;13;16;14;17;ab;8;5;11
24;0;2;3;ab;ab;5;ab;1;18;10;9;6;12;15;7;13;16;14;17;ab;8;4;11
25;0;2;3;ab;ab;5;ab;1;18;10;9;6;12;15;7;13;16;14;17;ab;8;4;11
26;0;1;2;ab;ab;5;ab;3;ab;10;9;6;12;14;7;13;16;15;17;ab;8;4;11
27;0;1;2;ab;ab;5;ab;3;ab;10;9;6;12;14;7;13;16;15;17;ab;8;4;11
28;0;1;2;ab;ab;5;ab;3;ab;10;9;6;12;14;7;13;16;15;17;ab;8;4;11
29;0;1;2;ab;ab;4;ab;3;ab;10;9;5;12;14;6;13;16;15;17;ab;7;8;11
30;0;1;2;ab;ab;4;ab;3;ab;10;9;5;12;14;6;13;16;15;17;ab;7;8;11
31;0;1;2;ab;ab;4;ab;3;ab;9;8;5;12;14;6;13;16;15;17;ab;11;7;10
32;0;1;2;ab;ab;4;ab;3;ab;9;8;5;12;14;6;13;16;15;17;ab;11;7;10
33;0;1;2;ab;ab;4;ab;3;ab;9;8;5;12;14;6;13;16;15;ab;ab;11;7;10
