;sc;BUT;FIS;ALO;RAI;MON;RSC;WEB;HEI;TRU;MSC;COU;LIU;KLI;ROS;MAS;BAR;ALB;SPE;VIL;MTR;SAT;IDE
0;1;1;19;2;3;4;5;6;7;ab;8;15;9;12;ab;ab;14;17;10;11;18;13;16
1;1;1;19;2;3;6;4;5;7;ab;8;15;9;12;ab;ab;14;17;10;11;18;13;16
2;1;1;19;2;3;6;4;5;7;ab;8;15;9;12;ab;ab;14;17;10;11;18;13;16
3;0;2;16;1;3;5;6;4;7;ab;8;15;9;14;ab;ab;13;18;10;11;19;12;17
4;0;2;15;1;3;4;6;5;7;ab;8;14;9;ab;ab;ab;13;16;10;11;18;12;17
5;0;2;15;1;3;4;6;5;7;ab;8;14;9;ab;ab;ab;13;16;10;11;18;12;17
6;1;2;15;1;3;4;6;5;7;ab;8;14;9;ab;ab;ab;13;16;10;11;18;12;17
7;1;2;15;1;3;4;6;5;7;ab;8;14;9;ab;ab;ab;13;16;10;11;18;12;17
8;1;2;15;1;3;4;6;5;7;ab;8;14;9;ab;ab;ab;13;16;10;11;18;12;17
9;0;3;13;1;2;4;6;5;7;ab;8;15;9;ab;ab;ab;14;16;10;11;17;12;18
10;0;3;12;1;2;4;6;5;7;ab;8;15;9;ab;ab;ab;14;16;10;11;17;13;18
11;0;3;11;1;2;4;6;5;7;ab;9;15;8;ab;ab;ab;14;16;10;12;17;13;18
12;0;3;11;1;2;4;6;5;7;ab;9;15;8;ab;ab;ab;14;16;10;12;17;13;18
13;0;3;11;1;2;4;6;5;7;ab;9;15;8;ab;ab;ab;14;16;10;12;17;13;18
14;0;3;11;1;2;4;6;5;7;ab;9;15;8;ab;ab;ab;14;16;10;12;17;13;18
15;0;3;10;1;2;4;6;5;7;ab;9;15;8;ab;ab;ab;14;16;11;12;17;13;18
16;0;3;10;1;2;4;6;5;7;ab;9;15;8;ab;ab;ab;14;16;11;12;17;13;18
17;0;3;10;1;2;8;5;4;6;ab;9;15;7;ab;ab;ab;14;16;11;12;17;13;18
18;0;6;12;1;2;9;8;3;4;ab;7;15;5;ab;ab;ab;14;16;10;11;17;13;18
19;0;8;12;3;1;7;9;2;4;ab;6;15;5;ab;ab;ab;14;16;10;11;17;13;18
20;0;8;12;2;4;7;9;1;3;ab;6;15;5;ab;ab;ab;14;16;10;11;17;13;18
21;0;8;12;2;4;7;9;1;3;ab;6;15;5;ab;ab;ab;14;17;10;11;16;13;18
22;0;6;11;1;3;5;8;ab;2;ab;4;13;9;ab;ab;ab;12;16;7;10;14;15;17
23;0;6;10;1;3;5;8;ab;2;ab;4;13;9;ab;ab;ab;12;16;11;7;14;15;17
24;0;5;10;1;2;4;8;ab;3;ab;6;13;9;ab;ab;ab;12;16;11;7;14;15;17
25;0;5;10;1;2;3;8;ab;4;ab;6;13;9;ab;ab;ab;12;16;11;7;14;15;17
26;0;5;10;1;2;3;8;ab;4;ab;6;13;9;ab;ab;ab;12;15;11;7;14;16;17
27;0;5;10;1;2;3;8;ab;4;ab;6;13;9;ab;ab;ab;12;15;11;7;14;16;17
28;0;5;10;1;2;3;8;ab;4;ab;6;14;9;ab;ab;ab;12;15;11;7;13;16;17
29;0;5;10;1;2;3;8;ab;4;ab;6;14;9;ab;ab;ab;13;15;11;7;12;16;17
30;0;5;10;1;2;3;8;ab;4;ab;6;14;9;ab;ab;ab;13;15;11;7;12;16;17
31;0;5;10;1;2;3;8;ab;4;ab;6;14;9;ab;ab;ab;13;15;11;7;12;16;17
