;sc;MSC;BUT;BAR;MAS;ALO;RSC;MON;RAI;TRU;WEB;FIS;VIL;ROS;COU;HEI;LIU;KLI;SPE;MTR;ALB;SAT;IDE
0;1;1;2;5;3;4;6;7;10;8;9;12;11;13;14;15;16;18;17;19;ab;20;21
1;1;1;2;5;3;4;6;7;10;8;9;12;11;13;14;15;16;18;17;19;ab;20;21
2;0;1;2;5;3;4;6;7;10;8;9;12;11;13;14;15;16;18;17;19;ab;20;21
3;0;1;2;5;3;4;6;7;10;8;9;12;11;13;14;15;16;18;17;19;ab;20;21
4;0;1;2;5;3;4;6;7;9;10;8;12;11;13;14;15;18;17;16;19;ab;20;21
5;0;1;2;5;3;4;6;7;9;ab;8;11;10;12;13;14;17;16;15;18;ab;19;20
6;0;1;2;5;3;4;6;7;9;ab;8;11;10;12;13;14;17;16;15;18;ab;19;20
7;0;1;2;5;3;4;6;7;9;ab;8;11;10;12;13;14;17;16;15;18;ab;19;20
8;0;1;2;5;3;4;6;7;9;ab;8;11;10;12;13;14;17;16;15;18;ab;19;20
9;0;1;2;5;3;4;6;7;9;ab;8;11;10;12;13;14;17;16;15;18;ab;19;20
10;0;1;2;5;3;4;6;7;9;ab;8;11;10;12;13;14;17;16;15;18;ab;19;20
11;0;1;2;5;3;4;6;7;9;ab;8;11;10;12;13;14;17;16;15;18;ab;19;20
12;0;1;2;5;3;4;6;7;9;ab;8;11;10;12;13;14;17;16;15;18;ab;19;20
13;0;1;2;5;3;4;6;7;9;ab;8;11;10;12;13;14;17;16;15;18;ab;19;20
14;0;1;2;13;3;4;5;6;8;ab;7;10;9;11;12;14;17;16;15;18;ab;19;20
15;0;1;8;13;2;3;4;5;7;ab;6;10;9;11;12;14;17;16;15;18;ab;19;20
16;0;1;7;13;2;3;10;4;6;ab;5;9;8;11;12;14;17;16;15;18;ab;19;20
17;0;1;7;13;2;3;10;4;6;ab;5;9;8;11;12;14;17;16;15;19;ab;18;20
18;0;1;7;13;3;2;10;4;6;ab;5;9;8;11;12;14;17;16;15;19;ab;18;20
19;0;1;6;13;7;2;10;3;5;ab;4;9;8;11;12;14;17;16;15;18;ab;19;20
20;0;2;6;13;7;1;10;3;5;ab;4;9;8;11;12;14;17;16;15;18;ab;19;20
21;0;2;6;13;7;1;10;3;5;ab;4;9;8;11;12;14;17;16;15;18;ab;19;20
22;0;2;5;13;6;1;10;3;9;ab;4;8;7;11;12;14;17;16;15;18;ab;19;20
23;0;2;3;13;4;1;10;5;9;ab;7;8;6;11;12;14;17;16;15;18;ab;19;ab
24;0;2;3;13;4;1;10;5;9;ab;7;8;6;11;12;14;16;15;17;18;ab;19;ab
25;0;1;3;13;4;2;10;5;9;ab;7;8;6;11;12;14;17;15;16;18;ab;19;ab
26;0;1;3;13;4;2;10;5;9;ab;6;8;7;11;12;14;17;15;16;18;ab;19;ab
27;0;1;3;10;4;2;9;5;8;ab;6;7;15;13;14;11;17;12;16;18;ab;19;ab
28;0;1;3;10;4;2;9;5;8;ab;6;7;13;11;12;14;17;16;15;18;ab;19;ab
29;0;1;3;9;4;2;8;5;7;ab;6;10;13;11;12;14;17;16;15;18;ab;19;ab
30;0;1;8;9;3;2;7;4;6;ab;5;10;13;11;12;14;17;16;15;18;ab;19;ab
31;0;1;8;9;3;2;7;4;6;ab;5;10;13;11;12;14;17;16;15;18;ab;19;ab
32;0;1;7;8;3;2;10;4;6;ab;5;9;13;11;12;14;17;16;15;18;ab;19;ab
33;0;1;7;9;3;2;10;4;6;ab;5;8;13;11;12;14;17;16;15;18;ab;19;ab
34;0;1;7;13;3;2;9;4;6;ab;5;8;12;10;11;14;17;16;15;18;ab;19;ab
35;0;1;7;13;3;2;9;4;6;ab;5;8;12;10;11;14;17;16;15;18;ab;19;ab
36;0;1;7;13;3;2;9;4;6;ab;5;8;12;10;11;14;17;16;15;18;ab;19;ab
37;0;1;7;13;3;2;9;4;6;ab;5;8;12;10;11;14;17;16;15;18;ab;19;ab
38;0;1;7;13;3;2;9;4;6;ab;5;8;12;10;11;14;17;16;15;18;ab;19;ab
39;0;1;7;13;3;2;9;4;6;ab;5;8;12;10;11;14;16;17;15;18;ab;19;ab
40;0;1;7;13;3;2;9;4;6;ab;5;8;12;10;11;14;16;ab;15;17;ab;18;ab
41;0;1;7;13;6;3;9;2;5;ab;4;8;12;10;11;14;16;ab;15;17;ab;18;ab
42;0;2;6;13;5;3;9;1;4;ab;8;7;12;10;11;14;15;ab;16;17;ab;18;ab
43;0;2;6;13;5;3;8;1;4;ab;9;7;12;10;11;14;15;ab;16;17;ab;18;ab
44;0;1;9;13;5;2;7;4;3;ab;8;6;12;10;11;14;15;ab;16;17;ab;ab;ab
45;0;1;9;13;5;2;7;4;3;ab;8;6;12;10;11;14;15;ab;16;17;ab;ab;ab
46;0;1;8;12;5;2;9;4;3;ab;7;6;11;10;16;13;14;ab;15;17;ab;ab;ab
47;0;1;8;12;4;2;9;3;6;ab;7;5;11;10;ab;13;14;ab;15;16;ab;ab;ab
48;0;1;7;10;4;2;9;3;5;ab;6;8;13;11;ab;12;14;ab;15;16;ab;ab;ab
49;0;1;7;10;4;2;9;3;5;ab;6;8;13;11;ab;12;14;ab;15;16;ab;ab;ab
50;0;1;7;10;4;2;9;3;5;ab;6;8;13;11;ab;12;14;ab;15;16;ab;ab;ab
51;0;1;7;10;4;2;9;3;5;ab;6;8;12;11;ab;13;14;ab;15;16;ab;ab;ab
52;0;1;7;10;4;2;9;3;5;ab;6;8;12;11;ab;13;14;ab;15;16;ab;ab;ab
53;0;1;7;10;4;2;9;3;5;ab;6;8;12;11;ab;13;14;ab;15;16;ab;ab;ab
54;0;1;7;10;4;2;9;3;5;ab;6;8;12;11;ab;13;14;ab;15;16;ab;ab;ab
55;0;1;7;10;4;2;9;3;5;ab;6;8;12;11;ab;13;14;ab;15;16;ab;ab;ab
56;0;1;7;10;4;2;9;3;5;ab;6;8;12;11;ab;13;14;ab;15;16;ab;ab;ab
57;0;1;7;10;4;2;9;3;5;ab;6;8;12;11;ab;13;14;ab;15;16;ab;ab;ab
58;0;1;7;10;4;2;9;3;5;ab;6;8;12;11;ab;13;14;ab;15;16;ab;ab;ab
59;0;1;7;10;4;2;9;3;5;ab;6;8;12;11;ab;13;14;ab;15;16;ab;ab;ab
60;0;1;7;10;4;2;9;3;5;ab;6;8;12;11;ab;13;14;ab;15;16;ab;ab;ab
61;0;1;7;10;4;2;9;3;5;ab;6;8;12;11;ab;13;14;ab;15;16;ab;ab;ab
