;sc;ALO;MSC;MAS;BAR;RAI;BUT;TRU;MON;VIL;RSC;FIS;COU;HEI;LIU;KLI;ALB;SPE;MTR;WEB;SAT;MTG;ROS
0;0;1;2;3;7;5;4;6;11;8;15;10;21;9;ab;13;18;16;17;12;14;20;19
1;1;1;2;3;7;5;4;6;11;8;14;10;21;9;ab;13;18;16;17;12;15;20;19
2;1;1;2;3;7;5;4;6;11;8;14;10;ab;9;ab;13;18;16;17;12;15;20;19
3;0;1;2;3;7;4;5;6;11;8;14;10;ab;9;ab;13;19;15;18;12;17;20;16
4;0;1;2;3;7;4;5;6;10;8;14;11;ab;9;ab;13;19;15;18;12;17;20;16
5;0;1;2;3;7;4;5;6;10;8;14;11;ab;9;ab;13;19;15;17;12;18;20;16
6;0;1;2;3;7;4;5;6;10;8;14;11;ab;9;ab;13;19;15;17;12;18;20;16
7;0;1;2;3;7;4;5;6;10;8;14;11;ab;9;ab;13;19;15;17;12;18;20;16
8;0;1;2;3;7;4;5;6;10;8;14;11;ab;9;ab;13;19;15;17;12;18;20;16
9;0;1;2;3;7;4;5;6;10;8;14;11;ab;9;ab;13;19;15;17;12;18;20;16
10;0;1;2;3;7;4;5;6;10;8;14;11;ab;9;ab;13;19;15;17;12;18;20;16
11;0;1;2;3;7;4;5;6;10;8;14;11;ab;9;ab;13;18;15;17;12;19;20;16
12;0;1;2;3;7;4;5;6;10;8;13;11;ab;9;ab;12;17;14;16;ab;18;19;15
13;0;1;2;3;7;4;5;6;10;8;13;11;ab;9;ab;12;17;14;16;ab;18;19;15
14;0;1;2;3;7;4;5;6;10;8;13;11;ab;9;ab;12;17;14;16;ab;18;19;15
15;0;1;2;3;7;4;5;6;10;8;13;11;ab;9;ab;12;17;14;16;ab;18;19;15
16;0;2;1;3;7;4;5;6;10;8;13;11;ab;9;ab;12;17;14;16;ab;18;19;15
17;0;4;1;5;7;2;3;6;10;8;13;11;ab;9;ab;12;17;14;16;ab;18;19;15
18;0;3;4;5;7;1;2;6;10;8;13;11;ab;9;ab;12;17;14;16;ab;18;19;15
19;0;3;4;5;8;1;2;6;10;7;13;11;ab;9;ab;12;17;14;16;ab;18;19;15
20;0;2;3;5;15;1;4;6;9;7;11;10;ab;8;ab;12;17;13;16;ab;18;19;14
21;0;2;3;4;13;1;10;5;6;14;9;7;ab;8;ab;15;17;11;16;ab;18;19;12
22;0;2;3;4;12;1;9;5;6;13;8;7;ab;14;ab;15;18;10;16;ab;17;19;11
23;0;1;2;3;11;4;9;5;6;12;8;7;ab;13;ab;14;17;15;16;ab;18;19;10
24;0;1;2;3;11;4;9;8;5;12;7;6;ab;13;ab;14;17;15;16;ab;18;19;10
25;0;1;2;3;10;4;8;12;5;11;6;7;ab;13;ab;14;17;15;16;ab;18;19;9
26;0;1;2;3;9;4;7;12;5;10;6;11;ab;13;ab;14;17;15;16;ab;18;19;8
27;0;1;2;3;8;4;6;12;11;9;5;10;ab;13;ab;14;17;15;16;ab;18;19;7
28;0;1;2;3;6;4;ab;11;10;8;7;9;ab;12;ab;ab;15;13;14;ab;16;17;5
29;0;1;2;3;6;4;ab;11;10;8;7;9;ab;12;ab;ab;15;13;14;ab;16;ab;5
30;0;1;2;3;6;4;ab;11;10;8;7;9;ab;12;ab;ab;15;13;14;ab;16;ab;5
31;0;1;2;3;6;4;ab;11;10;8;7;9;ab;12;ab;ab;15;13;14;ab;16;ab;5
32;0;1;2;3;6;4;ab;11;10;8;7;9;ab;12;ab;ab;15;13;14;ab;16;ab;5
33;0;1;2;3;5;4;ab;11;9;7;6;8;ab;12;ab;ab;15;13;14;ab;16;ab;10
34;0;1;2;3;5;4;ab;11;9;7;6;8;ab;12;ab;ab;15;13;14;ab;16;ab;10
35;0;1;2;3;5;4;ab;11;9;7;6;8;ab;12;ab;ab;15;13;14;ab;16;ab;10
36;0;1;2;3;5;4;ab;11;9;7;6;8;ab;12;ab;ab;15;13;14;ab;16;ab;10
37;0;2;1;3;5;4;ab;11;9;7;6;8;ab;12;ab;ab;15;13;14;ab;16;ab;10
38;0;4;1;2;5;3;ab;11;9;7;6;8;ab;12;ab;ab;15;13;14;ab;16;ab;10
39;0;4;1;2;5;3;ab;11;9;7;6;8;ab;12;ab;ab;15;13;14;ab;16;ab;10
40;0;3;1;4;5;2;ab;11;9;7;6;8;ab;12;ab;ab;15;13;14;ab;16;ab;10
41;0;3;2;4;5;1;ab;11;9;7;6;8;ab;12;ab;ab;15;13;14;ab;16;ab;10
42;0;3;2;4;5;1;ab;11;9;7;6;8;ab;12;ab;ab;15;13;14;ab;16;ab;10
43;0;3;2;4;5;1;ab;12;7;8;6;9;ab;11;ab;ab;15;13;14;ab;16;ab;10
