;sc;ALO;WEB;RAI;MON;BAR;TRU;COU;ROS;FIS;RSC;KLI;LIU;BUT;VIL;HEI;ALB;MTR;SPE;SAT;MTG;MAS;MSC
0;0;1;2;3;4;5;9;7;6;8;12;10;13;15;14;11;17;22;16;19;20;21;18
1;0;1;3;2;4;5;9;7;6;8;12;10;13;15;14;11;18;22;17;19;20;21;16
2;0;1;3;2;4;5;9;7;6;8;12;10;13;15;14;11;18;22;17;20;21;19;16
3;0;1;3;2;4;5;9;7;6;8;12;10;13;15;14;11;18;22;17;20;21;19;16
4;0;1;3;2;4;5;9;7;6;8;12;10;13;15;14;11;18;22;17;20;21;19;16
5;0;1;3;2;4;5;9;7;6;8;12;10;13;15;14;11;18;22;17;20;21;19;16
6;0;1;3;2;4;5;9;7;6;8;12;10;13;15;14;11;18;22;17;20;21;19;16
7;0;1;3;2;4;5;9;7;6;8;12;10;13;15;14;11;18;22;17;20;21;19;16
8;0;1;3;2;4;5;9;7;6;8;12;10;13;15;14;11;18;22;17;20;21;19;16
9;0;1;3;2;4;5;9;7;6;8;12;10;13;15;14;11;18;22;17;20;21;19;16
10;0;1;3;2;4;5;9;7;6;8;12;10;13;15;14;11;18;22;17;20;21;19;16
11;0;1;3;2;4;5;9;7;6;8;12;10;13;15;14;11;18;22;17;20;21;19;16
12;0;1;3;2;4;5;9;7;6;8;12;10;13;15;14;11;18;22;17;20;21;19;16
13;0;1;3;2;4;5;9;7;6;8;12;10;13;15;14;11;18;22;17;20;21;19;16
14;0;1;3;2;4;5;9;7;6;8;12;10;13;15;14;11;18;22;17;20;21;19;16
15;0;1;3;2;4;5;9;7;6;8;12;10;13;15;14;11;18;22;17;20;21;19;16
16;0;1;3;2;4;5;9;7;6;8;12;10;13;15;14;11;18;22;17;20;21;19;16
17;0;1;3;2;4;5;9;7;6;8;12;10;13;15;14;11;19;22;17;20;21;18;16
18;0;1;3;2;4;5;9;7;6;8;12;10;13;15;14;11;19;22;17;20;21;18;16
19;0;1;3;2;4;5;9;7;6;8;12;10;13;16;14;11;19;22;17;20;21;18;15
20;0;1;3;2;4;5;9;7;6;8;12;10;13;16;14;11;19;22;17;20;21;18;15
21;0;1;2;3;4;5;9;7;6;8;12;10;13;16;14;11;19;22;17;20;21;18;15
22;0;1;2;3;4;5;8;6;14;7;11;9;12;16;13;10;19;22;17;20;21;18;15
23;0;2;1;3;4;5;8;6;15;7;11;9;12;16;13;10;19;22;17;20;21;18;14
24;0;1;3;2;4;5;8;6;15;7;11;9;12;16;13;10;19;22;17;20;21;18;14
25;0;1;3;2;4;5;8;6;15;7;11;9;12;16;13;10;19;22;17;20;21;18;14
26;0;1;3;2;4;5;7;6;15;14;10;8;11;16;12;9;19;22;17;20;21;18;13
27;0;1;3;2;4;5;7;6;14;15;10;8;11;16;12;9;19;22;17;20;21;18;13
28;0;1;3;2;4;5;6;10;14;15;9;7;11;16;12;8;19;22;17;20;21;18;13
29;0;1;3;2;4;5;6;12;14;15;9;7;10;16;11;8;19;22;17;20;21;18;13
30;0;1;3;2;4;5;6;12;14;15;9;7;10;16;11;8;19;22;17;20;21;18;13
31;0;1;3;2;4;5;6;12;15;14;9;7;10;16;11;8;19;22;17;20;21;18;13
32;0;1;3;2;4;5;6;12;15;14;9;7;10;16;11;8;19;22;18;20;21;17;13
33;0;1;3;2;4;5;6;12;15;14;9;7;10;16;11;8;19;22;18;20;21;17;13
34;0;1;3;2;4;5;6;12;15;14;9;7;10;16;11;8;19;22;18;20;21;17;13
35;0;1;3;2;4;5;6;12;14;13;9;7;10;15;11;8;18;22;17;20;21;16;19
36;0;1;3;2;4;5;6;12;14;13;9;7;10;15;11;8;17;22;16;20;21;19;18
37;0;1;3;2;4;5;6;12;14;13;9;7;10;15;11;8;17;22;16;20;21;19;18
38;0;1;3;2;4;5;6;12;13;11;18;7;9;14;10;8;17;22;16;20;21;19;15
39;0;1;3;2;4;5;6;10;12;9;17;7;8;14;11;16;20;22;15;19;21;18;13
40;0;1;3;2;4;5;6;10;11;9;16;7;8;18;12;15;20;22;14;19;21;17;13
41;0;1;3;2;4;5;6;10;11;9;16;7;8;19;12;15;20;22;14;18;21;17;13
42;0;1;3;2;4;5;6;10;11;8;16;7;9;19;13;15;20;22;14;18;21;17;12
43;0;1;3;2;4;5;6;9;11;8;15;7;10;19;17;14;20;22;13;18;21;16;12
44;0;1;3;2;4;5;6;9;11;8;15;7;10;19;17;14;20;22;13;18;21;16;12
45;0;1;3;2;4;5;6;9;11;8;15;7;10;18;17;14;19;21;13;22;20;16;12
46;0;1;3;2;4;5;6;9;11;8;15;7;10;18;17;14;19;21;13;ab;20;16;12
47;0;1;3;2;4;5;6;8;15;10;12;7;14;17;16;11;18;21;19;ab;20;13;9
48;1;1;ab;2;3;4;5;7;14;9;11;6;13;16;15;10;17;20;18;ab;19;12;8
49;1;1;ab;2;3;4;5;7;14;9;11;6;13;16;15;10;17;20;18;ab;19;12;8
50;1;1;ab;ab;2;3;4;6;14;8;10;5;12;15;13;9;16;19;17;ab;18;11;7
51;1;1;ab;ab;2;3;4;6;ab;8;10;5;12;14;13;9;15;18;16;ab;17;11;7
52;0;1;ab;ab;2;3;4;6;ab;8;10;5;12;14;13;9;15;18;16;ab;17;11;7
53;0;1;ab;ab;2;3;4;6;ab;8;10;5;12;14;13;9;15;18;16;ab;17;11;7
54;0;1;ab;ab;2;3;4;6;ab;8;10;5;12;14;13;9;15;18;16;ab;17;11;7
55;0;1;ab;ab;2;3;4;6;ab;8;10;5;12;14;13;9;15;18;16;ab;17;11;7
56;0;1;ab;ab;2;3;4;5;ab;7;9;ab;11;13;12;8;14;17;15;ab;16;10;6
57;0;1;ab;ab;2;3;4;5;ab;7;9;ab;11;12;14;8;13;17;15;ab;16;10;6
58;0;1;ab;ab;2;3;4;5;ab;7;9;ab;11;12;15;8;13;16;14;ab;17;10;6
59;0;1;ab;ab;2;3;4;5;ab;7;9;ab;11;12;15;8;13;16;14;ab;17;10;6
60;0;1;ab;ab;2;3;4;5;ab;7;9;ab;11;12;15;8;13;16;14;ab;17;10;6
61;0;1;ab;ab;2;3;4;5;ab;7;9;ab;11;12;15;8;13;16;14;ab;17;10;6
62;0;1;ab;ab;2;5;3;4;ab;7;9;ab;11;12;15;8;13;16;14;ab;17;10;6
63;0;1;ab;ab;2;5;3;4;ab;7;9;ab;11;12;15;8;13;16;14;ab;17;10;6
64;0;1;ab;ab;2;5;3;4;ab;7;9;ab;11;12;15;8;13;16;14;ab;17;10;6
65;0;1;ab;ab;2;5;3;4;ab;7;9;ab;11;12;15;8;13;16;14;ab;17;10;6
66;0;1;ab;ab;2;5;3;4;ab;7;9;ab;11;12;15;8;13;16;14;ab;17;10;6
67;0;1;ab;ab;2;5;3;4;ab;7;9;ab;11;12;15;8;13;16;14;ab;17;10;6
68;0;1;ab;ab;2;5;3;4;ab;7;9;ab;11;12;15;8;13;16;14;ab;17;10;6
69;0;1;ab;ab;2;5;3;4;ab;7;9;ab;11;12;15;8;13;16;14;ab;17;10;6
70;0;1;ab;ab;2;5;3;4;ab;7;9;ab;11;12;15;8;13;16;14;ab;17;10;6
71;0;1;ab;ab;2;5;3;4;ab;7;9;ab;11;12;15;8;13;16;14;ab;17;10;6
72;0;1;ab;ab;2;4;17;3;ab;6;8;ab;10;11;14;7;12;15;13;ab;16;9;5
73;0;1;ab;ab;2;4;17;3;ab;6;8;ab;10;11;14;7;12;15;13;ab;16;9;5
74;0;1;ab;ab;2;4;17;3;ab;6;8;ab;10;11;14;7;12;15;13;ab;16;9;5
75;0;1;ab;ab;2;4;17;3;ab;6;8;ab;10;11;14;7;12;15;13;ab;ab;9;5
