;sc;RAI;ALO;HEI;HAM;KUB;FIS;WEB;TRU;RSC;SAT;DAV;ROS;KOV;BUT;WUR;BAR;SPE;COU;LIU;SUT;ALB;MAS
0;0;1;4;2;3;5;6;7;9;8;10;21;12;11;13;15;14;17;16;19;22;20;18
1;0;1;4;2;3;5;6;7;9;8;10;21;12;11;13;16;14;18;15;19;22;20;17
2;0;1;4;2;3;5;6;7;9;8;10;21;12;11;13;17;14;18;15;19;22;20;16
3;0;1;4;2;3;5;6;7;9;8;10;21;12;11;13;17;14;18;15;19;22;20;16
4;0;1;4;2;3;5;6;7;9;8;10;21;12;11;13;17;14;18;15;19;22;20;16
5;0;1;4;2;3;5;6;7;9;8;10;22;12;11;13;17;14;18;16;19;21;20;15
6;0;1;4;2;3;5;6;7;9;8;10;22;12;11;13;17;14;18;16;19;21;20;15
7;0;1;4;2;3;5;6;7;9;8;10;22;12;11;13;17;14;18;16;19;21;20;15
8;0;1;4;2;3;5;6;7;9;8;10;22;12;11;13;17;14;18;16;19;21;20;15
9;0;1;4;2;3;5;6;7;9;8;10;22;12;11;13;17;14;18;16;19;21;20;15
10;0;1;4;2;3;5;6;7;9;8;10;21;12;11;13;17;14;18;16;19;20;ab;15
11;0;1;4;2;3;5;6;7;9;8;10;21;12;11;13;17;14;18;16;19;20;ab;15
12;0;1;4;2;3;5;6;7;9;8;10;21;12;11;13;17;14;18;16;19;20;ab;15
13;0;1;3;6;2;4;5;7;9;8;10;21;12;11;14;17;13;18;16;19;20;ab;15
14;0;1;3;7;2;4;5;6;9;8;10;21;12;11;14;17;13;18;16;19;20;ab;15
15;0;1;3;7;2;4;5;6;9;8;10;21;12;11;15;17;13;18;16;19;20;ab;14
16;0;1;3;7;2;4;5;6;9;8;10;21;12;11;15;17;13;18;16;19;20;ab;14
17;0;1;3;7;2;4;5;6;9;8;10;21;12;11;15;17;13;18;16;19;20;ab;14
18;0;3;2;7;1;4;5;6;9;8;10;21;12;11;14;16;19;17;15;18;20;ab;13
19;0;4;2;6;1;3;7;5;9;8;10;21;12;11;14;16;19;17;15;18;20;ab;13
20;0;3;2;6;1;4;8;5;9;7;10;21;12;11;14;16;19;17;15;18;20;ab;13
21;0;2;3;5;1;4;7;13;8;6;9;20;11;10;14;16;19;17;15;18;21;ab;12
22;0;1;3;5;2;4;7;16;8;6;9;19;11;10;13;15;18;17;14;20;21;ab;12
23;0;1;3;5;2;4;6;16;7;11;12;19;9;8;13;15;18;17;14;20;21;ab;10
24;0;1;3;5;2;4;6;16;10;11;15;18;8;7;12;14;17;19;13;20;21;ab;9
25;0;1;3;5;2;4;6;16;13;10;15;18;8;7;11;14;17;19;12;20;21;ab;9
26;0;1;3;5;2;4;6;15;12;10;14;18;8;9;17;13;16;19;11;20;21;ab;7
27;0;1;3;5;2;4;6;14;11;8;13;18;9;10;17;12;15;19;16;20;21;ab;7
28;0;1;3;5;2;4;6;14;11;8;13;19;9;10;16;12;15;ab;17;18;20;ab;7
29;0;1;3;5;2;4;6;14;11;7;13;19;8;9;17;12;15;ab;16;18;20;ab;10
30;0;1;3;5;2;4;6;14;11;7;13;19;8;9;17;12;15;ab;16;18;20;ab;10
31;0;1;3;5;2;4;6;13;11;7;12;19;8;9;17;15;14;ab;16;18;20;ab;10
32;0;1;3;5;2;4;6;13;11;7;12;19;8;9;17;16;14;ab;15;18;20;ab;10
33;0;1;3;5;2;4;6;13;11;7;12;19;8;9;17;16;14;ab;15;18;20;ab;10
34;0;1;3;5;2;4;6;13;11;7;12;19;8;9;17;16;14;ab;15;18;20;ab;10
35;0;1;3;5;2;4;6;13;11;8;12;19;7;9;17;16;14;ab;15;18;20;ab;10
36;0;1;3;4;2;ab;5;12;10;7;11;18;6;8;16;15;13;ab;14;17;19;ab;9
37;0;1;3;5;2;ab;4;12;10;7;11;18;6;8;16;15;13;ab;14;17;19;ab;9
38;0;1;3;5;2;ab;4;12;10;7;11;18;6;8;16;15;14;ab;13;17;19;ab;9
39;0;1;3;5;2;ab;4;12;10;7;11;18;6;9;16;15;14;ab;13;17;19;ab;8
40;0;1;3;5;2;ab;4;12;9;6;10;18;11;8;16;15;14;ab;13;17;19;ab;7
41;0;1;3;5;2;ab;4;15;9;6;12;18;10;8;16;14;13;ab;11;17;19;ab;7
42;0;2;1;5;3;ab;4;16;9;6;13;17;10;8;18;14;12;ab;11;15;19;ab;7
43;0;2;1;4;3;ab;5;17;9;6;13;16;10;8;18;14;12;ab;11;15;19;ab;7
44;0;1;2;4;3;ab;5;15;8;10;13;17;9;7;18;14;12;ab;11;16;19;ab;6
45;0;1;2;4;3;ab;5;15;11;9;13;18;7;8;17;14;12;ab;10;16;19;ab;6
46;0;1;2;4;3;ab;5;15;10;8;13;18;7;9;17;14;11;ab;12;16;19;ab;6
47;0;1;2;4;3;ab;5;15;10;8;12;18;7;9;17;13;11;ab;14;16;19;ab;6
48;0;1;2;4;3;ab;5;13;9;8;12;16;7;10;15;ab;11;ab;ab;14;17;ab;6
49;0;1;2;4;3;ab;5;13;9;8;12;16;7;10;15;ab;11;ab;ab;14;17;ab;6
50;0;1;2;4;3;ab;5;13;9;8;12;16;7;10;15;ab;11;ab;ab;14;17;ab;6
51;0;1;2;4;3;ab;5;13;9;8;12;16;7;10;15;ab;11;ab;ab;14;17;ab;6
52;0;1;2;4;3;ab;5;13;9;8;12;16;7;10;15;ab;11;ab;ab;14;17;ab;6
53;0;1;2;4;3;ab;5;13;9;8;12;16;7;10;15;ab;11;ab;ab;14;17;ab;6
54;0;1;2;4;3;ab;5;13;9;8;12;16;7;10;15;ab;11;ab;ab;14;17;ab;6
55;0;1;2;4;3;ab;5;13;9;8;12;16;7;10;15;ab;11;ab;ab;14;17;ab;6
56;0;1;2;4;3;ab;5;13;9;8;12;16;7;10;15;ab;11;ab;ab;14;17;ab;6
57;0;1;2;4;3;ab;5;13;9;8;12;16;7;10;15;ab;11;ab;ab;14;17;ab;6
