;sc;HAM;HEI;RAI;ROS;RSC;ALO;KUB;TRU;WEB;COU;KOV;WUR;FIS;MAS;DAV;LIU;BUT;BAR;SAT;VET2;SUT;YAM
0;0;1;3;2;4;5;8;6;12;7;10;9;14;11;16;13;17;19;21;15;18;20;22
1;0;1;3;2;4;5;8;6;12;7;10;9;14;11;16;13;17;19;21;15;18;20;22
2;0;1;3;2;4;5;7;6;12;8;10;9;14;11;16;13;17;19;21;15;18;20;22
3;0;1;3;2;4;5;6;7;12;8;10;9;14;11;16;13;17;19;21;15;18;20;22
4;0;1;3;2;4;5;6;7;12;8;10;9;14;11;16;13;17;19;21;15;18;20;ab
5;0;1;3;2;4;5;6;7;12;8;10;9;14;11;16;13;17;19;21;15;18;20;ab
6;0;1;3;2;4;5;6;7;12;8;10;9;14;11;16;13;17;19;21;15;18;20;ab
7;0;1;3;2;4;5;6;7;12;8;10;9;14;11;16;13;17;19;21;15;18;20;ab
8;0;1;3;2;4;5;6;7;12;8;10;9;14;11;16;13;17;19;21;15;18;20;ab
9;0;1;3;2;4;5;6;7;12;8;10;9;14;11;16;13;17;19;21;15;18;20;ab
10;0;1;3;2;4;5;6;7;11;8;10;9;14;12;16;13;17;19;21;15;18;20;ab
11;0;1;3;2;4;5;6;7;11;8;10;9;14;12;16;13;17;19;21;15;18;20;ab
12;0;1;3;2;4;5;6;7;11;8;10;9;14;12;16;13;17;19;21;15;18;20;ab
13;0;1;3;2;4;5;6;7;11;8;10;9;14;12;16;13;17;19;21;15;18;20;ab
14;0;1;3;2;4;5;6;7;11;8;10;9;14;12;16;13;17;19;21;15;18;20;ab
15;0;1;3;2;4;5;6;7;11;8;10;9;14;12;16;13;17;19;21;15;18;20;ab
16;0;1;3;2;5;4;7;6;11;8;10;9;14;12;16;13;17;19;21;15;18;20;ab
17;0;1;6;2;8;3;12;4;10;5;9;7;14;11;16;13;17;19;21;15;18;20;ab
18;0;1;5;2;7;10;12;3;9;4;8;6;14;11;16;13;17;19;21;15;18;20;ab
19;0;1;4;2;6;10;11;8;9;3;7;5;13;16;15;12;17;19;21;14;18;20;ab
20;0;1;3;2;5;8;9;7;16;10;6;4;12;15;14;11;20;18;21;13;17;19;ab
21;0;1;3;2;5;8;9;7;16;10;6;4;12;15;14;11;20;18;21;13;17;19;ab
22;0;1;3;2;5;8;9;7;16;10;6;4;12;15;14;11;20;18;21;13;17;19;ab
23;0;1;3;2;5;8;9;7;16;10;6;4;12;15;14;11;20;18;21;13;17;19;ab
24;0;1;3;2;5;8;9;7;16;10;6;4;12;15;14;11;20;18;21;13;17;19;ab
25;0;1;3;2;5;8;9;7;16;10;6;4;12;15;14;11;20;18;21;13;17;19;ab
26;0;1;3;2;5;7;8;6;16;9;12;4;11;15;14;10;20;18;21;13;17;19;ab
27;0;1;3;2;4;6;7;5;16;8;12;9;11;15;14;10;19;18;20;13;17;21;ab
28;0;1;3;2;4;6;7;5;16;8;12;9;11;15;14;10;19;18;20;13;17;21;ab
29;0;1;3;2;4;6;7;5;15;8;11;9;17;14;13;10;19;18;20;12;16;21;ab
30;0;1;3;2;4;6;7;5;14;8;10;9;16;13;12;17;18;19;20;11;15;21;ab
31;0;1;3;2;4;6;7;5;14;8;10;9;15;12;11;16;17;19;20;13;18;21;ab
32;0;1;3;2;8;5;6;4;13;7;10;9;14;12;11;15;17;20;19;16;18;21;ab
33;0;1;3;2;8;5;6;4;13;7;10;9;14;12;11;15;17;20;19;16;18;21;ab
34;0;1;3;2;8;5;6;4;13;7;10;9;14;11;12;15;17;20;19;16;18;21;ab
35;0;1;3;2;8;5;6;4;12;7;10;9;13;11;14;15;17;ab;20;16;18;19;ab
36;0;1;3;2;8;5;6;4;12;7;10;9;13;11;14;15;17;ab;20;16;18;19;ab
37;0;1;3;2;8;5;6;4;12;7;10;9;13;11;14;15;17;ab;20;16;18;19;ab
38;0;1;3;2;8;5;6;4;12;7;10;9;13;11;14;15;17;ab;20;16;18;19;ab
39;0;1;3;2;8;5;6;4;12;7;10;9;13;11;14;15;17;ab;20;16;18;19;ab
40;0;1;3;2;7;5;6;4;12;9;10;8;13;11;14;15;18;ab;20;16;17;19;ab
41;0;1;4;2;7;5;6;3;11;9;10;8;12;14;13;ab;17;ab;19;15;16;18;ab
42;0;1;3;2;7;4;5;6;11;9;10;8;12;14;13;ab;ab;ab;18;15;16;17;ab
