;sc;MAS;HAM;RAI;ALO;KUB;HEI;KOV;ROS;TRU;FIS;DAV;WEB;COU;WUR;LIU;RSC;SAT;VET2;SUT;YAM;BUT;BAR
0;0;1;3;2;6;4;5;7;8;21;13;14;10;9;11;12;15;22;17;18;19;20;16
1;0;1;3;2;6;4;5;7;8;20;13;14;10;9;11;12;15;22;17;19;21;18;16
2;0;1;3;2;6;4;5;7;8;18;12;14;10;9;11;13;15;21;19;20;22;17;16
3;0;1;3;2;6;4;5;7;8;18;12;14;10;9;11;13;15;21;19;20;22;17;16
4;0;1;3;2;6;4;5;7;8;18;12;14;10;9;11;13;15;21;19;20;22;17;16
5;0;1;3;2;6;4;5;7;8;17;12;14;10;9;11;13;15;21;19;20;22;18;16
6;0;1;3;2;6;4;5;7;8;17;12;14;10;9;11;13;15;21;19;20;22;18;16
7;0;1;3;2;6;4;5;7;8;17;12;14;10;9;11;13;15;21;19;20;22;18;16
8;0;1;3;2;6;4;5;7;8;16;11;13;18;9;10;12;14;21;19;20;22;17;15
9;0;1;3;2;6;4;5;7;8;16;11;13;ab;9;10;12;14;20;18;19;21;17;15
10;0;1;3;2;6;4;5;7;8;17;11;13;ab;9;10;12;14;20;18;19;21;16;15
11;0;1;3;2;6;4;5;7;8;17;11;13;ab;9;10;12;14;20;18;19;21;16;15
12;0;1;3;2;5;11;4;6;7;17;10;13;ab;8;9;12;14;20;18;19;21;16;15
13;0;1;3;2;5;11;4;6;7;17;10;13;ab;8;9;12;14;20;18;19;21;16;15
14;0;1;3;2;5;11;4;6;7;17;10;13;ab;8;9;12;14;20;18;19;21;16;15
15;0;1;3;2;5;11;4;6;7;17;10;13;ab;8;9;12;14;20;18;19;21;15;16
16;0;1;3;2;5;11;4;6;7;17;10;13;ab;8;9;12;14;20;18;19;21;15;16
17;0;1;3;2;4;9;8;5;10;17;7;12;ab;13;6;11;15;20;18;19;21;14;16
18;0;1;2;4;6;8;7;3;9;16;5;11;ab;12;17;10;14;20;18;19;21;13;15
19;0;3;1;4;6;8;7;2;9;16;5;11;ab;12;17;10;14;20;18;19;21;13;15
20;0;2;4;3;6;8;7;1;9;21;5;11;ab;13;16;10;14;19;17;18;20;12;15
21;0;1;3;2;5;8;6;7;9;20;4;11;ab;13;16;10;14;18;17;21;19;12;15
22;0;1;3;2;4;7;5;6;8;19;10;11;ab;12;15;9;13;18;16;21;20;17;14
23;0;1;3;2;4;7;5;6;8;19;10;11;ab;12;14;9;13;17;15;21;20;16;18
24;0;1;3;2;4;7;5;6;8;19;9;10;ab;11;13;15;12;17;14;21;20;16;18
25;0;1;3;2;4;7;5;6;8;19;9;10;ab;11;13;15;12;17;14;21;20;16;18
26;0;1;3;2;4;7;5;6;8;19;9;15;ab;10;12;14;11;17;13;21;20;16;18
27;0;1;3;2;4;7;5;6;8;19;9;15;ab;10;12;14;11;17;13;21;20;16;18
28;0;1;3;2;4;7;5;6;8;18;9;15;ab;10;12;13;11;16;19;21;20;14;17
29;0;1;3;2;4;7;5;6;8;18;9;15;ab;10;12;14;11;16;19;21;20;13;17
30;0;1;3;2;4;7;5;6;8;18;9;15;ab;10;12;14;11;16;19;21;20;13;17
31;0;1;3;2;4;7;5;6;8;18;9;15;ab;10;12;14;11;16;19;21;20;13;17
32;0;1;3;2;4;7;5;6;8;17;9;14;ab;10;11;13;15;19;18;21;20;12;16
33;0;1;3;2;4;7;5;6;8;17;9;14;ab;10;11;13;15;19;18;21;20;12;16
34;0;1;3;2;4;7;5;6;8;17;9;14;ab;10;11;13;15;19;18;21;20;12;16
35;0;1;3;2;4;7;5;6;8;16;9;13;ab;10;11;12;14;19;18;21;20;17;15
36;0;1;3;2;4;7;5;6;8;15;9;13;ab;10;11;12;14;19;18;21;20;16;17
