;sc;ALO;HAM;MAS;HEI;RAI;KUB;KOV;ROS;TRU;BUT;WEB;BAR;WUR;DAV;FIS;VET2;SAT;RSC;LIU;COU;SUT;YAM
0;0;1;2;3;5;4;6;7;8;13;9;10;11;12;16;14;22;17;18;19;15;20;21
1;0;1;2;3;5;4;6;7;8;13;9;10;11;12;15;14;21;20;16;17;ab;18;19
2;1;1;2;3;5;4;6;7;8;13;9;10;11;12;15;14;21;20;16;17;ab;18;19
3;1;1;2;3;5;4;6;7;8;13;9;10;11;12;15;14;21;20;16;17;ab;18;19
4;1;1;2;3;5;4;6;7;8;13;9;10;11;12;15;14;21;20;16;17;ab;18;19
5;1;1;2;3;5;4;6;7;8;13;9;10;11;12;15;14;21;20;16;17;ab;18;19
6;0;1;2;3;5;4;6;7;8;13;9;10;11;12;15;14;21;20;16;17;ab;18;19
7;0;1;2;3;5;4;6;7;9;13;8;10;11;12;14;15;21;20;16;17;ab;19;18
8;0;1;2;7;4;3;5;6;9;13;8;10;11;12;14;15;21;20;16;17;ab;18;19
9;0;1;2;21;4;3;5;6;8;12;7;9;10;11;13;14;20;19;15;16;ab;17;18
10;0;1;2;ab;4;3;5;6;8;12;7;9;10;11;13;14;20;19;15;16;ab;17;18
11;0;1;2;ab;4;3;5;6;8;12;7;9;10;11;13;14;20;18;15;16;ab;17;19
12;0;1;2;ab;4;3;5;6;8;12;7;9;10;11;13;14;20;18;15;16;ab;17;19
13;0;1;2;ab;4;3;5;6;8;12;7;9;10;11;13;14;20;18;15;16;ab;17;19
14;0;1;2;ab;4;3;5;6;8;11;7;9;10;12;13;14;20;18;15;16;ab;17;19
15;0;1;2;ab;4;3;5;6;8;11;7;9;10;12;13;14;20;18;15;16;ab;17;19
16;0;1;2;ab;4;3;5;6;8;11;7;9;10;12;13;14;20;18;15;16;ab;17;19
17;0;1;2;ab;4;3;5;6;8;11;7;9;10;12;13;14;20;18;15;16;ab;17;19
18;0;1;6;ab;3;2;4;5;8;11;7;9;10;12;13;14;20;18;15;16;ab;17;19
19;0;1;6;ab;3;2;4;5;8;11;7;9;10;12;13;14;19;18;15;16;ab;17;20
20;0;5;6;ab;2;1;3;4;7;11;8;9;10;12;13;14;18;17;15;16;ab;19;20
21;0;3;4;ab;5;1;2;11;6;10;7;8;9;12;13;14;18;17;15;16;ab;19;20
22;0;3;4;ab;5;1;2;11;6;10;7;8;9;12;13;14;18;17;15;16;ab;19;20
23;0;2;3;ab;4;1;11;10;5;9;6;7;8;12;13;14;18;17;15;16;ab;19;20
24;0;2;3;ab;4;1;11;10;5;9;6;7;8;12;13;14;18;17;15;16;ab;19;20
25;0;1;2;ab;4;3;11;10;5;9;6;7;8;12;14;13;18;17;15;16;ab;19;20
26;0;1;2;ab;4;3;11;10;5;9;6;7;8;12;14;13;18;17;15;16;ab;19;20
27;0;1;2;ab;4;3;11;10;5;9;6;7;8;12;14;13;18;17;15;16;ab;19;20
28;0;1;2;ab;4;3;11;10;5;9;6;7;8;12;14;13;18;17;15;16;ab;19;20
29;0;1;2;ab;4;3;11;9;5;10;6;7;8;12;14;13;18;17;15;16;ab;19;20
30;0;1;2;ab;4;3;9;8;15;18;5;6;7;10;12;11;17;14;13;16;ab;19;20
31;0;1;2;ab;4;3;9;8;14;16;5;6;7;10;12;11;18;13;17;15;ab;19;20
32;0;1;2;ab;4;3;9;8;14;15;6;5;7;10;11;12;18;13;16;17;ab;19;20
33;0;1;2;ab;4;3;8;6;11;14;13;5;7;9;10;15;18;12;16;17;ab;19;20
34;0;1;2;ab;4;3;6;5;9;13;10;11;12;7;8;14;18;16;15;17;ab;19;20
35;0;1;2;ab;4;3;6;5;8;12;9;10;11;7;14;13;18;16;15;17;ab;19;20
36;0;1;2;ab;4;3;6;5;8;12;9;10;11;7;14;13;18;16;15;17;ab;19;20
37;0;1;2;ab;4;3;6;5;7;11;8;9;10;13;14;12;18;16;15;17;ab;19;20
38;0;1;2;ab;4;3;6;5;7;11;8;9;10;13;14;12;18;16;15;17;ab;19;20
39;0;1;3;ab;6;2;5;4;7;11;8;9;10;13;14;12;18;16;15;17;ab;19;20
40;0;1;3;ab;6;2;4;5;7;11;8;9;10;13;14;12;18;16;15;17;ab;19;20
41;0;1;2;ab;5;3;4;7;6;11;8;9;10;13;14;12;18;16;15;17;ab;19;20
42;0;1;2;ab;5;3;4;7;6;11;8;9;10;13;14;12;18;16;15;17;ab;19;20
43;0;1;2;ab;4;3;6;7;5;11;8;9;10;13;14;12;18;16;15;17;ab;19;20
44;0;1;2;ab;4;3;6;7;5;11;8;9;10;13;14;12;18;16;15;17;ab;19;20
45;0;1;2;ab;4;3;5;7;6;11;8;9;10;13;14;12;18;16;15;17;ab;19;20
46;0;1;2;ab;4;3;5;7;6;11;8;9;10;13;14;12;18;16;15;17;ab;19;20
47;0;1;2;ab;4;3;5;7;6;11;8;9;10;13;14;12;18;16;15;17;ab;19;20
48;0;1;2;ab;4;3;5;7;6;11;8;9;10;13;14;12;18;16;15;17;ab;19;20
49;0;1;2;ab;4;3;5;7;6;11;8;9;10;13;14;12;18;16;15;17;ab;19;20
50;0;1;2;ab;4;3;5;7;6;11;8;9;10;13;14;12;18;16;15;17;ab;19;20
51;0;1;2;ab;4;3;5;7;6;11;8;9;10;13;14;12;18;16;15;17;ab;19;20
52;0;1;2;ab;4;3;5;7;6;11;8;9;10;13;14;12;ab;16;15;17;ab;19;ab
