;sc;RAI;MAS;ALO;HAM;ROS;HEI;WEB;TRU;KOV;RSC;COU;BUT;LIU;KUB;WUR;VET2;BAR;SAT;SUT;DAV;YAM;FIS
0;0;1;2;3;4;5;8;7;11;6;9;10;12;14;13;16;18;17;19;15;21;20;22
1;0;1;2;3;4;5;8;7;11;6;9;10;13;15;12;21;17;16;18;14;20;19;ab
2;0;1;2;3;4;5;8;6;12;7;9;11;14;15;10;21;16;17;18;13;20;19;ab
3;0;1;2;3;4;5;7;6;12;8;9;11;14;15;10;21;16;18;17;13;20;19;ab
4;0;1;2;3;4;5;7;6;13;8;10;11;14;15;9;21;16;18;17;12;20;19;ab
5;0;1;2;3;4;5;7;6;13;8;10;11;14;15;9;21;16;18;17;12;20;19;ab
6;0;1;2;3;4;5;7;6;13;8;10;11;14;15;9;21;18;17;16;12;20;19;ab
7;0;1;2;3;4;5;7;6;13;8;10;11;14;15;9;20;21;17;16;12;19;18;ab
8;0;1;2;3;4;5;7;6;13;8;10;11;14;15;9;20;ab;17;16;12;19;18;ab
9;0;1;2;3;4;5;7;6;13;8;10;11;14;15;9;20;ab;17;16;12;19;18;ab
10;0;1;2;3;4;5;7;6;13;9;10;11;14;15;8;19;ab;17;16;12;20;18;ab
11;0;1;2;3;4;5;7;6;13;9;10;11;14;15;8;19;ab;17;16;12;20;18;ab
12;0;1;2;3;4;5;7;6;13;9;10;11;14;15;8;19;ab;17;16;12;20;18;ab
13;0;1;2;3;4;6;5;7;15;9;10;11;13;14;8;19;ab;17;16;12;20;18;ab
14;0;1;2;4;3;9;5;10;19;7;8;11;13;14;6;18;ab;16;15;12;20;17;ab
15;0;3;1;5;2;8;4;9;19;6;7;10;12;14;11;18;ab;16;15;13;20;17;ab
16;0;1;2;4;5;8;3;9;17;6;7;10;12;13;11;16;ab;15;14;18;20;19;ab
17;0;1;2;4;5;8;3;9;17;6;7;10;12;13;11;16;ab;15;14;18;19;20;ab
18;0;1;2;3;4;8;6;9;17;5;7;10;12;13;11;16;ab;15;14;18;19;20;ab
19;0;1;2;3;4;7;6;9;17;5;8;10;12;13;11;16;ab;15;14;18;19;20;ab
20;0;1;2;3;4;7;6;8;16;5;13;9;11;12;10;18;ab;15;14;17;19;20;ab
21;0;1;2;3;4;7;5;8;15;6;13;9;11;12;10;19;ab;14;17;16;18;20;ab
22;0;1;2;3;4;6;5;7;15;10;13;8;11;12;9;20;ab;14;17;16;18;19;ab
23;0;1;2;3;4;6;5;7;15;10;11;8;12;13;9;20;ab;14;17;16;18;19;ab
24;0;1;2;3;4;6;5;7;13;9;11;10;15;17;8;20;ab;12;16;14;18;19;ab
25;0;1;2;3;4;6;5;7;11;9;10;13;15;17;8;19;ab;12;16;14;20;18;ab
26;0;1;2;3;4;6;5;7;11;9;10;12;14;16;8;19;ab;17;15;13;20;18;ab
27;0;1;2;3;4;6;5;7;11;9;10;12;14;16;8;19;ab;17;15;13;20;18;ab
28;0;1;2;3;4;6;5;7;11;9;10;12;14;16;8;19;ab;17;15;13;20;18;ab
29;0;1;2;3;4;6;5;7;11;9;10;ab;13;15;8;18;ab;16;14;12;19;17;ab
30;0;1;2;3;4;8;5;6;11;9;10;ab;13;14;7;18;ab;15;12;16;19;17;ab
31;0;3;1;2;4;7;5;8;11;9;10;ab;13;14;6;18;ab;15;12;16;17;19;ab
32;0;1;3;4;2;7;5;8;11;9;10;ab;12;13;6;19;ab;15;14;16;17;18;ab
33;0;1;3;4;2;6;5;7;11;8;10;ab;12;13;9;19;ab;14;16;15;17;18;ab
34;0;1;3;4;2;6;5;7;11;8;10;ab;12;13;9;ab;ab;14;16;15;17;18;ab
35;0;1;2;4;3;6;5;7;11;8;10;ab;16;12;9;ab;ab;13;15;14;17;18;ab
36;0;1;2;3;4;6;5;7;11;8;10;ab;ab;12;9;ab;ab;13;15;14;16;17;ab
37;0;1;2;3;4;6;5;7;11;8;10;ab;ab;12;9;ab;ab;13;15;14;16;17;ab
38;0;1;2;3;4;6;5;7;11;8;10;ab;ab;12;9;ab;ab;13;15;14;16;17;ab
39;0;1;2;3;4;6;5;7;11;8;10;ab;ab;12;9;ab;ab;13;15;14;16;17;ab
40;0;1;2;3;4;6;5;7;11;8;10;ab;ab;12;9;ab;ab;13;15;14;16;17;ab
41;0;1;2;3;4;6;5;7;11;8;10;ab;ab;12;9;ab;ab;13;15;14;16;17;ab
42;0;1;2;3;4;6;5;7;11;8;10;ab;ab;12;9;ab;ab;13;15;14;16;17;ab
43;0;1;2;3;4;6;5;7;11;8;10;ab;ab;12;9;ab;ab;13;15;14;16;ab;ab
