;sc;HAM;ALO;RAI;MAS;HEI;BUT;WEB;VET2;KUB;FIS;KOV;COU;TRU;LIU;RSC;ROS;BAR;WUR;DAV;SUT;SAT;YAM
0;1;1;2;3;4;5;6;7;8;9;10;11;12;13;22;14;15;16;21;17;18;19;20
1;1;1;2;3;9;4;5;6;7;8;10;11;12;13;22;14;15;16;21;17;18;19;20
2;1;1;2;8;21;3;4;5;6;7;9;10;11;12;22;13;14;15;20;16;17;18;19
3;1;1;2;21;20;3;4;5;6;7;8;9;10;11;22;12;13;14;19;15;16;17;18
4;1;1;2;21;20;3;4;5;6;7;8;9;10;11;22;12;13;14;19;15;16;17;18
5;1;1;2;21;20;3;4;5;6;7;8;9;10;11;22;12;13;14;19;15;16;17;18
6;1;1;2;21;20;3;4;5;6;7;8;9;10;11;22;12;13;14;19;15;16;17;18
7;1;1;2;21;20;3;4;5;6;7;8;9;10;11;22;12;13;14;19;15;16;17;18
8;1;1;2;21;20;3;4;5;6;7;8;9;10;11;22;12;13;14;19;15;16;17;18
9;1;1;2;21;20;3;4;5;6;7;8;9;10;11;22;12;13;14;19;15;16;17;18
10;1;1;2;21;20;3;4;5;6;7;8;9;10;11;22;12;13;14;19;15;16;17;18
11;1;1;2;21;20;3;4;5;6;7;8;9;10;13;22;11;12;14;19;15;16;17;18
12;1;1;2;20;19;3;4;5;6;7;8;9;10;13;22;11;12;14;18;15;16;17;21
13;1;1;2;20;19;3;4;5;6;7;8;9;10;13;22;11;12;14;18;15;16;17;21
14;1;1;2;21;20;3;4;5;6;7;8;9;10;13;22;11;12;14;18;15;16;17;19
15;1;1;2;20;21;3;4;5;6;7;8;9;10;17;22;11;12;13;19;14;15;16;18
16;1;1;2;19;20;3;4;5;6;7;8;9;10;17;22;11;12;13;21;14;15;16;18
17;1;1;2;18;20;3;4;5;6;7;8;9;10;19;22;11;12;15;21;13;14;17;16
18;1;1;2;16;17;3;4;5;6;7;8;9;10;22;18;12;11;19;21;13;14;20;15
19;0;1;2;14;21;10;5;4;3;8;6;7;9;20;16;12;17;19;ab;13;11;18;15
20;0;1;2;14;21;11;5;4;3;8;6;7;9;20;15;12;18;19;ab;13;10;17;16
