;sc;HAM;RAI;MAS;ALO;COU;RSC;WEB;HEI;KUB;BUT;LIU;TRU;KOV;DAV;ROS;BAR;VET2;FIS;WUR;SAT;SUT;YAM
0;0;1;2;3;4;5;22;8;6;9;11;7;13;10;14;19;15;12;18;17;16;20;21
1;0;1;2;3;4;5;20;8;6;9;13;7;12;10;21;17;22;11;16;15;14;18;19
2;0;1;2;3;4;5;18;8;6;9;13;7;12;10;19;17;20;11;16;15;14;21;22
3;0;1;2;3;4;5;18;8;7;9;13;6;12;10;19;16;20;11;17;15;14;21;22
4;0;1;2;3;4;5;18;8;7;9;13;6;12;10;20;15;19;11;17;16;14;21;22
5;0;1;2;3;4;5;17;9;7;8;13;6;12;10;20;15;19;11;18;16;14;22;21
6;0;1;2;3;4;5;17;9;7;8;13;6;12;11;20;14;19;10;18;16;15;22;21
7;0;1;2;3;4;5;16;9;7;8;13;6;11;12;20;14;19;10;18;15;17;21;22
8;0;1;2;3;4;5;16;9;7;8;13;6;11;12;20;14;19;10;17;15;18;21;22
9;0;1;2;3;4;5;16;9;7;8;13;6;11;12;20;14;19;10;17;15;18;21;22
10;0;1;2;3;4;5;15;9;7;8;13;6;11;12;20;14;19;10;17;16;18;21;22
11;0;1;2;3;4;5;15;9;7;8;13;6;11;12;ab;14;18;10;17;16;19;20;21
12;0;1;2;3;4;5;15;9;7;8;13;6;11;12;ab;14;18;10;17;16;19;20;21
13;0;1;2;3;4;5;15;9;7;8;14;6;11;12;ab;13;18;10;17;16;19;20;21
14;0;1;2;3;4;5;15;9;7;8;14;6;11;12;ab;13;18;10;17;16;19;20;21
15;0;4;1;2;3;5;15;9;7;8;14;6;11;12;ab;13;18;10;17;16;19;20;21
16;0;4;1;3;2;5;14;9;7;8;15;6;11;13;ab;12;18;10;17;16;19;20;21
17;0;3;1;6;2;4;13;9;7;8;15;5;11;14;ab;12;18;10;17;16;19;20;21
18;0;2;1;4;5;3;13;9;7;8;15;6;11;14;ab;12;18;10;17;16;19;20;21
19;0;1;2;3;4;9;13;7;5;6;15;11;10;14;ab;12;18;8;17;16;19;20;21
20;0;1;2;3;4;9;13;7;5;6;15;11;10;14;ab;12;18;8;17;16;19;20;21
21;0;1;2;3;4;9;12;7;5;6;15;11;10;14;ab;13;18;8;16;17;19;20;21
22;0;1;2;3;4;9;17;7;5;6;14;11;10;13;ab;12;16;8;15;19;18;20;21
23;0;1;2;3;4;8;19;13;5;6;15;10;9;14;ab;11;16;7;12;18;17;20;21
24;0;1;2;3;4;8;19;12;5;6;17;9;10;18;ab;11;14;7;13;16;15;ab;20
25;0;1;2;5;3;8;ab;9;4;10;14;7;12;16;ab;13;17;6;15;11;18;ab;19
26;0;1;2;6;3;12;ab;8;4;7;11;5;13;16;ab;14;18;9;15;10;17;ab;19
27;0;1;2;7;3;12;ab;8;4;6;11;5;14;15;ab;18;17;9;13;10;16;ab;19
28;0;2;1;7;3;13;ab;8;5;6;10;4;15;14;ab;18;17;9;12;11;16;ab;19
29;0;2;1;7;3;13;ab;8;5;6;10;4;15;14;ab;18;17;9;12;11;16;ab;19
30;0;ab;1;6;2;12;ab;8;5;3;9;4;14;13;ab;17;16;7;11;10;15;ab;18
31;0;ab;1;4;2;11;ab;12;5;3;7;8;14;13;ab;17;16;6;10;9;15;ab;18
32;0;ab;2;4;3;11;ab;12;10;1;6;7;14;13;ab;17;16;5;9;8;15;ab;18
33;0;ab;1;3;2;10;ab;11;9;ab;5;6;13;12;ab;16;15;4;8;7;14;ab;17
34;0;ab;1;3;2;10;ab;11;9;ab;4;6;13;12;ab;16;15;5;8;7;14;ab;17
35;0;ab;1;3;2;10;ab;11;9;ab;4;6;13;12;ab;16;15;5;8;7;14;ab;17
36;0;ab;1;3;2;10;ab;11;9;ab;4;6;13;12;ab;16;15;5;7;8;14;ab;17
37;0;ab;1;3;2;9;ab;10;8;ab;4;7;13;11;ab;16;15;5;6;12;14;ab;17
38;0;ab;1;3;2;9;ab;10;8;ab;4;7;13;11;ab;16;15;5;6;12;14;ab;17
39;0;ab;1;3;2;9;ab;10;8;ab;4;7;13;11;ab;16;15;5;6;12;14;ab;17
40;0;ab;1;3;2;9;ab;10;8;ab;4;7;13;11;ab;16;15;5;6;12;14;ab;17
41;0;ab;1;3;2;9;ab;10;8;ab;4;7;13;11;ab;16;15;5;6;12;14;ab;17
42;0;ab;1;3;2;9;ab;10;8;ab;6;7;13;11;ab;16;15;4;5;12;14;ab;17
43;0;ab;1;3;2;9;ab;10;8;ab;6;7;13;11;ab;16;15;4;5;12;14;ab;17
44;0;ab;1;3;2;9;ab;10;8;ab;6;7;13;11;ab;16;15;4;5;12;14;ab;17
45;0;ab;1;3;2;8;ab;9;7;ab;5;6;13;10;ab;16;15;4;11;12;14;ab;17
46;0;ab;1;3;2;8;ab;9;7;ab;5;6;13;10;ab;16;15;4;11;12;14;ab;17
47;0;ab;1;3;2;8;ab;10;7;ab;5;6;13;9;ab;16;15;4;11;12;14;ab;17
48;0;ab;1;3;2;8;ab;10;7;ab;5;6;13;9;ab;16;15;4;11;12;14;ab;17
49;0;ab;1;3;2;8;ab;10;7;ab;5;6;13;9;ab;16;15;4;11;12;14;ab;17
50;0;ab;1;3;2;8;ab;10;7;ab;5;6;13;9;ab;16;15;4;11;12;14;ab;17
51;0;ab;1;3;2;8;ab;10;7;ab;5;6;13;9;ab;16;15;4;11;12;14;ab;17
52;0;ab;1;3;2;8;ab;10;7;ab;5;6;13;9;ab;16;15;4;11;12;14;ab;17
53;0;ab;1;3;2;8;ab;10;7;ab;5;6;13;9;ab;16;15;4;11;12;14;ab;ab
54;0;ab;1;3;2;8;ab;10;7;ab;5;6;13;9;ab;16;15;4;11;12;14;ab;ab
55;0;ab;1;3;2;8;ab;10;7;ab;5;6;13;9;ab;16;15;4;11;12;14;ab;ab
