;sc;MAS;HAM;RAI;ALO;WEB;HEI;KUB;TRU;COU;ROS;BAR;FIS;VET2;LIU;RSC;BUT;KOV;SAT;NAK;DAV;SUT;YAM
0;0;1;8;2;3;4;6;5;7;10;9;11;15;12;21;19;14;22;13;17;16;20;18
1;0;1;7;2;3;4;6;5;8;10;9;11;21;12;20;17;14;22;13;15;16;18;19
2;0;1;7;2;3;4;6;5;8;10;9;11;ab;12;19;17;14;20;13;15;16;18;ab
3;0;1;7;2;3;4;6;5;8;10;9;11;ab;12;19;17;14;20;13;15;16;18;ab
4;0;1;7;2;3;4;6;5;8;10;9;11;ab;12;19;17;14;20;13;15;16;18;ab
5;0;1;7;2;3;4;6;5;8;10;9;11;ab;12;19;17;14;20;13;15;16;18;ab
6;0;1;6;2;3;4;7;5;8;10;9;11;ab;12;19;17;14;20;13;15;16;18;ab
7;0;1;18;2;3;5;6;4;7;9;8;10;ab;11;19;16;13;20;12;14;15;17;ab
8;0;1;18;2;3;5;6;4;7;9;8;13;ab;10;19;16;12;20;11;14;15;17;ab
9;0;1;18;2;3;5;6;4;7;9;8;17;ab;10;19;15;12;20;11;13;14;16;ab
10;0;1;17;2;3;5;6;4;7;9;8;18;ab;10;19;15;12;20;11;13;14;16;ab
11;0;1;16;2;3;5;6;4;7;9;8;18;ab;10;19;15;12;20;11;13;14;17;ab
12;0;1;16;2;3;5;6;4;7;9;8;18;ab;10;19;15;11;20;13;12;14;17;ab
13;0;1;16;2;3;5;6;4;7;9;8;18;ab;10;19;15;11;20;12;13;14;17;ab
14;0;1;12;2;3;ab;5;4;6;8;7;17;ab;9;18;15;10;19;13;11;14;16;ab
15;0;1;12;2;3;ab;5;4;6;8;7;17;ab;9;18;15;10;19;13;11;14;16;ab
16;0;1;11;2;3;ab;5;4;6;8;7;17;ab;9;18;15;10;19;13;12;14;16;ab
17;0;1;11;2;3;ab;5;4;6;8;7;17;ab;9;18;15;10;19;13;12;14;16;ab
18;0;1;11;2;3;ab;5;4;6;8;7;17;ab;9;18;15;10;19;13;12;14;16;ab
19;0;2;11;1;3;ab;4;9;5;7;6;17;ab;8;18;15;10;19;13;12;14;16;ab
20;0;3;10;1;2;ab;4;9;5;7;6;16;ab;8;17;14;ab;18;12;11;13;15;ab
21;0;2;10;3;1;ab;4;8;7;6;5;14;ab;9;17;13;ab;18;12;11;15;16;ab
22;0;1;14;2;6;ab;3;7;8;5;4;13;ab;12;17;11;ab;18;10;9;15;16;ab
