;sc;MAS;ALO;RAI;HAM;HEI;ROS;KUB;TRU;RSC;WEB;KOV;FIS;COU;SAT;BUT;LIU;SPE;DAV;WUR;ALB;SUT;BAR
0;0;3;1;4;2;5;7;6;9;13;11;10;8;12;19;16;17;14;15;18;21;ab;20
1;0;3;1;4;2;5;7;6;9;13;11;10;8;12;19;16;21;14;15;17;20;ab;18
2;0;3;1;4;2;5;7;6;9;13;11;10;8;12;19;16;21;14;15;17;20;ab;18
3;0;3;1;4;2;5;7;6;9;13;11;10;8;12;19;17;21;14;15;16;20;ab;18
4;0;3;1;4;2;5;7;6;9;13;11;10;8;12;19;17;21;14;15;16;20;ab;18
5;0;5;1;3;2;4;7;6;9;13;11;10;8;12;19;18;21;14;16;15;20;ab;17
6;0;5;1;3;2;4;7;6;9;13;11;10;8;12;19;18;20;15;16;14;21;ab;17
7;0;5;1;3;2;4;7;6;9;14;11;10;8;12;19;18;20;15;16;13;ab;ab;17
8;0;5;1;3;2;4;7;6;9;14;11;10;8;12;19;18;20;15;16;13;ab;ab;17
9;0;5;1;3;2;4;7;6;9;14;11;10;8;12;18;19;20;15;16;13;ab;ab;17
10;0;5;1;3;2;4;6;11;8;14;10;9;7;12;18;19;20;15;16;13;ab;ab;17
11;0;5;1;3;2;4;6;19;8;13;10;9;7;11;16;17;20;14;15;12;ab;ab;18
12;0;5;1;3;2;4;6;18;8;13;10;9;7;12;16;17;20;14;15;11;ab;ab;19
13;0;5;1;3;2;4;6;18;8;13;10;9;7;12;16;17;20;14;15;11;ab;ab;19
14;0;5;1;3;2;4;6;18;8;13;10;9;7;12;16;17;20;14;15;11;ab;ab;19
15;0;5;1;3;2;4;6;18;8;13;10;9;7;12;16;17;20;14;15;11;ab;ab;19
16;0;5;1;3;2;4;6;18;8;13;10;9;7;12;17;16;20;15;14;11;ab;ab;19
17;0;10;1;3;2;4;5;16;8;12;9;7;6;11;20;13;19;18;14;15;ab;ab;17
18;0;9;3;6;1;2;4;15;13;11;8;7;5;10;18;12;20;17;19;14;ab;ab;16
19;0;8;3;5;1;2;9;14;12;17;7;6;4;10;18;11;20;16;19;13;ab;ab;15
20;0;7;2;5;3;1;9;14;12;16;8;6;4;10;18;11;20;17;19;13;ab;ab;15
21;0;7;1;5;3;2;8;13;10;15;12;6;4;9;18;16;20;17;19;11;ab;ab;14
22;0;6;1;3;2;5;7;13;9;15;12;10;4;8;18;16;20;17;19;11;ab;ab;14
23;0;5;1;3;2;4;6;13;9;15;12;10;8;7;18;16;20;17;19;11;ab;ab;14
24;0;5;1;3;2;4;6;13;9;15;12;10;8;7;18;16;20;17;19;11;ab;ab;14
25;0;5;1;3;2;4;6;13;9;15;12;10;8;7;18;16;20;17;19;11;ab;ab;14
26;0;5;1;3;2;4;6;17;8;14;11;9;7;12;18;15;20;16;19;10;ab;ab;13
27;0;5;1;3;2;4;6;20;8;17;11;9;7;12;16;14;19;15;18;10;ab;ab;13
28;0;5;1;3;2;4;6;20;8;19;11;9;7;12;16;14;18;15;17;10;ab;ab;13
29;0;5;1;3;2;4;6;20;8;19;11;9;7;12;16;14;18;15;17;10;ab;ab;13
30;0;5;1;3;2;4;6;20;8;19;11;9;7;12;16;14;18;15;17;10;ab;ab;13
31;0;5;1;3;2;4;6;20;8;19;11;9;7;12;16;14;18;15;17;10;ab;ab;13
32;0;5;1;3;2;4;6;20;8;19;11;9;7;12;16;14;18;15;17;10;ab;ab;13
33;0;5;1;3;2;4;6;19;8;20;11;9;7;12;15;13;18;16;17;10;ab;ab;14
