;sc;MAS;HAM;RAI;ALO;HEI;KUB;FIS;WEB;TRU;ROS;WUR;KOV;DAV;RSC;BAR;BUT;SAT;LIU;SPE;SUT;COU;ALB
0;1;1;2;4;3;5;6;7;8;10;13;11;9;12;18;16;ab;14;17;ab;20;15;19
1;1;1;2;4;3;5;6;7;8;10;13;11;9;12;18;16;ab;14;17;ab;20;15;19
2;1;1;2;4;3;5;6;7;8;10;13;11;9;12;17;16;ab;14;19;ab;20;15;18
3;0;1;2;4;3;5;6;7;8;10;12;11;9;13;17;16;ab;14;19;ab;20;15;18
4;0;1;2;4;3;5;6;7;8;10;12;11;9;13;16;17;ab;15;19;ab;20;14;18
5;0;1;2;4;3;5;6;7;8;10;12;11;9;14;16;17;ab;15;18;ab;20;13;19
6;0;1;2;4;3;5;6;7;8;10;12;11;9;14;16;17;ab;15;18;ab;20;13;19
7;0;1;2;4;3;5;6;7;8;10;12;11;9;14;16;17;ab;15;18;ab;20;13;19
8;0;1;2;4;3;5;6;7;8;10;12;11;9;14;16;17;ab;15;18;ab;20;13;19
9;0;1;2;4;3;5;6;7;8;10;13;11;9;14;16;17;ab;15;19;ab;20;12;18
10;0;1;2;4;3;5;6;7;8;10;13;11;9;14;16;17;ab;15;19;ab;20;12;18
11;0;1;2;4;3;5;6;7;8;10;13;11;9;14;16;17;ab;15;19;ab;20;12;18
12;0;1;2;4;3;5;6;7;8;10;13;11;9;14;16;17;ab;15;19;ab;20;12;18
13;0;1;2;4;3;5;6;7;8;10;13;11;9;14;16;17;ab;15;19;ab;20;12;18
14;0;1;2;4;3;5;6;7;8;9;13;12;10;14;16;17;ab;15;19;ab;20;11;18
15;0;1;2;4;3;5;6;7;8;9;13;12;10;14;16;17;ab;15;19;ab;20;11;18
16;0;1;2;4;3;5;6;7;8;9;11;13;10;14;16;17;ab;15;19;ab;20;12;18
17;0;1;2;4;3;5;6;7;8;9;11;16;10;12;18;14;ab;13;19;ab;20;15;17
18;0;1;2;4;3;5;6;7;14;8;9;16;10;11;18;13;ab;12;19;ab;20;15;17
19;0;1;6;3;2;4;5;13;14;7;8;16;9;10;17;12;ab;11;19;ab;20;15;18
20;0;1;6;3;2;4;5;11;13;7;8;15;9;10;16;12;ab;17;18;ab;20;14;19
21;0;5;6;1;3;2;4;10;11;13;7;15;8;9;16;12;ab;17;19;ab;20;14;18
22;0;3;5;1;6;2;4;9;10;13;14;15;7;8;16;11;ab;17;19;ab;20;12;18
23;0;1;2;3;4;5;8;9;10;13;15;14;6;7;16;11;ab;17;19;ab;20;12;18
24;0;1;2;3;4;5;8;9;10;13;14;15;7;6;16;12;ab;17;19;ab;20;11;18
25;0;1;2;3;4;5;7;8;9;11;12;14;15;6;16;13;ab;17;19;ab;20;10;18
26;0;1;2;3;4;5;7;8;9;11;12;13;14;6;15;17;ab;16;ab;ab;19;10;18
27;0;1;2;3;4;5;7;8;10;11;12;13;14;6;15;17;ab;16;ab;ab;19;9;18
28;0;1;2;3;4;5;6;7;9;10;11;12;13;14;15;17;ab;16;ab;ab;19;8;18
29;0;1;2;3;4;5;6;7;9;10;11;12;13;14;15;17;ab;16;ab;ab;19;8;18
30;0;1;2;3;4;5;6;9;8;10;11;12;13;14;15;17;ab;16;ab;ab;19;7;18
31;0;1;2;3;5;4;6;9;8;10;11;12;13;14;15;17;ab;16;ab;ab;19;7;18
32;0;1;2;3;5;4;6;9;8;10;11;12;13;14;15;17;ab;16;ab;ab;19;7;18
33;0;1;2;3;5;4;6;9;8;10;11;14;12;13;15;17;ab;16;ab;ab;19;7;18
34;0;1;2;3;5;4;6;10;8;9;11;15;12;13;14;16;ab;ab;ab;ab;18;7;17
35;0;1;2;3;5;4;6;9;7;8;10;14;11;12;13;15;ab;ab;ab;ab;18;16;17
36;0;1;2;3;5;4;6;9;7;8;10;14;11;12;13;15;ab;ab;ab;ab;17;ab;16
37;0;1;2;3;5;4;6;9;7;8;10;14;11;12;13;15;ab;ab;ab;ab;17;ab;16
38;0;1;2;3;5;4;6;8;12;7;10;13;9;11;14;15;ab;ab;ab;ab;17;ab;16
39;0;1;2;3;5;4;6;8;10;7;11;12;9;13;15;14;ab;ab;ab;ab;17;ab;16
40;0;5;1;2;4;3;6;8;10;7;11;12;9;13;15;14;ab;ab;ab;ab;17;ab;16
41;0;3;1;4;2;6;5;8;ab;7;10;11;9;12;14;13;ab;ab;ab;ab;16;ab;15
42;0;3;1;4;2;5;6;7;ab;8;10;11;9;12;14;13;ab;ab;ab;ab;16;ab;15
43;0;2;1;3;5;4;6;7;ab;8;10;11;9;12;14;13;ab;ab;ab;ab;16;ab;15
44;0;1;2;3;5;4;6;8;ab;7;10;11;9;12;14;13;ab;ab;ab;ab;16;ab;15
45;0;1;2;3;5;4;6;8;ab;7;10;11;9;12;14;13;ab;ab;ab;ab;16;ab;15
46;0;1;2;3;5;4;6;8;ab;7;10;11;9;12;13;14;ab;ab;ab;ab;16;ab;15
47;0;1;2;3;5;4;6;8;ab;7;10;11;9;12;13;14;ab;ab;ab;ab;16;ab;15
48;0;1;2;3;5;4;6;8;ab;7;10;11;9;12;13;14;ab;ab;ab;ab;16;ab;15
49;0;1;2;3;5;4;6;8;ab;7;10;11;9;12;13;14;ab;ab;ab;ab;16;ab;15
50;0;1;2;3;5;4;6;8;ab;7;10;11;9;12;13;14;ab;ab;ab;ab;16;ab;15
51;0;1;2;3;5;4;6;8;ab;7;10;11;9;16;12;13;ab;ab;ab;ab;15;ab;14
52;0;1;2;3;5;4;6;8;ab;7;10;11;9;16;12;13;ab;ab;ab;ab;15;ab;14
53;0;1;2;3;5;4;6;8;ab;7;10;11;9;16;12;13;ab;ab;ab;ab;15;ab;14
