;sc;HAM;ALO;HEI;RAI;MAS;WEB;ROS;KUB;FIS;TRU;SAT;LIU;BAR;COU;BUT;SPE;DAV;RSC;WUR;SUT;ALB;KOV
0;0;1;3;2;6;4;9;5;8;7;11;10;12;13;14;ab;16;17;19;15;20;21;18
1;0;1;3;2;6;4;9;5;8;7;11;10;12;13;14;ab;16;17;19;15;20;21;18
2;0;1;3;2;6;4;9;5;8;7;11;10;12;13;14;ab;16;18;19;15;20;21;17
3;0;1;3;2;6;4;14;5;8;7;10;9;11;12;13;ab;16;18;19;15;20;21;17
4;0;1;3;2;6;4;14;5;8;7;10;9;11;12;13;ab;16;18;19;15;20;21;17
5;0;1;3;2;6;4;13;5;8;7;10;9;11;12;14;ab;16;18;19;15;20;21;17
6;0;1;3;2;6;4;13;5;8;7;10;9;11;12;14;ab;16;18;19;15;20;21;17
7;0;1;3;2;6;4;12;5;8;7;10;9;11;13;14;ab;16;18;19;15;20;21;17
8;0;1;3;2;6;4;12;5;8;7;10;9;11;13;14;ab;ab;17;18;15;19;20;16
9;0;1;3;2;6;4;12;5;8;7;10;9;11;13;14;ab;ab;17;18;15;19;20;16
10;0;1;3;2;6;4;12;5;8;7;10;9;11;13;14;ab;ab;17;18;15;19;20;16
11;0;1;3;2;6;4;12;5;8;7;10;9;11;13;14;ab;ab;17;18;16;19;20;15
12;0;1;3;2;6;4;12;5;8;7;10;9;11;13;14;ab;ab;17;18;16;19;20;15
13;0;1;3;2;6;4;12;5;8;7;10;9;11;13;14;ab;ab;17;18;16;19;20;15
14;0;1;3;2;6;4;12;5;8;7;10;9;11;13;14;ab;ab;17;18;16;19;20;15
15;0;1;3;2;6;4;12;5;8;7;10;9;11;13;14;ab;ab;17;18;16;19;20;15
16;0;1;3;2;6;4;12;5;8;7;10;9;11;13;14;ab;ab;17;18;16;19;20;15
17;0;1;3;2;6;4;12;5;8;7;10;9;11;13;14;ab;ab;17;18;16;19;20;15
18;0;1;4;2;6;3;12;5;8;7;10;9;11;13;14;ab;ab;17;18;16;19;20;15
19;0;1;3;7;5;2;12;4;8;6;10;9;11;13;14;ab;ab;17;18;16;19;20;15
20;0;1;3;7;5;2;12;4;8;6;10;9;11;13;14;ab;ab;17;18;16;19;20;15
21;0;2;3;7;5;1;18;4;8;6;10;9;11;12;13;ab;ab;16;17;15;ab;19;14
22;1;2;7;5;3;1;18;8;6;4;10;9;11;12;13;ab;ab;16;17;15;ab;19;14
23;1;2;7;5;3;1;18;8;6;4;10;9;11;12;13;ab;ab;16;17;15;ab;19;14
24;1;1;3;2;16;12;11;4;14;13;15;18;17;5;7;ab;ab;9;10;8;ab;19;6
25;1;1;3;2;16;12;11;4;15;13;14;18;17;5;6;ab;ab;9;10;8;ab;19;7
26;0;1;3;2;12;10;9;4;ab;11;13;14;17;5;16;ab;ab;7;8;6;ab;15;18
27;1;1;3;2;12;10;9;4;ab;11;13;14;17;5;16;ab;ab;7;8;6;ab;15;18
28;1;1;3;2;12;10;9;4;ab;11;18;13;16;5;15;ab;ab;7;8;6;ab;14;17
29;1;1;3;2;10;8;7;4;ab;9;18;11;17;14;16;ab;ab;5;6;15;ab;12;13
30;1;1;3;2;10;8;7;4;ab;9;17;11;16;14;18;ab;ab;5;6;15;ab;12;13
31;1;1;3;2;10;8;7;4;ab;9;16;11;18;14;17;ab;ab;5;6;15;ab;12;13
32;1;1;3;2;10;8;7;4;ab;9;16;11;18;14;17;ab;ab;5;6;15;ab;12;13
33;0;1;3;2;11;8;7;4;ab;9;16;10;18;14;17;ab;ab;5;6;15;ab;12;13
34;0;1;3;2;11;8;7;4;ab;9;16;10;18;14;17;ab;ab;5;6;15;ab;12;13
35;0;1;14;2;9;6;5;17;ab;7;18;8;16;12;15;ab;ab;3;4;13;ab;10;11
36;0;1;13;2;8;5;4;16;ab;6;15;7;14;11;ab;ab;ab;17;3;12;ab;10;9
37;0;1;13;2;8;5;4;16;ab;6;15;7;14;11;ab;ab;ab;17;3;12;ab;10;9
38;0;1;12;2;8;5;4;16;ab;6;15;7;14;11;ab;ab;ab;17;3;13;ab;10;9
39;0;1;10;2;7;4;3;16;ab;5;15;6;14;11;ab;ab;ab;17;12;13;ab;9;8
40;0;1;9;2;7;4;3;16;ab;5;15;6;14;11;ab;ab;ab;17;12;13;ab;10;8
41;0;1;8;2;7;4;3;16;ab;5;15;6;14;10;ab;ab;ab;17;12;13;ab;11;9
42;0;1;8;2;7;4;3;16;ab;5;15;6;14;10;ab;ab;ab;17;12;13;ab;11;9
43;0;1;8;2;7;4;3;16;ab;5;14;6;13;9;ab;ab;ab;17;11;12;ab;10;15
44;0;1;8;2;7;4;3;16;ab;5;14;6;13;9;ab;ab;ab;17;10;12;ab;11;15
45;0;1;8;2;7;4;3;16;ab;5;14;6;13;9;ab;ab;ab;17;10;12;ab;11;15
46;0;1;8;2;7;4;3;16;ab;5;14;6;13;9;ab;ab;ab;17;10;12;ab;11;15
47;0;1;7;3;6;4;2;15;ab;8;13;5;12;9;ab;ab;ab;16;10;11;ab;ab;14
48;0;1;7;3;6;4;2;15;ab;8;13;5;12;9;ab;ab;ab;16;10;11;ab;ab;14
49;1;1;6;3;5;4;2;15;ab;7;13;12;11;8;ab;ab;ab;16;9;10;ab;ab;14
50;1;1;6;3;5;4;2;15;ab;7;13;12;11;8;ab;ab;ab;16;9;10;ab;ab;14
51;1;1;5;3;4;dsq;2;13;ab;dsq;11;10;9;6;ab;ab;ab;14;7;8;ab;ab;12
52;1;1;9;3;10;dsq;2;13;ab;dsq;7;12;6;4;ab;ab;ab;14;11;5;ab;ab;8
53;1;1;8;2;9;dsq;12;13;ab;dsq;6;11;5;3;ab;ab;ab;14;10;4;ab;ab;7
54;0;1;7;2;8;dsq;11;12;ab;dsq;6;10;ab;3;ab;ab;ab;13;9;4;ab;ab;5
55;1;1;9;2;7;dsq;11;12;ab;dsq;6;10;ab;3;ab;ab;ab;13;8;4;ab;ab;5
56;1;1;9;2;7;dsq;11;12;ab;dsq;6;10;ab;3;ab;ab;ab;13;8;4;ab;ab;5
57;1;1;8;2;6;dsq;10;11;ab;dsq;12;9;ab;3;ab;ab;ab;13;7;4;ab;ab;5
58;1;1;8;2;6;dsq;10;11;ab;dsq;ab;9;ab;3;ab;ab;ab;12;7;4;ab;ab;5
59;1;1;8;2;6;dsq;10;11;ab;dsq;ab;9;ab;3;ab;ab;ab;12;7;4;ab;ab;5
60;0;1;7;2;6;dsq;10;11;ab;dsq;ab;9;ab;3;ab;ab;ab;12;8;4;ab;ab;5
61;0;1;7;2;6;dsq;10;11;ab;dsq;ab;9;ab;3;ab;ab;ab;12;8;4;ab;ab;5
62;0;1;6;2;5;dsq;9;10;ab;dsq;ab;8;ab;12;ab;ab;ab;11;7;3;ab;ab;4
63;0;1;6;2;5;dsq;9;10;ab;dsq;ab;8;ab;12;ab;ab;ab;11;7;3;ab;ab;4
64;0;1;6;2;5;dsq;9;10;ab;dsq;ab;8;ab;12;ab;ab;ab;11;7;3;ab;ab;4
65;0;1;6;2;5;dsq;9;10;ab;dsq;ab;7;ab;12;ab;ab;ab;11;8;3;ab;ab;4
66;0;1;6;2;5;dsq;9;10;ab;dsq;ab;7;ab;12;ab;ab;ab;11;8;3;ab;ab;4
67;0;1;7;2;5;dsq;9;10;ab;dsq;ab;6;ab;12;ab;ab;ab;11;8;3;ab;ab;4
68;0;1;7;2;5;dsq;9;10;ab;dsq;ab;6;ab;12;ab;ab;ab;11;8;3;ab;ab;4
69;0;1;7;2;5;dsq;9;10;ab;dsq;ab;6;ab;12;ab;ab;ab;11;8;3;ab;ab;4
