;sc;HAM;ALO;MAS;RAI;HEI;KOV;VET;TRU;WEB;FIS;COU;RSC;BUT;ROS;BAR;DAV;WUR;SAT;LIU;SPE;SUT;ALB
0;0;1;2;3;6;4;5;11;7;9;8;ab;ab;17;10;ab;19;13;16;12;15;14;18
1;0;1;2;3;6;4;5;10;7;8;19;ab;ab;16;9;ab;18;12;15;11;14;13;17
2;0;1;2;3;6;4;5;10;7;8;19;ab;ab;16;9;ab;18;12;15;11;14;13;17
3;0;1;2;3;6;4;5;10;7;8;19;ab;ab;16;9;ab;18;12;15;11;14;13;17
4;0;1;2;3;6;4;5;10;7;8;18;ab;ab;16;9;ab;17;12;15;11;14;13;19
5;0;1;2;3;6;4;5;10;7;8;18;ab;ab;16;9;ab;17;12;15;11;14;13;19
6;0;1;2;3;6;4;5;10;7;8;18;ab;ab;16;9;ab;17;12;14;11;15;13;19
7;0;1;2;3;6;4;5;10;7;8;17;ab;ab;16;9;ab;18;12;14;11;15;13;19
8;0;1;2;3;6;4;5;10;7;8;16;ab;ab;17;9;ab;18;12;14;11;15;13;19
9;0;1;2;3;6;4;5;10;7;8;16;ab;ab;17;9;ab;18;12;14;11;15;13;19
10;0;1;2;3;6;4;5;10;7;8;16;ab;ab;17;9;ab;18;12;14;11;15;13;19
11;0;1;2;3;6;4;5;10;7;8;16;ab;ab;17;9;ab;18;12;14;11;15;13;19
12;0;1;2;3;6;4;5;10;7;8;15;ab;ab;17;9;ab;18;12;14;11;16;13;19
13;0;1;2;3;6;4;5;10;7;8;14;ab;ab;16;9;ab;17;12;ab;11;15;13;18
14;0;1;2;3;6;4;5;10;7;8;13;ab;ab;16;9;ab;17;12;ab;11;15;14;18
15;0;1;2;3;6;4;5;10;7;8;13;ab;ab;16;9;ab;17;12;ab;11;15;14;18
16;0;1;2;3;6;4;5;10;7;8;13;ab;ab;16;9;ab;17;12;ab;11;15;14;18
17;0;1;2;3;6;4;5;10;7;8;13;ab;ab;16;9;ab;17;12;ab;11;15;14;18
18;0;1;2;3;6;4;5;10;7;8;13;ab;ab;16;9;ab;17;12;ab;11;15;14;18
19;0;1;2;3;6;4;5;10;7;8;13;ab;ab;16;9;ab;17;12;ab;11;15;14;18
20;0;4;1;6;3;10;2;9;5;7;13;ab;ab;16;8;ab;17;12;ab;11;15;14;18
21;0;4;3;7;2;10;1;9;5;6;13;ab;ab;16;8;ab;17;12;ab;11;15;14;18
22;0;3;5;7;2;10;1;9;4;6;12;ab;ab;16;8;ab;17;13;ab;11;15;14;18
23;0;2;3;6;8;9;1;10;4;5;12;ab;ab;16;7;ab;17;13;ab;11;15;14;18
24;0;2;3;6;9;8;1;10;4;5;12;ab;ab;16;7;ab;17;13;ab;11;15;14;18
25;0;2;3;6;9;8;1;10;4;5;12;ab;ab;15;7;ab;17;13;ab;11;16;14;18
26;0;1;2;5;9;8;6;10;3;4;12;ab;ab;15;7;ab;17;13;ab;11;16;14;18
27;0;1;2;5;7;8;9;10;3;4;12;ab;ab;14;6;ab;16;13;ab;11;15;17;18
28;0;1;2;5;7;8;9;10;3;4;11;ab;ab;14;6;ab;16;13;ab;12;15;18;17
29;0;1;2;4;6;7;8;10;3;9;11;ab;ab;14;5;ab;16;13;ab;12;15;18;17
30;0;1;2;3;5;6;7;10;8;9;11;ab;ab;14;4;ab;16;13;ab;12;15;17;18
31;0;1;2;3;5;6;7;10;8;9;11;ab;ab;14;4;ab;16;13;ab;12;15;17;18
32;0;1;2;3;5;6;7;10;8;9;11;ab;ab;14;4;ab;16;13;ab;12;15;17;18
33;0;1;2;3;5;6;7;10;8;9;11;ab;ab;14;4;ab;16;13;ab;12;15;17;18
34;0;1;2;3;5;6;7;10;8;9;11;ab;ab;14;4;ab;16;13;ab;12;15;17;18
35;0;1;2;3;5;6;7;10;8;9;15;ab;ab;13;4;ab;14;12;ab;11;16;17;18
36;0;1;2;3;5;6;7;10;8;9;14;ab;ab;12;4;ab;13;11;ab;17;16;15;18
37;0;1;2;3;5;6;7;10;8;9;14;ab;ab;12;4;ab;13;11;ab;17;16;15;18
38;0;1;2;3;5;6;7;10;8;9;14;ab;ab;12;4;ab;13;11;ab;17;16;15;18
39;0;1;2;3;4;5;6;9;7;8;14;ab;ab;12;10;ab;13;11;ab;17;16;15;18
