;sc;MAS;HAM;RAI;KUB;FIS;KOV;HEI;TRU;ROS;ALO;RSC;BUT;BAR;WEB;SPE;COU;LIU;WUR;DAV;ALB;SUT;SAT
0;0;1;3;2;4;5;20;6;21;7;8;11;9;10;12;14;13;ab;15;19;17;18;16
1;0;1;3;2;4;5;19;6;ab;8;7;11;9;10;12;14;13;ab;15;ab;17;18;16
2;0;1;3;2;4;5;19;6;ab;8;7;11;9;10;12;14;13;ab;15;ab;17;18;16
3;0;1;3;2;4;5;19;6;ab;8;7;11;9;10;12;15;13;ab;14;ab;17;18;16
4;0;1;3;2;4;5;19;6;ab;8;7;11;9;10;12;16;13;ab;14;ab;17;18;15
5;0;1;3;2;4;5;19;6;ab;8;7;11;9;10;12;16;13;ab;14;ab;17;18;15
6;0;1;3;2;4;5;19;6;ab;8;7;11;9;10;12;16;13;ab;14;ab;17;18;15
7;0;1;3;2;4;5;19;6;ab;8;7;11;9;10;12;16;13;ab;14;ab;17;18;15
8;0;1;3;2;4;5;19;6;ab;8;7;11;9;10;12;16;13;ab;14;ab;17;18;15
9;0;1;3;2;4;5;19;6;ab;8;7;11;9;10;12;16;13;ab;14;ab;17;18;15
10;0;1;3;2;4;5;19;6;ab;8;7;11;9;10;12;16;13;ab;14;ab;17;18;15
11;0;1;3;2;4;5;19;6;ab;8;7;11;9;10;12;16;13;ab;14;ab;17;18;15
12;0;1;3;2;4;5;19;6;ab;8;7;11;9;10;12;16;13;ab;14;ab;17;18;15
13;0;1;3;2;4;5;19;6;ab;8;7;11;9;10;12;16;13;ab;14;ab;17;18;15
14;0;1;3;2;4;5;19;6;ab;8;7;11;9;10;12;16;13;ab;14;ab;17;18;15
15;0;1;3;2;4;5;19;6;ab;8;7;11;9;10;12;16;13;ab;14;ab;17;18;15
16;0;1;7;2;3;4;19;5;ab;6;9;11;8;10;12;16;13;ab;14;ab;17;18;15
17;0;1;7;2;3;4;19;5;ab;6;9;11;8;10;12;16;13;ab;14;ab;17;18;15
18;0;1;7;2;3;4;18;5;ab;6;9;11;8;10;12;15;13;ab;14;ab;17;16;19
19;0;2;4;1;6;8;18;3;ab;5;9;11;7;10;12;15;13;ab;14;ab;17;16;19
20;0;2;4;1;5;7;18;3;ab;9;8;11;6;10;12;15;13;ab;14;ab;17;16;19
21;0;2;4;1;5;7;18;3;ab;9;8;11;6;10;12;15;13;ab;14;ab;17;16;19
22;0;1;3;2;4;8;18;6;ab;9;7;11;5;10;12;15;13;ab;14;ab;17;16;19
23;0;1;3;2;4;8;18;6;ab;9;7;11;5;10;12;15;13;ab;14;ab;17;16;19
24;0;1;3;2;4;8;18;6;ab;9;7;11;5;10;12;15;13;ab;14;ab;17;16;19
25;0;1;3;2;4;8;18;6;ab;9;7;11;5;10;12;15;13;ab;14;ab;17;16;19
26;0;1;3;2;4;8;19;6;ab;9;7;12;5;10;11;15;13;ab;14;ab;17;16;18
27;0;1;3;2;4;8;19;6;ab;9;7;16;5;10;11;14;12;ab;13;ab;17;15;18
28;0;1;3;2;4;8;18;6;ab;9;7;14;5;10;11;13;12;ab;15;ab;ab;17;16
29;0;1;3;2;4;8;18;6;ab;9;7;14;5;10;12;13;11;ab;15;ab;ab;17;16
30;0;1;3;2;4;8;18;6;ab;9;7;12;5;10;13;15;11;ab;14;ab;ab;17;16
