;sc;HAM;RAI;ALO;MAS;KUB;RSC;KOV;FIS;HEI;TRU;WEB;COU;WUR;BAR;SPE;LIU;ROS;BUT;DAV;SUT;SAT;ALB
0;0;1;2;3;19;4;8;5;6;7;10;9;11;13;16;12;15;14;17;18;20;22;21
1;0;1;2;3;16;4;8;5;6;7;10;9;11;14;17;12;15;13;18;19;20;22;21
2;0;1;2;3;15;4;8;5;6;7;10;9;11;14;17;13;16;12;18;19;20;22;21
3;0;1;2;3;14;4;8;5;6;7;10;9;11;15;17;13;16;12;18;19;20;22;21
4;0;1;2;3;13;4;8;5;6;7;10;9;11;15;17;14;16;12;18;19;20;22;21
5;0;1;2;3;13;4;8;5;6;7;10;9;11;15;17;14;16;12;18;19;20;22;21
6;0;1;2;3;12;4;8;5;6;7;10;9;11;15;17;14;16;13;18;19;20;22;21
7;0;1;2;3;10;4;8;5;6;7;9;22;11;14;16;13;15;12;17;18;19;21;20
8;0;1;2;3;10;4;8;5;6;7;9;ab;11;14;16;13;15;12;17;18;19;21;20
9;0;1;2;3;10;4;8;5;6;7;9;ab;11;14;16;13;15;12;17;18;19;21;20
10;0;1;2;3;9;4;8;5;6;7;10;ab;11;14;16;13;15;12;17;18;19;21;20
11;0;1;2;3;9;4;8;6;5;7;10;ab;11;14;16;13;15;12;17;18;19;21;20
12;0;1;2;3;9;4;8;6;5;7;10;ab;11;14;16;13;15;12;17;18;19;21;20
13;0;1;2;3;9;4;8;6;5;7;10;ab;11;14;16;13;15;12;17;18;19;21;20
14;0;1;2;3;9;4;7;8;5;6;10;ab;11;13;16;12;15;14;17;18;19;21;20
15;0;3;1;2;7;4;8;11;6;5;9;ab;10;13;15;12;14;21;16;17;18;20;19
16;0;5;1;2;4;6;12;10;8;3;7;ab;9;13;15;11;14;20;16;17;ab;19;18
17;0;5;2;1;4;6;12;10;7;3;9;ab;8;13;15;11;14;20;16;17;ab;19;18
18;0;5;4;1;2;6;11;9;7;3;17;ab;8;12;14;10;13;20;15;16;ab;19;18
19;0;4;3;1;2;5;11;9;7;6;17;ab;8;12;14;10;13;20;15;16;ab;19;18
20;0;3;2;1;7;4;11;9;6;5;17;ab;8;12;14;10;13;20;15;16;ab;19;18
21;0;3;2;1;7;4;18;9;6;5;16;ab;8;11;13;10;12;20;14;15;ab;19;17
22;0;3;2;1;7;4;ab;9;6;5;16;ab;8;11;13;10;12;18;14;15;ab;17;19
23;0;3;2;1;7;4;ab;9;6;5;16;ab;8;11;12;10;13;18;14;15;ab;17;19
24;0;3;2;1;7;4;ab;9;6;5;15;ab;8;10;12;11;18;17;13;14;ab;16;19
25;0;3;2;1;7;4;ab;8;6;5;14;ab;9;10;11;15;18;17;12;13;ab;16;19
26;0;3;2;1;7;4;ab;8;6;5;13;ab;12;15;9;14;18;17;10;11;ab;16;19
27;0;3;2;1;7;4;ab;8;6;5;13;ab;12;15;9;14;18;16;10;11;ab;17;19
28;0;3;2;1;7;4;ab;8;6;5;13;ab;12;15;9;14;17;16;10;11;ab;19;18
29;0;3;2;1;7;4;ab;8;6;5;13;ab;11;15;9;ab;16;14;10;12;ab;18;17
30;0;3;2;1;7;4;ab;8;6;5;12;ab;11;14;9;ab;15;13;10;18;ab;17;16
31;0;3;2;1;7;4;ab;8;6;5;14;ab;10;13;11;ab;15;12;9;18;ab;17;16
32;0;3;2;1;7;4;ab;8;6;5;15;ab;10;13;11;ab;14;12;9;18;ab;17;16
33;0;3;2;1;7;4;ab;8;6;5;17;ab;9;12;10;ab;14;11;13;18;ab;16;15
34;0;3;2;1;6;4;ab;8;7;5;17;ab;9;12;10;ab;14;11;13;18;ab;16;15
35;0;3;2;1;6;4;ab;7;8;5;17;ab;9;12;10;ab;14;11;13;ab;ab;16;15
36;0;3;2;1;6;4;ab;7;8;5;17;ab;9;12;10;ab;14;11;13;ab;ab;16;15
