;sc;HAM;KUB;KOV;MAS;HEI;TRU;ROS;COU;VET;BAR;ALO;BUT;NAK;WEB;RAI;FIS;BOU;GLO;SAT;PIQ;DAV;SUT
0;1;1;2;3;17;5;6;4;10;ab;7;9;ab;16;ab;8;ab;14;13;11;12;ab;15
1;1;1;2;3;17;5;6;4;9;ab;7;10;ab;16;ab;8;ab;14;13;11;12;ab;15
2;0;1;2;3;17;5;6;4;9;ab;7;10;ab;16;ab;8;ab;15;13;11;12;ab;14
3;0;1;2;3;17;5;6;4;9;ab;7;10;ab;16;ab;8;ab;15;13;11;12;ab;14
4;0;1;2;3;17;5;6;4;9;ab;7;10;ab;16;ab;8;ab;14;12;11;15;ab;13
5;0;1;2;3;17;5;6;4;9;ab;7;10;ab;16;ab;8;ab;14;12;11;15;ab;13
6;0;1;2;3;17;5;6;4;9;ab;7;10;ab;16;ab;8;ab;14;12;11;15;ab;13
7;0;1;2;3;17;5;6;4;9;ab;7;10;ab;16;ab;8;ab;14;12;11;15;ab;13
8;0;1;2;3;16;5;6;4;9;ab;7;10;ab;14;ab;8;ab;13;12;11;15;ab;ab
9;0;1;2;3;16;5;6;4;9;ab;7;10;ab;14;ab;8;ab;13;12;11;15;ab;ab
10;0;1;2;3;15;5;6;4;9;ab;7;10;ab;14;ab;8;ab;13;12;11;16;ab;ab
11;0;1;2;3;15;5;6;4;9;ab;7;10;ab;14;ab;8;ab;13;12;11;16;ab;ab
12;0;1;2;3;15;5;6;4;9;ab;7;10;ab;14;ab;8;ab;13;12;11;16;ab;ab
13;0;1;2;3;15;5;6;4;9;ab;7;10;ab;14;ab;8;ab;13;11;12;16;ab;ab
14;0;1;2;3;15;5;6;4;9;ab;7;10;ab;14;ab;8;ab;13;11;12;16;ab;ab
15;0;1;6;2;15;4;5;3;9;ab;7;10;ab;14;ab;8;ab;13;11;12;16;ab;ab
16;0;1;8;2;14;4;5;3;9;ab;6;10;ab;15;ab;7;ab;13;11;12;16;ab;ab
17;0;2;8;1;14;4;5;3;9;ab;6;10;ab;15;ab;7;ab;13;11;12;16;ab;ab
18;0;4;8;1;13;3;5;2;9;ab;7;10;ab;14;ab;6;ab;16;11;12;15;ab;ab
19;0;4;7;1;11;3;ab;2;8;ab;6;9;ab;13;ab;5;ab;15;10;12;14;ab;ab
20;0;2;7;1;11;4;ab;5;8;ab;6;9;ab;13;ab;3;ab;15;10;12;14;ab;ab
21;0;1;5;2;11;6;ab;8;9;ab;4;7;ab;13;ab;3;ab;15;10;12;14;ab;ab
22;0;1;4;2;11;5;ab;7;10;ab;8;6;ab;13;ab;3;ab;15;9;12;14;ab;ab
23;0;1;4;2;11;5;ab;7;10;ab;8;6;ab;13;ab;3;ab;15;9;12;14;ab;ab
24;0;1;4;2;11;5;ab;7;10;ab;8;6;ab;12;ab;3;ab;14;9;15;13;ab;ab
25;1;1;4;2;10;5;ab;7;ab;ab;8;6;ab;11;ab;3;ab;13;9;14;12;ab;ab
26;1;1;4;2;10;5;ab;7;ab;ab;8;6;ab;11;ab;3;ab;13;9;14;12;ab;ab
27;1;1;4;2;10;5;ab;7;ab;ab;8;6;ab;11;ab;3;ab;13;9;14;12;ab;ab
28;1;1;10;2;7;4;ab;5;ab;ab;6;11;ab;12;ab;3;ab;9;13;14;8;ab;ab
29;1;1;8;2;ab;4;ab;5;ab;ab;6;9;ab;10;ab;3;ab;7;11;12;13;ab;ab
30;0;1;7;2;ab;3;ab;4;ab;ab;5;8;ab;9;ab;12;ab;6;10;11;ab;ab;ab
31;0;1;7;2;ab;3;ab;4;ab;ab;5;8;ab;9;ab;12;ab;6;10;11;ab;ab;ab
32;0;1;7;2;ab;3;ab;4;ab;ab;5;8;ab;9;ab;11;ab;6;10;ab;ab;ab;ab
33;0;1;7;2;ab;3;ab;4;ab;ab;5;8;ab;9;ab;11;ab;6;10;ab;ab;ab;ab
34;0;1;7;2;ab;3;ab;4;ab;ab;5;8;ab;9;ab;11;ab;6;10;ab;ab;ab;ab
35;0;1;7;2;ab;3;ab;4;ab;ab;5;8;ab;9;ab;11;ab;6;10;ab;ab;ab;ab
36;0;1;7;2;ab;3;ab;4;ab;ab;5;8;ab;9;ab;11;ab;6;10;ab;ab;ab;ab
