;sc;MAS;HAM;KUB;RAI;KOV;VET;TRU;HEI;ROS;BOU;NAK;ALO;GLO;WEB;PIQ;BUT;COU;FIS;BAR;SUT
0;0;1;2;3;5;4;6;7;9;8;11;19;ab;10;12;16;13;18;14;17;15
1;0;1;2;3;5;4;6;7;9;8;11;19;ab;10;12;16;13;17;14;18;15
2;0;1;2;3;5;4;6;7;9;8;11;19;ab;10;12;16;13;17;14;18;15
3;0;1;2;3;5;4;6;7;9;8;11;19;ab;10;12;16;13;17;14;18;15
4;0;1;2;3;5;4;6;7;9;8;11;19;ab;10;12;17;13;16;14;18;15
5;0;1;2;3;5;4;6;7;9;8;11;19;ab;10;12;17;13;16;14;18;15
6;0;1;2;3;5;4;6;7;9;8;11;19;ab;10;12;16;13;18;15;17;14
7;0;1;2;3;5;4;6;7;9;8;11;19;ab;10;12;16;13;18;15;17;14
8;0;1;2;3;5;4;6;7;9;8;11;19;ab;10;12;16;13;18;15;17;14
9;0;1;2;3;5;4;6;7;9;8;11;19;ab;10;12;16;13;18;15;17;14
10;0;1;2;3;5;4;6;7;9;8;11;19;ab;10;12;16;13;17;15;18;14
11;0;1;2;3;5;4;6;7;9;8;11;19;ab;10;12;16;13;17;15;18;14
12;0;1;2;3;5;4;6;7;9;8;11;19;ab;10;12;16;13;17;15;18;14
13;0;1;2;3;5;4;6;7;9;8;11;18;ab;10;12;16;13;19;15;17;14
14;0;2;1;3;5;4;6;7;9;8;11;18;ab;10;12;16;13;19;15;17;14
15;0;4;1;2;5;3;6;7;9;8;11;18;ab;10;12;16;13;19;15;17;14
16;0;4;2;1;5;3;9;6;8;7;11;18;ab;10;12;16;13;19;15;17;14
17;0;2;3;6;8;1;10;4;7;5;15;18;ab;9;11;16;12;19;14;17;13
18;0;2;3;5;9;1;10;7;6;4;15;18;ab;8;11;14;12;19;13;17;16
19;0;1;2;4;7;3;9;8;5;10;15;18;ab;6;11;14;12;19;13;17;16
20;0;1;2;3;7;4;9;8;5;10;15;18;ab;6;11;14;12;19;13;17;16
21;0;1;2;3;6;4;8;7;11;9;15;18;ab;5;10;14;12;19;13;17;16
22;0;1;2;3;6;4;8;7;11;9;15;18;ab;5;10;14;12;19;13;17;16
23;0;1;2;3;6;4;8;7;11;9;15;18;ab;5;10;14;12;19;13;17;16
24;0;1;2;3;6;4;8;7;11;9;15;18;ab;5;10;14;12;19;13;17;16
25;0;1;2;3;6;4;8;7;11;9;15;18;ab;5;10;14;12;19;13;17;16
26;0;1;2;3;6;4;8;7;11;9;15;18;ab;5;10;14;12;19;13;17;16
27;0;1;2;3;6;4;8;7;10;9;13;18;ab;5;14;12;11;19;16;17;15
28;0;1;2;3;6;4;8;7;10;9;12;17;ab;5;13;11;14;19;18;16;15
29;0;1;2;3;5;4;7;6;10;8;12;19;ab;9;13;11;14;17;16;18;15
30;0;1;2;3;5;4;7;6;10;8;12;18;ab;9;13;11;14;19;16;17;15
31;0;1;2;3;5;4;7;6;10;8;12;18;ab;9;13;11;14;19;16;17;15
32;0;1;2;3;5;4;7;6;10;8;11;18;ab;9;13;12;14;19;16;17;15
33;0;1;2;3;5;4;7;6;10;8;11;18;ab;9;13;12;14;19;16;17;15
34;0;1;2;3;5;4;7;6;10;8;11;18;ab;9;13;12;14;19;16;17;15
35;0;1;2;3;5;4;7;6;10;8;11;18;ab;9;13;12;14;19;15;17;16
36;0;2;1;3;5;4;7;6;10;8;11;18;ab;9;13;12;14;19;15;17;16
37;0;2;1;3;5;4;7;6;10;8;11;18;ab;9;13;12;14;19;15;17;16
38;0;1;2;3;5;4;7;6;9;10;11;18;ab;8;13;12;14;19;15;17;16
39;0;1;2;6;4;3;7;5;9;10;11;18;ab;8;13;12;14;19;15;17;16
40;0;1;2;5;4;3;7;6;10;9;11;18;ab;8;13;12;14;19;15;17;16
41;0;1;2;5;4;3;7;6;10;9;11;17;ab;8;13;12;14;18;15;16;ab
42;0;1;2;3;4;5;7;6;10;9;11;17;ab;8;13;12;14;18;15;16;ab
43;0;1;2;3;6;4;7;5;10;9;11;17;ab;8;13;12;14;18;15;16;ab
44;0;1;2;3;6;4;7;5;10;9;11;17;ab;8;13;12;14;18;15;16;ab
45;0;1;2;3;ab;4;6;5;9;8;10;16;ab;7;12;11;13;17;14;15;ab
46;0;1;2;3;ab;4;6;5;9;8;10;16;ab;7;12;11;13;17;14;15;ab
47;0;1;2;3;ab;4;6;5;9;8;10;16;ab;7;12;11;13;17;14;15;ab
48;0;1;2;3;ab;4;6;5;9;8;10;16;ab;7;12;11;13;17;14;15;ab
49;0;1;2;3;ab;4;6;5;9;8;10;16;ab;7;12;11;13;17;14;15;ab
50;0;1;2;3;ab;4;6;5;9;8;10;15;ab;7;12;11;13;17;14;16;ab
51;0;1;2;3;ab;4;6;5;9;8;10;15;ab;7;12;11;13;17;14;16;ab
52;0;1;2;3;ab;4;6;5;9;8;10;15;ab;7;12;11;13;17;14;16;ab
53;0;1;2;3;ab;4;6;5;9;8;10;15;ab;7;12;11;13;17;14;16;ab
54;0;1;2;3;ab;4;6;5;9;8;10;15;ab;7;12;11;13;17;14;16;ab
55;0;1;2;3;ab;4;6;5;9;8;10;15;ab;7;12;11;13;17;14;16;ab
56;0;1;2;3;ab;4;6;5;9;8;10;15;ab;7;12;11;13;17;14;16;ab
