;sc;MAS;HAM;RAI;KUB;KOV;VET;GLO;ROS;HEI;NAK;TRU;BUT;WEB;COU;ALO;PIQ;BOU;BAR;SUT;FIS
0;0;1;2;3;4;7;5;6;10;8;11;9;14;13;15;12;18;16;17;19;20
1;0;1;2;3;4;7;5;6;10;8;11;9;14;13;15;12;18;16;17;19;20
2;0;1;2;3;4;7;5;6;10;8;11;9;14;13;15;12;18;16;17;19;20
3;0;1;2;3;4;7;5;6;10;8;11;9;14;13;15;12;18;16;17;19;20
4;0;1;2;3;4;7;5;6;10;8;11;9;14;13;15;12;18;16;17;19;20
5;0;1;2;3;4;7;5;6;10;8;11;9;14;13;15;12;18;16;17;19;20
6;0;1;2;3;4;7;5;6;9;8;11;10;14;13;15;12;18;16;17;19;20
7;0;1;2;3;4;7;5;6;9;8;10;11;14;13;15;12;18;16;17;19;20
8;0;1;2;3;4;7;5;6;9;8;10;12;14;13;15;11;18;16;17;19;20
9;0;1;2;3;4;7;5;6;9;8;10;12;14;13;15;11;18;16;17;19;20
10;0;1;2;3;4;7;5;6;9;8;10;12;14;13;15;11;18;16;17;19;20
11;0;1;2;3;4;7;5;6;9;8;10;12;14;13;15;11;18;16;17;19;20
12;0;1;2;3;4;7;5;6;9;8;10;11;13;12;14;20;16;18;15;17;19
13;0;1;2;3;4;7;5;6;9;8;10;11;12;13;14;19;ab;17;16;15;18
14;1;1;2;3;4;7;5;6;9;8;10;11;12;17;18;16;ab;14;ab;13;15
15;1;1;2;3;4;7;5;6;10;8;9;11;12;17;18;16;ab;14;ab;13;15
16;1;1;2;5;14;8;3;4;6;9;10;7;12;17;18;15;ab;11;ab;16;13
17;1;18;9;17;4;15;10;11;1;12;13;2;14;6;8;5;ab;7;ab;16;3
18;1;18;8;16;4;14;9;10;1;11;12;2;13;6;7;5;ab;17;ab;15;3
19;0;18;8;15;4;14;10;9;1;11;12;2;13;6;7;5;ab;17;ab;16;3
20;0;18;8;15;4;14;10;9;1;11;12;2;13;6;7;5;ab;17;ab;16;3
21;0;18;8;15;4;14;10;9;1;11;12;2;13;6;7;5;ab;17;ab;16;3
22;0;17;8;15;4;14;10;9;1;11;12;2;13;6;7;5;ab;18;ab;16;3
23;0;17;8;15;4;14;10;9;1;11;12;2;13;6;7;5;ab;18;ab;16;3
24;0;18;8;15;4;14;10;9;1;11;12;2;13;6;7;5;ab;17;ab;16;3
25;0;18;8;15;4;14;10;9;1;11;12;2;13;6;7;5;ab;17;ab;16;3
26;0;18;8;15;7;14;10;9;1;11;12;2;13;5;6;4;ab;17;ab;16;3
27;0;17;6;13;18;12;8;7;1;9;10;2;11;14;5;4;ab;16;ab;15;3
28;0;16;6;13;17;12;8;7;3;9;10;1;11;18;5;2;ab;15;ab;14;4
29;0;15;5;12;16;11;7;6;3;8;9;1;10;ab;4;2;ab;14;ab;13;17
30;0;16;5;12;15;11;7;6;3;8;9;1;10;ab;4;2;ab;14;ab;13;17
31;0;17;5;12;15;11;7;6;3;8;9;1;10;ab;4;2;ab;14;ab;13;16
32;0;17;5;12;15;11;7;6;3;8;9;1;10;ab;4;2;ab;14;ab;13;16
33;0;16;4;11;15;12;6;5;2;7;9;8;10;ab;3;1;ab;17;ab;13;14
34;0;16;4;10;15;13;6;5;2;7;9;8;11;ab;3;1;ab;17;ab;12;14
35;0;16;4;10;15;13;6;5;2;7;9;8;12;ab;3;1;ab;17;ab;11;14
36;0;16;4;10;15;13;6;5;2;7;9;8;12;ab;3;1;ab;17;ab;11;14
37;0;16;4;10;15;13;6;5;2;7;8;9;12;ab;3;1;ab;17;ab;11;14
38;0;16;4;9;15;13;6;5;2;7;8;10;12;ab;3;1;ab;17;ab;11;14
39;0;15;4;9;14;12;6;5;2;7;8;10;11;ab;3;1;ab;17;ab;16;13
40;0;15;3;9;14;12;5;4;7;6;8;10;11;ab;2;1;ab;17;ab;16;13
41;0;15;3;8;14;12;4;2;7;5;9;10;11;ab;6;1;ab;17;ab;16;13
42;0;15;7;6;14;12;3;2;5;4;10;8;11;ab;9;1;ab;17;ab;16;13
43;0;15;5;4;14;12;7;2;3;8;10;6;11;ab;9;1;ab;17;ab;16;13
44;0;15;5;4;13;12;7;2;3;8;10;6;11;ab;9;1;ab;17;ab;16;14
45;0;15;5;4;13;12;7;2;3;8;10;6;11;ab;9;1;ab;17;ab;16;14
46;0;15;4;3;13;12;7;5;2;8;10;6;11;ab;9;1;ab;17;ab;16;14
47;0;15;4;3;13;12;7;5;2;8;10;6;11;ab;9;1;ab;17;ab;16;14
48;0;15;4;3;13;12;7;5;2;8;10;6;11;ab;9;1;ab;17;ab;16;14
49;1;14;4;3;12;11;6;5;2;7;9;16;10;ab;8;1;ab;15;ab;ab;13
50;1;14;3;5;12;11;6;4;2;7;9;ab;10;ab;8;1;ab;15;ab;ab;13
51;1;14;3;5;12;11;6;4;2;7;9;ab;10;ab;8;1;ab;15;ab;ab;13
52;1;15;3;5;12;11;6;4;2;7;9;ab;10;ab;8;1;ab;14;ab;ab;13
53;0;14;3;5;12;11;6;4;2;7;9;ab;10;ab;8;1;ab;13;ab;ab;15
54;0;14;3;5;12;11;6;4;2;7;9;ab;10;ab;8;1;ab;13;ab;ab;15
55;0;14;3;5;12;11;6;4;2;7;9;ab;10;ab;8;1;ab;13;ab;ab;15
56;0;14;3;5;12;11;6;4;2;7;9;ab;10;ab;8;1;ab;13;ab;ab;15
57;0;13;3;15;11;10;5;4;2;6;8;ab;9;ab;7;1;ab;12;ab;ab;14
58;0;13;3;15;11;10;5;4;2;6;8;ab;9;ab;7;1;ab;12;ab;ab;14
59;0;13;3;15;11;10;5;4;2;6;8;ab;9;ab;7;1;ab;12;ab;ab;14
60;0;13;3;15;11;10;5;4;2;6;8;ab;9;ab;7;1;ab;12;ab;ab;14
