;sc;HAM;RAI;MAS;ALO;KOV;VET;TRU;BOU;HEI;PIQ;KUB;GLO;BAR;ROS;COU;WEB;NAK;BUT;SUT;FIS
0;0;1;2;3;4;5;7;20;18;6;9;8;11;10;13;14;12;16;15;17;19
1;0;1;2;3;4;5;7;20;18;6;9;8;12;10;13;14;11;16;15;17;19
2;0;1;2;3;4;5;7;ab;18;6;9;8;12;10;13;14;11;16;15;17;19
3;0;1;2;3;4;5;7;ab;18;6;9;8;12;10;13;14;11;16;15;17;19
4;0;1;2;3;4;5;7;ab;17;6;9;8;12;10;13;14;11;16;15;18;19
5;0;1;2;3;4;5;7;ab;17;6;9;8;12;11;13;14;10;16;15;18;19
6;0;1;2;3;4;5;7;ab;16;6;9;8;12;11;13;14;10;17;15;18;19
7;0;1;2;3;4;5;7;ab;16;6;9;8;12;11;13;14;10;17;15;18;19
8;0;1;2;3;4;5;7;ab;16;6;10;8;12;11;13;14;9;17;15;18;19
9;0;1;2;3;4;5;7;ab;16;6;10;8;12;11;13;14;9;17;15;18;19
10;0;1;2;3;4;5;7;ab;16;6;10;8;12;11;13;14;9;17;15;18;19
11;0;1;2;3;4;5;7;ab;16;6;9;8;13;11;12;14;10;17;15;18;19
12;0;1;2;3;4;5;7;ab;15;6;9;8;12;10;11;13;18;16;14;17;19
13;0;1;2;3;4;5;7;ab;15;6;9;8;12;10;11;13;17;16;14;ab;18
14;0;1;2;7;9;3;5;ab;15;4;8;6;11;10;12;13;17;16;14;ab;18
15;0;3;5;7;9;1;4;ab;14;2;8;6;11;10;18;12;16;15;13;ab;17
16;0;2;5;7;9;1;4;ab;14;3;8;6;11;10;18;12;16;15;13;ab;17
17;0;2;3;6;8;1;4;ab;14;10;7;5;11;9;18;12;16;15;13;ab;17
18;0;1;2;4;6;7;14;ab;13;9;5;3;10;8;18;11;16;15;12;ab;17
19;0;1;2;4;6;7;13;ab;12;8;5;3;9;16;18;10;15;14;11;ab;17
20;0;1;2;4;6;7;13;ab;12;8;5;3;9;16;18;10;15;14;11;ab;17
21;0;1;2;4;6;7;13;ab;11;8;5;3;9;16;18;10;15;14;12;ab;17
22;0;1;2;4;6;7;12;ab;11;8;5;3;9;15;17;10;14;13;18;ab;16
23;0;1;2;4;5;7;11;ab;16;8;6;3;9;14;17;10;13;12;18;ab;15
24;0;1;2;4;5;6;11;ab;16;7;10;3;8;14;17;9;13;12;18;ab;15
25;0;1;2;3;4;5;11;ab;16;6;10;9;7;14;17;8;13;12;18;ab;15
26;0;1;2;3;4;5;11;ab;16;6;10;9;7;14;17;8;13;12;18;ab;15
27;0;1;2;3;4;5;11;ab;15;6;10;8;7;14;16;9;13;12;18;ab;17
28;0;1;2;3;4;5;10;ab;15;6;9;8;7;13;16;14;12;11;17;ab;18
29;0;1;2;3;4;5;10;ab;15;6;9;8;7;13;16;14;12;11;17;ab;18
30;0;1;2;3;4;5;10;ab;14;6;9;8;7;13;16;15;12;11;17;ab;18
31;0;1;2;3;4;5;10;ab;12;6;9;8;7;11;14;13;17;16;15;ab;18
32;0;1;2;3;4;5;9;ab;12;6;8;7;10;11;13;14;17;16;15;ab;18
33;0;1;2;3;4;5;9;ab;12;6;8;7;10;11;13;14;17;16;15;ab;18
34;0;1;2;3;4;11;8;ab;12;5;7;6;9;10;13;14;17;16;15;ab;18
35;0;1;2;3;4;17;8;ab;11;5;7;6;9;10;12;13;16;15;14;ab;18
36;0;1;2;3;6;17;8;ab;11;4;7;5;9;10;12;13;16;15;14;ab;18
37;0;1;2;4;6;17;8;ab;11;3;7;5;9;10;12;13;16;15;14;ab;18
38;0;1;3;4;6;17;7;ab;11;2;10;5;8;9;12;13;16;15;14;ab;18
39;0;1;2;3;5;16;7;ab;14;6;10;4;8;9;17;11;15;13;12;ab;18
40;0;1;2;3;4;16;6;ab;14;5;9;7;8;12;17;10;15;13;11;ab;18
41;0;1;2;3;4;16;9;ab;14;5;8;6;7;12;17;10;15;13;11;ab;18
42;0;1;2;3;4;16;9;ab;14;5;8;6;7;12;17;10;15;13;11;ab;18
43;0;1;2;3;4;15;9;ab;13;5;8;6;7;11;16;10;14;12;17;ab;18
44;0;1;2;3;4;15;9;ab;13;5;8;6;7;11;16;10;14;12;17;ab;18
45;0;1;2;3;4;15;9;ab;13;5;8;6;7;11;16;10;14;12;17;ab;18
46;0;1;2;3;4;15;9;ab;13;5;8;6;7;11;16;10;14;12;17;ab;18
47;0;1;2;3;4;15;9;ab;13;5;8;6;7;11;16;10;14;12;17;ab;18
48;0;1;3;2;4;15;9;ab;13;5;8;6;7;11;16;10;14;12;17;ab;18
49;0;1;3;2;4;ab;9;ab;13;5;8;6;7;11;15;10;14;12;16;ab;17
50;0;1;3;2;4;ab;9;ab;13;5;8;6;7;11;15;10;14;12;16;ab;17
51;0;1;3;2;4;ab;9;ab;13;5;8;6;7;11;15;10;14;12;16;ab;17
52;0;1;3;2;4;ab;9;ab;13;5;8;6;7;11;15;10;14;12;16;ab;17
53;0;1;3;2;4;ab;9;ab;13;5;8;6;7;11;15;10;14;12;16;ab;17
54;0;1;3;2;4;ab;9;ab;13;5;8;6;7;11;15;10;14;12;16;ab;17
55;0;1;3;2;4;ab;9;ab;13;5;8;6;7;11;15;10;14;12;16;ab;17
