;sc;MAS;TRU;RAI;HAM;KOV;ALO;VET;HEI;BOU;GLO;PIQ;WEB;KUB;COU;BAR;NAK;BUT;ROS;FIS;SUT
0;1;1;2;3;4;7;6;5;12;8;9;ab;10;18;ab;11;17;14;13;16;15
1;1;1;2;3;4;7;6;5;12;8;9;ab;10;17;ab;11;16;14;13;18;15
2;1;1;2;3;4;7;6;5;12;8;9;ab;10;17;ab;11;16;14;13;18;15
3;1;1;2;3;4;7;6;5;12;8;9;ab;10;17;ab;11;16;14;13;18;15
4;0;1;2;3;4;7;6;5;12;8;9;ab;10;17;ab;11;16;14;13;18;15
5;0;1;2;3;4;7;6;5;11;8;9;ab;10;17;ab;12;16;14;13;18;15
6;0;1;2;3;4;7;6;5;11;8;9;ab;10;15;ab;12;14;17;16;18;13
7;0;1;2;3;4;7;6;5;8;10;11;ab;9;13;ab;12;15;17;18;16;14
8;0;1;2;3;4;5;8;6;7;13;14;ab;9;11;ab;10;18;15;16;12;17
9;0;4;1;2;3;5;10;7;6;12;11;ab;13;8;ab;14;18;15;16;9;17
10;0;4;1;2;3;12;6;5;10;9;8;ab;11;18;ab;13;17;14;15;7;16
11;0;1;6;4;7;12;3;2;10;9;8;ab;11;17;ab;13;18;14;15;5;16
12;0;1;9;4;6;12;3;2;10;8;7;ab;11;17;ab;13;18;14;15;5;16
13;0;1;9;4;6;12;3;2;10;8;7;ab;11;17;ab;13;18;14;15;5;16
14;0;1;9;4;6;12;3;2;10;8;7;ab;11;17;ab;13;18;14;15;5;16
15;0;1;9;4;6;12;3;2;10;8;7;ab;11;17;ab;13;18;14;15;5;16
16;0;1;9;4;6;12;3;2;10;8;7;ab;11;17;ab;13;18;14;15;5;16
17;0;1;9;4;5;12;3;2;10;8;6;ab;11;17;ab;13;18;14;15;7;16
18;0;1;9;4;5;11;3;2;10;8;6;ab;12;17;ab;13;18;14;15;7;16
19;0;1;9;4;5;11;3;2;10;8;6;ab;12;17;ab;13;18;14;15;7;16
20;0;1;8;4;5;9;3;2;10;13;6;ab;11;17;ab;12;18;14;15;7;16
21;0;1;8;4;5;9;3;2;10;13;6;ab;11;17;ab;12;18;14;15;7;16
22;0;1;8;4;5;9;3;2;10;13;6;ab;11;17;ab;12;18;14;15;7;16
23;0;1;8;4;5;9;3;2;10;13;6;ab;11;17;ab;12;18;14;15;7;16
24;0;1;8;4;5;9;3;2;10;13;6;ab;11;17;ab;12;18;14;15;7;16
25;0;1;8;4;5;9;3;2;10;13;6;ab;11;17;ab;12;18;14;15;7;16
26;0;1;9;4;5;7;2;3;10;13;6;ab;11;17;ab;12;18;14;15;8;16
27;0;1;9;3;4;7;2;6;10;13;5;ab;11;17;ab;12;18;14;15;8;16
28;0;1;9;3;4;7;2;6;10;13;5;ab;11;17;ab;12;18;14;15;8;16
29;0;1;9;3;4;7;2;6;10;13;5;ab;11;17;ab;12;18;14;15;8;16
30;0;1;9;3;4;7;2;6;10;13;5;ab;11;17;ab;12;18;14;15;8;16
31;0;1;9;3;4;7;2;6;10;13;5;ab;11;17;ab;12;18;14;15;8;16
32;0;1;9;3;4;7;2;6;10;13;5;ab;11;17;ab;12;18;15;14;8;16
33;0;1;9;3;4;7;2;6;10;13;5;ab;11;17;ab;12;18;15;14;8;16
34;0;1;9;3;4;7;2;6;10;13;5;ab;11;17;ab;12;18;15;14;8;16
35;0;1;9;3;4;7;2;6;10;13;5;ab;11;17;ab;12;18;15;14;8;16
36;0;1;8;3;4;6;2;5;9;12;14;ab;10;17;ab;11;18;15;13;7;16
37;0;1;7;3;4;6;2;5;8;14;13;ab;9;17;ab;11;18;15;12;10;16
38;0;4;7;2;3;6;1;5;8;14;12;ab;9;16;ab;10;17;13;11;18;15
39;0;4;7;2;3;6;1;5;8;14;12;ab;9;16;ab;11;17;13;10;18;15
40;0;2;7;1;6;5;4;3;8;14;10;ab;9;16;ab;12;17;13;11;18;15
41;0;2;7;1;6;5;4;3;9;14;10;ab;8;16;ab;11;17;12;13;18;15
42;0;2;7;1;5;8;4;3;10;14;9;ab;6;16;ab;12;17;11;13;18;15
43;0;1;9;4;5;7;3;2;10;14;8;ab;6;15;ab;12;17;11;13;18;16
44;0;1;9;4;5;7;3;2;10;14;8;ab;6;15;ab;12;16;11;13;17;18
45;0;1;9;4;5;7;3;2;10;14;8;ab;6;15;ab;12;16;11;13;17;18
46;0;1;9;4;5;7;3;2;10;14;8;ab;6;17;ab;12;15;11;13;16;18
47;0;1;9;4;5;7;3;2;10;14;8;ab;6;16;ab;12;15;11;13;17;18
48;0;1;8;4;5;6;3;2;10;14;7;ab;9;16;ab;12;15;11;13;17;18
49;0;1;8;4;5;6;3;2;10;14;7;ab;9;16;ab;12;15;11;13;17;18
50;0;1;8;4;5;6;3;2;10;14;7;ab;9;16;ab;12;15;11;13;17;18
51;0;1;8;3;4;6;2;5;10;14;7;ab;9;15;ab;12;18;11;13;16;17
52;0;1;8;3;4;6;2;5;10;14;7;ab;9;15;ab;12;18;11;13;16;17
53;0;1;8;3;4;6;2;5;10;14;7;ab;9;15;ab;12;18;11;13;16;17
54;0;1;8;3;4;6;2;5;10;14;7;ab;9;15;ab;12;18;11;13;16;17
55;0;1;8;3;4;6;2;5;10;14;7;ab;9;15;ab;12;18;11;13;16;17
56;0;1;8;3;4;6;2;5;10;13;7;ab;9;15;ab;11;18;14;12;16;17
57;0;1;8;3;4;6;2;5;10;13;7;ab;9;15;ab;11;18;14;12;16;17
58;0;1;8;3;4;6;2;5;10;13;7;ab;9;15;ab;11;18;14;12;16;17
59;0;1;8;3;4;6;2;5;10;13;7;ab;9;15;ab;11;18;14;12;16;17
60;0;1;8;3;4;6;2;5;10;13;7;ab;9;15;ab;11;18;14;12;16;17
61;0;1;8;3;4;6;2;5;10;13;7;ab;9;15;ab;11;18;14;12;16;17
62;0;1;8;3;4;6;2;5;10;13;7;ab;9;15;ab;11;18;14;12;17;16
63;0;1;8;3;4;6;2;5;10;14;7;ab;9;15;ab;11;17;12;13;18;16
64;0;1;8;3;4;7;2;5;11;14;6;ab;9;15;ab;12;17;10;13;18;16
65;0;1;7;3;4;8;2;5;10;14;6;ab;9;15;ab;12;17;11;13;18;16
66;0;1;7;3;5;8;2;6;10;14;4;ab;9;13;ab;15;17;11;12;18;16
