;sc;MAS;RAI;TRU;KUB;HEI;WEB;ALO;KOV;HAM;GLO;BUT;COU;PIQ;BAR;VET;ROS;FIS;BOU;SAT;SUT;DAV;NAK
0;0;1;2;6;3;10;4;9;7;5;21;11;8;12;16;13;14;18;ab;19;15;20;17
1;0;1;2;6;3;10;4;9;7;5;ab;11;8;12;15;13;20;17;ab;18;14;19;16
2;0;1;2;6;3;10;4;9;7;5;ab;11;8;12;16;13;20;17;ab;18;14;19;15
3;0;1;2;6;3;8;4;9;7;5;ab;11;10;12;16;13;20;17;ab;18;14;19;15
4;0;1;2;6;3;8;4;9;7;5;ab;11;10;12;16;13;20;17;ab;18;14;19;15
5;0;1;2;6;3;8;4;9;7;5;ab;11;10;12;15;13;19;16;ab;17;ab;18;14
6;0;1;2;6;3;8;4;9;7;5;ab;11;10;12;15;13;19;16;ab;17;ab;18;14
7;0;1;2;6;3;8;4;9;7;5;ab;11;10;12;15;14;19;16;ab;17;ab;18;13
8;0;1;2;6;3;8;4;9;7;5;ab;11;10;12;15;14;19;16;ab;17;ab;18;13
9;0;1;2;6;3;8;4;9;7;5;ab;11;10;12;15;14;19;16;ab;17;ab;18;13
10;0;1;2;6;3;8;4;9;7;5;ab;11;10;12;15;14;19;16;ab;17;ab;18;13
11;0;1;2;6;3;8;4;9;7;5;ab;11;10;12;15;14;19;16;ab;17;ab;18;13
12;0;1;2;6;3;8;4;9;7;5;ab;11;10;12;15;14;19;16;ab;17;ab;18;13
13;0;1;2;6;3;8;4;9;7;5;ab;11;10;12;15;14;19;16;ab;17;ab;18;13
14;0;1;2;6;3;8;4;9;7;5;ab;11;10;12;15;14;19;16;ab;17;ab;18;13
15;0;1;2;5;3;8;6;9;7;4;ab;11;10;12;15;14;19;16;ab;17;ab;18;13
16;0;2;1;6;3;7;12;8;5;4;ab;10;9;11;14;13;19;15;ab;16;ab;17;18
17;0;5;1;9;2;12;11;6;4;3;ab;8;7;10;14;13;19;15;ab;16;ab;17;18
18;0;5;4;9;1;12;11;6;3;2;ab;8;7;10;14;13;19;15;ab;18;ab;16;17
19;0;4;3;8;1;12;10;5;2;11;ab;7;6;9;14;13;19;15;ab;18;ab;16;17
20;0;3;2;8;1;12;10;4;7;11;ab;6;5;9;14;13;18;16;ab;17;ab;19;15
21;0;2;1;8;3;12;10;4;6;11;ab;7;5;9;14;13;17;16;ab;18;ab;19;15
22;0;2;1;6;3;10;8;12;5;9;ab;14;4;7;13;11;17;16;ab;18;ab;19;15
23;0;2;1;5;3;9;7;10;4;8;ab;14;13;6;12;11;17;16;ab;18;ab;19;15
24;0;2;1;5;3;8;6;9;4;7;ab;11;10;12;15;14;17;16;ab;18;ab;19;13
25;0;2;1;5;3;8;6;9;4;7;ab;11;10;12;15;14;17;16;ab;18;ab;19;13
26;0;2;1;5;3;8;6;9;4;7;ab;11;10;12;15;14;17;16;ab;18;ab;19;13
27;0;2;1;5;3;8;6;9;4;7;ab;11;10;12;15;14;17;16;ab;19;ab;18;13
28;0;2;1;5;3;8;6;9;4;7;ab;11;10;12;15;14;17;16;ab;19;ab;18;13
