;sc;KUB;MAS;HAM;RAI;KOV;HEI;TRU;ROS;BUT;ALO;WEB;BAR;GLO;PIQ;BOU;NAK;COU;FIS;VET;SUT;DAV;SAT
0;0;2;1;9;3;4;6;5;7;20;8;10;13;12;11;15;18;17;14;ab;21;19;16
1;0;2;1;17;3;4;5;6;7;20;9;8;12;10;16;13;18;19;11;ab;21;15;14
2;0;3;1;18;2;5;4;6;7;20;9;8;12;10;14;13;17;19;11;ab;21;16;15
3;0;3;1;18;2;5;4;6;7;20;9;8;12;10;14;13;16;19;11;ab;21;17;15
4;0;3;1;18;2;5;4;6;7;20;9;8;12;10;14;13;16;19;11;ab;21;17;15
5;0;3;1;18;2;5;4;6;7;20;9;8;12;10;14;13;16;19;11;ab;21;17;15
6;0;3;1;18;2;5;4;6;7;20;9;8;12;10;14;13;15;19;11;ab;21;17;16
7;0;3;1;18;2;5;4;6;7;20;9;8;12;10;14;13;15;19;11;ab;21;17;16
8;0;3;1;18;2;5;4;6;7;20;9;8;12;10;14;13;15;19;11;ab;21;17;16
9;0;3;1;18;2;5;4;6;7;20;9;8;12;10;14;13;15;19;11;ab;21;17;16
10;0;3;1;18;2;5;4;6;7;20;9;8;12;10;13;14;15;19;11;ab;21;17;16
11;0;3;1;18;2;5;4;6;7;20;9;8;12;10;13;14;15;19;11;ab;21;17;16
12;0;3;1;18;2;5;4;6;7;20;9;8;12;10;13;14;15;19;11;ab;21;17;16
13;0;3;1;18;2;5;4;6;7;20;9;8;12;10;13;14;15;19;11;ab;21;17;16
14;0;3;1;18;2;5;4;6;7;20;9;8;12;10;13;14;15;19;11;ab;21;17;16
15;0;3;1;18;2;5;4;6;7;20;9;8;12;10;13;14;15;19;11;ab;21;17;16
16;0;3;1;18;2;5;4;6;7;20;9;8;12;10;13;14;15;19;11;ab;21;17;16
17;0;9;1;17;2;4;3;5;13;20;7;6;11;8;18;12;14;19;10;ab;21;16;15
18;0;9;1;17;2;4;3;5;13;21;7;6;11;8;18;12;14;19;10;ab;20;16;15
19;0;8;1;17;2;4;3;5;13;ab;9;6;11;7;18;12;14;19;10;ab;20;16;15
20;0;7;1;17;5;3;2;10;12;ab;13;4;9;6;18;11;14;19;8;ab;20;16;15
21;0;5;1;16;3;9;6;10;12;ab;13;2;8;4;18;11;14;19;7;ab;20;17;15
22;0;4;1;16;2;6;5;7;9;ab;11;8;13;3;18;10;12;19;14;ab;20;17;15
23;0;3;1;14;2;6;5;7;9;ab;10;8;12;4;17;18;11;19;13;ab;20;16;15
24;0;3;1;14;2;5;4;6;8;ab;10;7;12;9;16;17;11;19;13;ab;20;18;15
25;0;3;1;14;2;5;4;6;8;ab;10;7;12;9;15;16;11;19;13;ab;20;18;17
26;0;3;1;14;2;5;4;6;8;ab;10;7;12;9;15;16;11;19;13;ab;20;18;17
27;0;3;1;14;2;5;4;6;8;ab;10;7;12;9;15;16;11;19;13;ab;20;18;17
