;sc;MAS;KOV;HAM;RAI;KUB;WEB;ALO;TRU;HEI;COU;ROS;BAR;BUT;VET;GLO;NAK;PIQ;BOU;SUT;FIS
0;1;1;4;2;6;3;7;5;11;8;10;9;13;12;14;16;19;18;17;15;ab
1;1;1;7;2;5;3;6;4;11;8;10;9;13;12;17;14;ab;16;15;18;ab
2;0;1;18;2;4;3;6;5;10;7;9;8;12;11;16;13;ab;15;14;17;ab
3;0;1;18;2;4;3;6;5;10;7;9;8;12;11;16;13;ab;15;14;17;ab
4;0;1;18;2;4;3;6;5;10;7;9;8;12;11;16;13;ab;15;14;17;ab
5;0;1;18;2;4;3;6;5;10;7;9;8;12;11;16;13;ab;15;14;17;ab
6;0;1;18;2;4;3;6;5;10;7;9;8;12;11;16;13;ab;15;14;17;ab
7;0;1;18;2;4;3;6;5;10;7;9;8;12;11;16;13;ab;15;14;17;ab
8;0;1;18;2;4;3;6;5;10;7;9;8;12;11;16;13;ab;15;14;17;ab
9;0;1;18;2;4;3;6;5;10;7;9;8;12;11;16;13;ab;15;14;17;ab
10;0;1;18;2;4;3;6;5;10;7;9;8;12;11;16;13;ab;15;14;17;ab
11;0;1;17;2;4;3;6;5;10;7;9;8;12;11;16;13;ab;15;14;18;ab
12;0;1;17;2;4;3;6;5;10;7;9;8;12;11;16;13;ab;15;14;18;ab
13;0;1;17;2;4;3;6;5;10;7;9;8;12;11;16;13;ab;15;14;18;ab
14;0;1;17;2;4;3;6;5;10;7;9;8;12;11;16;13;ab;15;14;18;ab
15;0;1;17;2;4;3;5;10;9;6;8;7;12;11;16;13;ab;15;14;18;ab
16;0;1;16;6;3;2;4;10;9;5;8;7;12;11;17;13;ab;15;14;18;ab
17;0;1;16;6;3;2;4;10;9;5;8;7;12;11;17;13;ab;15;14;18;ab
18;0;1;16;5;3;2;10;9;8;4;7;6;12;11;17;13;ab;15;14;18;ab
19;0;3;16;4;1;5;10;9;8;2;7;6;12;11;17;13;ab;15;14;18;ab
20;0;3;15;4;1;5;9;8;17;2;7;6;11;10;16;12;ab;14;13;18;ab
21;0;1;15;2;3;4;9;8;17;7;6;5;11;10;16;12;ab;14;13;18;ab
22;0;1;15;2;3;4;9;8;16;7;6;5;11;10;17;12;ab;13;14;18;ab
23;0;2;13;1;3;4;8;7;15;6;14;5;10;9;18;11;ab;12;17;16;ab
24;0;2;11;1;3;4;7;6;15;5;14;13;9;8;17;10;ab;12;ab;16;ab
25;0;2;11;1;3;4;7;6;15;5;14;13;9;8;17;10;ab;12;ab;16;ab
26;0;2;15;1;3;4;7;6;14;5;13;12;9;8;17;10;ab;11;ab;16;ab
27;0;2;14;1;3;4;7;6;13;5;12;11;15;8;17;9;ab;10;ab;16;ab
28;0;2;14;1;3;4;7;6;13;5;12;11;15;8;17;9;ab;10;ab;16;ab
29;0;2;14;1;3;4;7;6;12;5;11;10;15;8;17;9;ab;13;ab;16;ab
30;0;2;14;1;3;4;7;6;12;5;11;10;15;8;17;9;ab;13;ab;16;ab
31;0;2;14;1;3;4;7;6;10;5;9;8;15;11;17;13;ab;12;ab;16;ab
32;0;1;14;3;2;4;7;6;10;5;9;8;15;11;17;13;ab;12;ab;16;ab
33;0;1;13;3;2;4;7;6;10;5;9;8;15;11;17;14;ab;12;ab;16;ab
34;0;1;13;3;2;4;7;6;10;5;9;8;15;12;17;14;ab;11;ab;16;ab
35;0;1;12;3;2;4;7;6;10;5;9;8;15;13;17;14;ab;11;ab;16;ab
36;0;1;12;3;2;4;7;6;10;5;9;8;15;13;17;14;ab;11;ab;16;ab
37;0;1;12;3;2;4;7;6;10;5;9;8;15;13;16;14;ab;11;ab;17;ab
38;0;1;12;3;2;4;7;6;10;5;9;8;15;13;16;14;ab;11;ab;17;ab
39;0;1;12;3;2;4;7;6;10;5;9;8;15;13;16;14;ab;11;ab;17;ab
40;0;3;12;2;1;5;7;6;10;4;9;8;15;13;16;14;ab;11;ab;17;ab
41;0;3;12;2;1;5;6;9;10;4;8;7;15;13;16;14;ab;11;ab;17;ab
42;0;3;12;2;1;4;5;9;10;6;8;7;15;13;17;14;ab;11;ab;16;ab
43;0;2;12;1;3;4;5;8;9;6;7;10;15;13;17;14;ab;11;ab;16;ab
44;0;2;12;1;3;4;9;7;8;5;6;10;15;13;17;14;ab;11;ab;16;ab
45;0;1;11;2;3;4;8;6;7;5;10;9;14;12;17;13;ab;15;ab;16;ab
46;0;1;11;2;3;4;8;6;7;5;10;9;14;12;17;13;ab;15;ab;16;ab
47;0;1;10;2;3;4;8;6;7;5;11;9;14;12;17;13;ab;15;ab;16;ab
48;0;1;9;2;3;4;7;6;11;5;10;8;14;12;17;13;ab;15;ab;16;ab
49;0;1;8;2;3;4;7;6;11;5;10;9;14;12;17;13;ab;15;ab;16;ab
50;0;1;13;2;3;4;7;6;10;5;9;8;14;11;17;12;ab;15;ab;16;ab
51;0;1;13;2;3;4;7;6;10;5;9;8;14;11;17;12;ab;15;ab;16;ab
52;0;1;13;2;3;4;7;6;10;5;9;8;14;11;17;12;ab;15;ab;16;ab
53;0;1;12;2;3;4;7;6;10;5;9;8;14;11;17;13;ab;15;ab;16;ab
54;0;1;12;2;3;4;7;6;10;5;9;8;14;11;17;13;ab;15;ab;16;ab
55;0;1;12;2;3;4;7;6;10;5;9;8;14;11;17;13;ab;15;ab;16;ab
56;0;1;12;2;3;4;7;6;10;5;9;8;14;11;17;13;ab;15;ab;16;ab
57;0;1;12;2;3;4;7;6;10;5;9;8;14;11;17;13;ab;15;ab;16;ab
