;sc;MAS;RAI;HAM;KOV;KUB;ROS;ALO;TRU;WEB;GLO;BUT;HEI;NAK;BAR;COU;BOU;PIQ;SUT;VET;FIS
0;0;1;3;2;19;4;6;5;7;11;8;20;9;10;13;12;14;15;16;17;18
1;0;1;3;2;19;4;6;5;7;10;8;20;9;11;13;12;14;16;15;17;18
2;0;1;3;2;18;4;19;5;6;9;7;20;8;10;12;11;14;15;13;16;17
3;0;1;3;2;17;4;18;5;6;8;19;20;7;9;11;10;13;15;12;14;16
4;0;1;3;2;17;4;18;5;6;8;19;20;7;9;11;10;13;15;12;14;16
5;0;1;2;5;17;3;18;4;6;8;19;20;7;9;11;10;13;15;12;14;16
6;0;1;2;5;17;3;18;4;6;8;19;20;7;9;11;10;12;15;13;14;16
7;1;1;2;4;15;3;16;7;10;6;17;18;5;8;9;ab;ab;12;11;13;14
8;1;1;2;4;15;3;16;7;12;6;17;18;5;8;9;ab;ab;11;10;13;14
9;1;1;2;4;15;3;16;7;12;6;17;18;5;8;9;ab;ab;11;10;13;14
10;0;1;2;4;14;3;16;7;12;6;17;18;5;8;9;ab;ab;10;11;13;15
11;0;1;2;4;14;3;15;6;12;7;16;18;5;8;9;ab;ab;10;11;13;17
12;0;1;3;4;14;2;15;6;12;7;16;17;5;8;9;ab;ab;10;11;13;18
13;0;1;4;3;13;2;18;17;10;6;14;15;5;8;9;ab;ab;11;7;12;16
14;0;1;4;3;13;2;18;17;9;6;14;15;5;8;10;ab;ab;11;7;12;16
15;0;2;4;3;13;1;18;17;9;6;14;15;5;8;10;ab;ab;11;7;12;16
16;0;2;4;3;12;1;17;16;7;5;13;14;18;9;8;ab;ab;10;6;11;15
17;0;2;4;3;12;1;17;16;7;5;13;14;18;9;8;ab;ab;10;6;11;15
18;0;2;4;3;12;1;17;16;7;5;13;14;18;9;8;ab;ab;10;6;11;15
19;0;2;4;3;12;1;17;16;7;5;13;14;18;9;8;ab;ab;10;6;11;15
20;0;2;4;3;12;1;17;16;7;5;13;14;18;9;8;ab;ab;11;6;10;15
21;0;2;4;3;12;1;17;16;7;5;13;14;18;9;8;ab;ab;11;6;10;15
22;0;2;4;3;10;1;17;16;7;5;13;14;18;9;8;ab;ab;12;6;11;15
23;0;2;4;3;10;1;17;16;7;5;13;14;18;9;8;ab;ab;11;6;12;15
