;sc;HAM;KUB;RAI;ALO;ROS;MAS;KOV;HEI;BAR;WEB;GLO;NAK;COU;TRU;PIQ;SUT;FIS;BOU;BUT;VET
0;0;1;2;3;5;4;6;7;9;8;11;14;10;12;13;15;16;17;18;20;19
1;0;1;2;3;5;4;6;7;9;8;11;14;10;12;13;15;16;17;18;20;19
2;0;1;2;3;5;4;6;7;9;8;11;14;10;12;13;15;16;17;18;20;19
3;0;1;2;3;5;4;6;7;9;8;11;14;10;12;13;15;16;17;18;20;19
4;0;1;2;3;5;4;6;7;8;9;11;14;10;12;13;15;16;17;19;20;18
5;0;1;2;3;5;4;6;7;8;9;11;14;10;12;13;15;16;17;19;20;18
6;0;1;2;3;5;4;6;7;8;9;11;14;10;12;13;15;16;17;19;20;18
7;0;1;2;3;5;4;6;7;8;9;11;14;10;12;13;15;16;17;19;20;18
8;0;1;2;3;5;4;6;7;8;9;11;15;10;12;13;14;16;17;19;20;18
9;0;1;2;3;5;4;6;7;8;9;11;15;10;12;13;14;16;17;19;20;18
10;0;1;2;3;5;4;6;7;8;9;11;15;10;12;13;14;16;17;19;20;18
11;0;1;2;3;5;4;6;7;8;9;11;15;10;12;14;13;16;17;19;20;18
12;0;1;2;3;5;4;6;7;8;9;11;15;10;12;14;13;16;17;19;20;18
13;0;1;2;3;5;4;6;7;8;9;11;15;10;12;14;13;ab;16;18;19;17
14;0;1;2;3;5;4;6;7;8;9;11;15;10;12;14;13;ab;16;18;19;17
15;0;1;2;3;5;4;6;7;8;9;11;15;10;12;14;13;ab;16;18;19;17
16;1;1;2;3;5;4;6;7;8;9;11;15;10;12;14;13;ab;16;18;19;17
17;1;1;2;3;5;4;6;7;8;9;11;15;10;12;14;13;ab;16;18;19;17
18;1;12;11;10;14;13;15;17;1;2;4;7;3;5;6;16;ab;8;19;18;9
19;1;ab;10;ab;11;17;12;14;1;2;4;7;3;5;6;13;ab;8;16;15;9
20;1;ab;10;ab;11;16;17;13;1;2;4;7;3;5;6;12;ab;8;15;14;9
21;0;ab;10;ab;11;16;17;13;1;2;4;7;3;5;6;12;ab;8;15;14;9
22;0;ab;10;ab;11;16;17;13;1;2;4;7;3;5;6;12;ab;8;15;14;9
23;0;ab;10;ab;11;16;17;13;1;2;4;7;3;5;6;12;ab;8;15;14;9
24;0;ab;10;ab;11;15;17;13;1;2;4;7;3;5;6;12;ab;8;16;14;9
25;0;ab;10;ab;11;15;17;13;1;2;4;7;3;5;6;12;ab;8;16;14;9
26;0;ab;10;ab;11;15;17;13;1;2;4;7;3;5;6;12;ab;8;16;14;9
27;0;ab;10;ab;11;14;16;12;1;2;4;7;3;5;6;17;ab;8;15;13;9
28;0;ab;9;ab;10;13;15;11;6;1;14;5;2;3;4;17;ab;7;16;12;8
29;0;ab;8;ab;9;12;14;10;7;1;13;5;2;3;4;16;ab;17;15;11;6
30;0;ab;7;ab;9;12;14;10;8;1;13;5;2;3;4;16;ab;17;15;11;6
31;0;ab;7;ab;9;12;14;10;8;1;13;5;2;3;4;16;ab;17;15;11;6
32;0;ab;6;ab;8;11;14;9;7;1;13;4;12;2;3;16;ab;17;15;10;5
33;0;ab;6;ab;8;11;13;9;7;1;14;4;12;2;3;16;ab;17;15;10;5
34;0;ab;6;ab;8;16;12;9;7;1;13;4;11;2;3;15;ab;17;14;10;5
35;0;ab;5;ab;8;16;12;9;7;6;13;3;11;1;2;15;ab;17;14;10;4
36;0;ab;3;ab;6;16;11;8;4;7;12;2;10;5;1;14;ab;17;13;9;15
37;0;ab;3;ab;5;16;11;8;4;7;12;2;10;6;1;14;ab;17;13;9;15
38;0;ab;2;ab;4;16;8;7;3;6;12;1;11;5;10;14;ab;17;13;9;15
39;0;ab;2;ab;4;15;8;7;3;6;11;1;10;5;12;ab;ab;16;13;9;14
40;0;ab;2;ab;4;15;8;7;3;6;11;1;10;5;12;ab;ab;16;13;9;14
41;0;ab;1;ab;3;14;7;6;2;5;10;11;9;4;12;ab;ab;16;15;8;13
42;0;ab;1;ab;3;14;7;6;2;5;10;11;9;4;12;ab;ab;16;15;8;13
43;0;ab;1;ab;3;14;7;6;2;5;10;11;9;4;12;ab;ab;16;15;8;13
44;0;ab;1;ab;ab;13;6;5;2;4;9;10;8;3;11;ab;ab;15;14;7;12
45;0;ab;1;ab;ab;13;6;5;2;4;9;10;8;3;11;ab;ab;15;14;7;12
46;0;ab;1;ab;ab;12;6;5;2;4;8;9;ab;3;10;ab;ab;14;13;7;11
47;0;ab;1;ab;ab;12;6;5;2;4;8;9;ab;3;10;ab;ab;14;13;7;11
48;0;ab;1;ab;ab;12;6;5;2;4;9;8;ab;3;10;ab;ab;14;13;7;11
49;0;ab;1;ab;ab;12;6;5;2;4;9;8;ab;3;10;ab;ab;14;13;7;11
50;0;ab;1;ab;ab;12;4;5;2;6;9;8;ab;3;10;ab;ab;14;13;7;11
51;0;ab;1;ab;ab;12;4;5;2;6;9;8;ab;3;10;ab;ab;ab;13;7;11
52;0;ab;1;ab;ab;10;7;9;2;4;12;5;ab;3;6;ab;ab;ab;13;11;8
53;0;ab;1;ab;ab;9;7;10;2;4;12;5;ab;3;6;ab;ab;ab;13;11;8
54;0;ab;1;ab;ab;9;7;10;2;4;11;5;ab;3;6;ab;ab;ab;13;12;8
55;0;ab;1;ab;ab;9;7;10;2;4;11;5;ab;3;6;ab;ab;ab;13;12;8
56;0;ab;1;ab;ab;9;7;10;2;4;11;5;ab;3;6;ab;ab;ab;13;12;8
57;0;ab;1;ab;ab;9;7;10;2;4;11;5;ab;3;6;ab;ab;ab;13;12;8
58;0;ab;1;ab;ab;9;7;10;2;6;11;4;ab;3;5;ab;ab;ab;13;12;8
59;0;ab;1;ab;ab;10;7;9;2;6;11;4;ab;3;5;ab;ab;ab;13;12;8
60;0;ab;1;ab;ab;10;6;9;2;7;11;4;ab;3;5;ab;ab;ab;13;12;8
61;0;ab;1;ab;ab;10;6;9;2;7;11;4;ab;3;5;ab;ab;ab;13;12;8
62;0;ab;1;ab;ab;10;6;9;2;7;11;4;ab;3;5;ab;ab;ab;13;12;8
63;0;ab;1;ab;ab;10;6;9;2;7;11;4;ab;3;5;ab;ab;ab;13;12;8
64;0;ab;1;ab;ab;10;6;9;2;7;11;4;ab;3;5;ab;ab;ab;13;12;8
65;0;ab;1;ab;ab;10;6;9;2;7;11;4;ab;3;5;ab;ab;ab;13;12;8
66;0;ab;1;ab;ab;10;6;9;2;7;11;4;ab;3;5;ab;ab;ab;13;12;8
67;0;ab;1;ab;ab;10;5;9;2;7;11;4;ab;3;6;ab;ab;ab;13;12;8
68;0;ab;1;ab;ab;10;5;9;2;7;12;4;ab;3;6;ab;ab;ab;13;11;8
69;0;ab;1;ab;ab;10;5;9;2;7;12;4;ab;3;6;ab;ab;ab;13;11;8
