;sc;RAI;MAS;ALO;TRU;KUB;WEB;COU;GLO;PIQ;KOV;HEI;VET;HAM;BOU;NAK;BUT;FIS;SUT;ROS;BAR
0;0;1;2;4;3;5;7;11;6;8;9;13;12;10;15;14;20;16;17;19;18
1;0;1;2;4;3;5;7;11;6;8;9;13;12;10;15;14;20;16;18;19;17
2;0;1;2;4;3;5;7;11;6;8;9;13;12;10;15;14;20;16;18;19;17
3;0;1;2;4;3;5;7;11;6;8;9;13;12;10;15;14;20;16;18;19;17
4;0;1;2;4;3;5;7;11;6;8;10;13;12;9;15;14;20;16;18;19;17
5;0;1;2;4;3;5;7;11;6;8;10;13;12;9;15;14;20;16;18;19;17
6;0;1;2;4;3;5;7;11;6;8;10;13;12;9;15;14;20;16;18;19;17
7;0;1;2;4;3;5;7;11;6;8;10;13;12;9;15;14;20;16;18;19;17
8;0;1;2;4;3;5;7;11;6;8;10;13;12;9;15;14;20;16;18;19;17
9;0;1;2;4;3;5;7;11;6;8;10;13;12;9;15;14;20;16;18;19;17
10;0;1;2;4;3;5;7;11;6;8;10;13;12;9;15;14;20;16;18;19;17
11;0;1;2;4;3;5;7;11;6;8;10;13;12;9;15;14;20;16;18;19;17
12;0;1;2;4;3;5;7;11;6;8;9;13;12;10;15;14;20;16;18;19;17
13;0;1;2;4;3;5;7;10;6;8;9;12;11;13;15;14;20;16;18;19;17
14;0;1;2;4;3;5;7;10;6;8;9;12;11;13;15;14;20;16;18;19;17
15;0;1;2;12;3;4;6;9;5;7;8;11;10;13;15;14;20;16;18;19;17
16;0;1;2;12;3;4;6;9;5;7;8;11;10;13;15;14;ab;16;18;19;17
17;0;1;2;12;3;4;6;9;5;7;8;11;10;13;15;14;ab;16;18;19;17
18;0;1;2;13;3;4;6;9;5;7;8;11;10;12;15;14;ab;16;18;19;17
19;0;1;2;12;3;4;6;9;5;7;8;11;10;19;14;13;ab;15;17;18;16
20;0;1;2;12;8;10;3;7;4;5;6;11;9;18;14;13;ab;15;19;17;16
21;0;2;1;11;7;9;3;6;12;4;5;10;8;18;14;13;ab;15;19;17;16
22;0;2;1;11;7;9;3;6;12;4;5;10;8;18;14;13;ab;15;19;17;16
23;0;1;2;11;6;8;10;5;12;3;4;9;7;18;14;13;ab;15;19;17;16
24;0;1;2;10;6;8;11;5;12;3;4;9;7;18;14;13;ab;15;19;17;16
25;0;1;2;8;4;6;9;3;12;11;10;7;5;18;14;13;ab;15;19;17;16
26;0;1;2;7;3;5;8;12;11;10;9;6;4;17;18;13;ab;14;19;16;15
27;0;1;2;7;3;5;8;12;11;10;9;6;4;16;18;13;ab;14;19;17;15
28;0;1;2;7;3;5;8;12;11;10;9;6;4;16;18;13;ab;14;19;17;15
29;0;1;2;5;3;4;6;10;9;8;7;13;12;16;18;11;ab;14;19;17;15
30;0;1;2;5;3;4;6;10;9;8;7;13;12;16;18;11;ab;14;19;17;15
31;0;1;2;5;3;4;6;10;9;8;7;13;12;16;18;11;ab;15;19;17;14
32;0;1;2;5;3;4;6;10;9;8;7;13;12;15;17;11;ab;18;19;16;14
33;0;1;2;5;3;4;6;10;9;8;7;13;12;15;17;11;ab;18;19;16;14
34;0;1;2;5;3;4;6;10;9;8;7;13;11;14;16;12;ab;18;19;15;17
35;0;1;2;5;3;4;6;10;9;8;7;12;11;13;15;16;ab;18;19;14;17
36;0;1;2;5;3;4;6;10;9;8;7;12;11;13;15;16;ab;18;19;14;17
37;0;1;2;5;3;4;6;10;9;8;7;12;11;13;15;16;ab;18;19;14;17
38;0;2;1;5;3;4;6;10;9;8;7;12;11;13;15;16;ab;18;19;14;17
39;0;2;1;5;3;4;6;10;9;8;7;12;11;13;15;16;ab;18;19;14;17
40;0;2;1;5;3;4;6;10;9;8;7;12;11;13;14;15;ab;17;18;19;16
41;0;2;1;5;3;4;7;10;9;8;6;12;11;13;14;15;ab;17;18;19;16
42;0;2;1;12;3;4;6;9;8;7;5;11;10;13;14;15;ab;17;18;19;16
43;0;2;1;12;3;4;6;9;8;7;5;11;10;13;14;15;ab;17;19;18;16
44;0;2;1;12;3;4;6;9;8;7;5;11;10;13;14;15;ab;17;19;18;16
45;0;2;1;12;3;4;6;9;8;7;5;11;10;13;14;15;ab;17;19;18;16
46;0;2;1;13;3;10;5;8;7;6;4;11;9;12;18;14;ab;16;19;17;15
47;0;2;1;13;3;9;5;8;7;6;4;11;10;12;18;14;ab;16;19;17;15
48;0;2;1;11;3;9;5;8;7;6;4;13;12;10;18;14;ab;16;19;17;15
49;0;2;1;10;4;7;9;6;11;5;3;13;12;8;18;14;ab;16;19;17;15
50;0;2;1;9;4;6;8;5;11;10;3;13;12;7;18;14;ab;16;19;17;15
51;0;2;1;9;3;6;8;5;11;10;4;13;12;7;18;14;ab;16;19;17;15
52;0;2;1;7;3;5;6;9;10;8;4;13;11;12;18;14;ab;16;19;17;15
53;0;2;1;7;3;5;6;9;10;8;4;13;12;11;18;14;ab;16;19;17;15
54;0;2;1;7;3;5;6;9;10;8;4;13;12;11;17;14;ab;18;19;16;15
55;0;2;1;7;3;5;6;9;10;8;4;13;12;11;17;14;ab;18;19;16;15
56;0;2;1;7;3;5;6;9;11;8;4;13;12;10;17;14;ab;18;19;16;15
57;0;2;1;7;3;5;6;9;11;8;4;13;12;10;17;14;ab;18;19;16;15
58;0;2;1;7;3;5;6;9;11;8;4;13;12;10;17;15;ab;18;19;16;14
59;0;2;1;7;3;5;6;9;11;8;4;13;12;10;17;15;ab;18;19;16;14
60;0;2;1;7;3;5;6;9;11;8;4;13;12;10;17;15;ab;18;19;16;14
61;0;2;1;7;3;5;6;9;11;8;4;13;12;10;17;15;ab;18;19;16;14
62;0;2;1;7;3;5;6;9;11;8;4;13;12;10;17;15;ab;18;19;16;14
63;0;2;1;7;3;5;6;9;11;8;4;13;12;10;17;15;ab;18;19;16;14
64;0;2;1;7;3;5;6;9;11;8;4;13;12;10;17;15;ab;18;19;16;14
65;0;2;1;7;3;5;6;9;11;8;4;13;12;10;17;15;ab;18;19;16;14
66;0;2;1;7;3;5;6;9;11;8;4;13;12;10;17;15;ab;18;19;16;14
67;0;2;1;8;3;5;6;9;11;7;4;13;12;10;17;15;ab;18;19;16;14
68;0;2;1;8;3;5;6;9;11;7;4;13;12;10;17;15;ab;18;19;16;14
69;0;2;1;8;3;5;6;9;11;7;4;13;12;10;17;15;ab;18;19;16;14
