;sc;KOV;WEB;RAI;HAM;HEI;ALO;PIQ;VET;MAS;KUB;COU;GLO;BOU;TRU;NAK;BAR;BUT;ROS;SUT;FIS
0;0;1;18;3;2;4;6;5;ab;17;8;ab;9;13;7;14;10;12;16;11;15
1;0;1;18;3;2;4;5;6;ab;17;8;ab;9;13;7;14;10;12;16;11;15
2;0;1;17;3;2;5;4;6;ab;18;8;ab;9;13;7;14;10;11;16;12;15
3;0;1;17;3;2;5;4;6;ab;18;8;ab;9;13;7;14;10;11;16;12;15
4;0;2;16;3;1;5;4;6;ab;18;8;ab;9;13;7;14;10;11;17;12;15
5;0;2;15;3;1;5;4;6;ab;18;8;ab;9;13;7;14;10;11;17;12;16
6;0;2;15;3;1;5;4;6;ab;18;8;ab;9;13;7;14;10;11;17;12;16
7;0;2;14;3;1;5;4;6;ab;18;8;ab;9;13;7;15;10;11;17;12;16
8;0;2;12;3;1;5;4;6;ab;18;8;ab;9;14;7;15;10;11;17;13;16
9;0;3;12;2;1;5;4;6;ab;18;8;ab;9;14;7;15;11;10;17;13;16
10;0;3;12;2;1;5;4;6;ab;17;8;ab;9;14;7;13;11;10;16;ab;15
11;0;3;11;2;1;5;4;6;ab;17;8;ab;9;14;7;13;12;10;16;ab;15
12;0;3;11;2;1;5;4;6;ab;17;8;ab;9;14;7;13;12;10;16;ab;15
13;0;3;11;2;1;5;4;6;ab;17;8;ab;9;14;7;13;12;10;16;ab;15
14;0;3;10;2;1;5;4;6;ab;17;8;ab;9;14;7;13;12;11;16;ab;15
15;0;3;10;2;1;5;4;6;ab;16;8;ab;9;14;7;13;12;11;17;ab;15
16;0;3;10;2;1;5;4;6;ab;15;8;ab;9;14;7;13;12;11;17;ab;16
17;0;3;10;2;1;5;4;6;ab;15;8;ab;9;14;7;13;12;11;17;ab;16
18;0;4;15;2;1;5;3;6;ab;14;7;ab;9;13;8;12;11;10;17;ab;16
19;0;6;15;2;1;3;4;5;ab;14;7;ab;9;13;8;12;11;10;17;ab;16
20;0;5;14;2;1;3;8;4;ab;15;6;ab;9;13;7;12;11;10;17;ab;16
21;0;5;14;3;2;1;8;4;ab;17;6;ab;9;13;7;12;11;10;16;ab;15
22;0;3;13;2;1;5;6;11;ab;17;8;ab;7;12;4;14;10;9;16;ab;15
23;0;3;13;2;1;4;7;9;ab;17;11;ab;6;12;5;14;10;8;16;ab;15
24;0;3;12;2;1;4;6;7;ab;16;9;ab;8;13;5;15;11;10;17;ab;14
25;0;3;12;2;1;4;8;5;ab;15;6;ab;10;13;7;17;9;11;16;ab;14
26;0;3;12;4;1;2;10;5;ab;13;6;ab;8;14;9;16;7;11;15;ab;ab
27;0;3;12;4;1;2;10;5;ab;14;6;ab;8;16;9;15;7;11;13;ab;ab
28;0;3;15;4;1;2;10;5;ab;14;6;ab;8;16;9;13;7;11;12;ab;ab
29;0;3;14;6;1;2;10;5;ab;15;4;ab;8;16;9;13;7;11;12;ab;ab
30;0;3;14;11;1;2;9;5;ab;16;4;ab;7;15;8;13;6;10;12;ab;ab
31;0;3;14;11;1;2;9;5;ab;16;4;ab;7;15;8;13;6;10;12;ab;ab
32;0;3;14;11;1;2;9;5;ab;16;4;ab;7;15;8;13;6;10;12;ab;ab
33;0;5;14;11;1;2;9;4;ab;16;3;ab;7;15;8;13;6;10;12;ab;ab
34;0;9;13;10;1;2;8;4;ab;16;3;ab;7;15;5;14;6;11;12;ab;ab
35;0;7;11;8;1;2;6;ab;ab;15;3;ab;5;14;4;13;9;10;12;ab;ab
36;0;6;12;7;1;2;5;ab;ab;15;3;ab;9;14;4;13;8;10;11;ab;ab
37;0;6;13;8;1;2;5;ab;ab;15;3;ab;9;14;4;12;7;10;11;ab;ab
38;0;6;12;8;1;2;4;ab;ab;14;7;ab;9;13;3;11;5;ab;10;ab;ab
39;0;6;11;7;1;2;5;ab;ab;13;ab;ab;8;12;3;10;4;ab;9;ab;ab
40;0;6;10;7;1;2;5;ab;ab;13;ab;ab;8;12;4;9;3;ab;11;ab;ab
41;0;6;10;7;1;2;5;ab;ab;13;ab;ab;8;12;4;9;3;ab;11;ab;ab
42;0;6;9;7;1;3;5;ab;ab;13;ab;ab;11;12;4;8;2;ab;10;ab;ab
43;0;6;9;7;1;3;5;ab;ab;13;ab;ab;12;11;4;8;2;ab;10;ab;ab
44;0;6;9;7;1;3;5;ab;ab;13;ab;ab;12;11;4;8;2;ab;10;ab;ab
45;0;5;9;7;1;3;6;ab;ab;13;ab;ab;12;11;4;8;2;ab;10;ab;ab
46;0;4;10;7;1;2;5;ab;ab;13;ab;ab;12;11;6;8;3;ab;9;ab;ab
47;0;4;10;6;1;2;5;ab;ab;13;ab;ab;12;11;8;7;3;ab;9;ab;ab
48;0;6;10;5;1;2;4;ab;ab;13;ab;ab;12;11;8;7;3;ab;9;ab;ab
49;0;6;10;5;1;2;4;ab;ab;13;ab;ab;12;11;8;7;3;ab;9;ab;ab
50;0;6;10;5;1;2;4;ab;ab;13;ab;ab;12;11;8;7;3;ab;9;ab;ab
51;0;6;10;5;1;2;4;ab;ab;13;ab;ab;12;11;8;7;3;ab;9;ab;ab
52;0;6;10;4;1;2;5;ab;ab;13;ab;ab;12;11;8;7;3;ab;9;ab;ab
53;0;6;10;4;1;2;5;ab;ab;13;ab;ab;12;11;8;7;3;ab;9;ab;ab
54;0;6;10;4;1;2;5;ab;ab;13;ab;ab;12;11;8;7;3;ab;9;ab;ab
55;0;6;10;4;1;2;5;ab;ab;13;ab;ab;12;11;8;7;3;ab;9;ab;ab
56;0;5;10;4;1;2;6;ab;ab;13;ab;ab;12;11;8;7;3;ab;9;ab;ab
57;0;5;10;4;1;2;6;ab;ab;13;ab;ab;12;11;8;7;3;ab;9;ab;ab
58;0;5;10;4;1;2;6;ab;ab;13;ab;ab;12;11;7;8;3;ab;9;ab;ab
59;0;5;10;4;1;2;6;ab;ab;13;ab;ab;12;11;7;8;3;ab;9;ab;ab
