;sc;BUT;BAR;VET;KUB;ROS;MAS;RAI;WEB;HEI;ALO;NAK;KOV;BUE;PIQ;FIS;SUT;BOU;HAM;GLO;TRU
0;0;1;7;2;4;6;3;5;19;17;14;8;ab;10;9;11;18;12;13;16;15
1;0;1;7;2;4;6;3;5;19;17;15;8;ab;10;9;11;18;13;12;16;14
2;0;1;7;2;4;6;3;5;19;17;15;8;ab;10;9;12;18;13;11;16;14
3;0;1;7;2;4;6;3;5;19;17;15;8;ab;11;9;12;18;14;10;16;13
4;0;1;7;2;4;6;3;5;19;17;14;8;ab;11;9;12;18;15;10;16;13
5;0;1;7;2;4;6;3;5;19;17;14;8;ab;11;10;12;18;16;9;15;13
6;0;1;7;2;4;6;3;5;19;17;14;8;ab;11;10;12;18;16;9;15;13
7;0;1;7;2;4;6;3;5;19;17;14;8;ab;11;10;12;18;16;9;15;13
8;0;1;7;2;4;6;3;5;19;17;14;8;ab;11;10;12;18;16;9;15;13
9;0;1;6;2;4;5;3;14;19;17;12;7;ab;10;9;11;18;16;8;13;15
10;0;1;5;2;3;4;11;13;19;17;10;6;ab;8;7;9;18;16;14;12;15
11;0;1;4;2;11;3;12;13;19;17;9;5;ab;7;6;8;18;16;15;10;14
12;0;1;4;2;12;3;11;13;19;17;9;5;ab;7;6;8;18;16;15;10;14
13;0;1;4;2;12;3;11;13;19;17;9;5;ab;7;6;8;18;16;15;10;14
14;0;1;4;2;12;3;11;13;19;17;9;5;ab;7;6;8;18;16;15;10;14
15;0;1;3;2;11;12;10;13;19;17;8;4;ab;6;5;7;18;16;15;9;14
16;0;1;3;2;11;13;10;12;19;17;8;4;ab;6;5;7;18;16;15;9;14
17;1;1;12;2;7;9;6;8;18;17;5;ab;ab;11;3;4;16;15;14;13;10
18;1;1;10;2;4;7;3;6;18;17;12;ab;ab;9;5;14;16;15;13;11;8
19;1;1;10;2;4;6;3;5;18;17;13;ab;ab;9;7;14;16;15;12;11;8
20;1;1;10;2;4;6;3;5;18;17;13;ab;ab;9;7;14;16;15;12;11;8
21;1;1;10;2;4;6;3;5;18;16;13;ab;ab;9;7;14;17;15;12;11;8
22;1;1;10;2;4;6;3;5;18;16;13;ab;ab;9;7;14;17;15;12;11;8
23;1;1;10;2;4;6;3;5;18;16;13;ab;ab;9;7;14;17;15;12;11;8
24;0;1;7;2;4;9;3;5;17;16;11;ab;ab;8;ab;13;14;15;10;12;6
25;0;1;7;2;4;9;3;5;17;16;11;ab;ab;8;ab;13;14;15;10;12;6
26;0;1;7;2;4;9;3;5;17;16;11;ab;ab;8;ab;13;14;15;10;12;6
27;0;1;7;2;4;9;3;5;17;16;11;ab;ab;8;ab;13;14;15;10;12;6
28;0;1;7;2;4;9;3;5;17;16;11;ab;ab;8;ab;14;13;15;10;12;6
29;0;1;7;2;4;9;3;5;17;16;11;ab;ab;8;ab;14;13;15;10;12;6
30;0;1;6;2;3;8;13;4;17;16;10;ab;ab;7;ab;14;12;15;9;11;5
31;0;1;6;2;3;8;14;4;17;16;10;ab;ab;7;ab;13;12;15;9;11;5
32;0;1;5;2;3;7;14;4;17;16;9;ab;ab;6;ab;13;11;15;8;10;12
33;0;1;5;2;3;7;13;4;16;15;9;ab;ab;6;ab;11;17;14;8;10;12
34;0;1;5;2;3;7;13;4;17;15;9;ab;ab;6;ab;11;16;14;8;10;12
35;0;1;5;2;3;7;13;4;17;15;9;ab;ab;6;ab;11;16;14;8;10;12
36;0;1;5;2;3;7;13;4;17;14;9;ab;ab;6;ab;11;16;15;8;10;12
37;0;1;5;2;3;7;13;4;17;14;9;ab;ab;6;ab;11;16;15;8;10;12
38;0;1;3;2;4;6;13;8;17;14;9;ab;ab;5;ab;11;16;15;7;10;12
39;0;1;3;2;7;5;13;9;17;14;8;ab;ab;4;ab;11;16;15;6;10;12
40;0;1;3;2;6;4;13;8;17;14;7;ab;ab;10;ab;11;16;15;5;9;12
41;0;1;3;2;6;4;12;8;17;14;7;ab;ab;13;ab;10;16;15;5;9;11
42;0;1;3;2;5;4;11;16;17;13;6;ab;ab;12;ab;9;15;14;8;7;10
43;0;1;3;2;4;7;11;16;17;15;5;ab;ab;12;ab;8;14;13;10;6;9
44;0;1;3;2;4;7;11;16;17;15;5;ab;ab;12;ab;8;14;13;10;6;9
45;0;1;3;2;4;7;ab;15;16;14;5;ab;ab;11;ab;8;13;12;10;6;9
46;0;1;3;2;4;7;ab;15;16;14;5;ab;ab;11;ab;8;13;12;10;6;9
47;0;1;3;2;4;7;ab;15;16;14;5;ab;ab;11;ab;8;13;12;10;6;9
48;0;1;3;2;4;7;ab;15;16;14;5;ab;ab;10;ab;13;12;11;9;6;8
49;0;1;3;2;4;6;ab;15;16;13;5;ab;ab;10;ab;14;12;11;9;8;7
50;0;1;4;2;3;5;ab;15;16;13;7;ab;ab;10;ab;14;12;11;8;9;6
51;0;1;5;2;3;4;ab;15;16;13;9;ab;ab;10;ab;14;12;11;7;8;6
52;0;1;4;2;3;5;ab;15;16;13;9;ab;ab;10;ab;14;12;11;7;8;6
53;0;1;4;2;3;8;ab;15;16;13;9;ab;ab;10;ab;14;12;11;6;7;5
54;0;1;4;2;3;9;ab;15;16;13;8;ab;ab;10;ab;14;12;11;6;7;5
55;1;1;2;7;14;8;ab;15;14;12;6;ab;ab;9;ab;13;11;10;3;5;4
56;1;1;2;13;14;7;ab;15;13;11;6;ab;ab;8;ab;12;10;9;4;5;3
57;1;1;2;13;14;7;ab;15;12;11;6;ab;ab;8;ab;12;10;9;4;5;3
