;sc;ALO;VET;WEB;HAM;ROS;KOV;RAI;BUT;NAK;BUE;TRU;BAR;GLO;PIQ;HEI;FIS;SUT;KUB;ALG
0;0;1;7;2;3;5;6;4;9;8;14;10;16;12;11;15;17;19;13;18
1;0;1;7;2;3;5;6;4;8;9;14;10;16;12;11;15;17;ab;13;18
2;0;1;7;2;3;5;6;4;8;9;14;10;16;12;11;15;17;ab;13;18
3;0;1;7;2;3;5;6;4;8;9;14;10;16;12;11;15;17;ab;13;18
4;0;1;7;3;2;5;6;4;8;9;14;10;16;12;11;15;17;ab;13;18
5;0;1;7;3;2;5;6;4;8;9;14;10;16;12;11;15;17;ab;13;18
6;0;1;7;3;2;5;6;4;8;9;14;10;16;12;11;15;17;ab;13;18
7;0;1;7;3;2;5;6;4;8;9;14;10;16;12;11;15;17;ab;13;18
8;0;1;7;3;2;5;6;4;8;9;14;10;16;12;11;15;17;ab;13;18
9;0;1;7;3;2;5;6;4;8;9;14;10;16;12;11;15;17;ab;13;18
10;0;1;7;3;2;5;6;4;8;9;14;10;16;12;11;15;17;ab;13;18
11;0;2;7;3;1;5;6;4;8;9;14;10;16;12;11;15;17;ab;13;18
12;0;18;6;2;1;4;5;3;7;8;14;9;15;11;10;13;16;ab;12;17
13;0;18;6;2;1;4;5;3;7;8;14;9;15;11;10;13;16;ab;12;17
14;0;18;6;2;1;4;5;3;7;8;14;9;15;11;10;13;16;ab;12;17
15;0;ab;6;2;1;4;5;3;7;8;14;9;15;11;10;13;16;ab;12;17
16;0;ab;6;2;1;4;5;3;7;8;14;9;15;11;10;13;16;ab;12;17
17;0;ab;6;2;1;4;5;3;7;8;14;9;15;11;10;13;16;ab;12;17
18;0;ab;6;2;1;4;5;3;7;8;13;9;14;11;10;17;15;ab;12;16
19;0;ab;4;11;1;2;3;9;5;6;13;7;14;10;8;17;15;ab;12;16
20;0;ab;2;10;3;11;1;8;4;5;13;6;14;9;7;17;15;ab;12;16
21;0;ab;11;8;1;10;9;6;2;4;12;3;13;7;5;16;14;ab;17;15
22;0;ab;10;7;1;9;8;5;2;15;11;3;12;6;4;16;13;ab;17;14
23;0;ab;9;6;1;8;7;4;2;15;10;3;11;5;14;16;12;ab;17;13
24;0;ab;9;6;1;8;7;4;3;15;10;2;11;5;14;16;12;ab;17;13
25;0;ab;8;5;1;7;6;3;12;15;11;2;9;4;14;16;10;ab;17;13
