;sc;HAM;KOV;BAR;VET;BUT;RAI;ROS;ALO;WEB;KUB;HEI;SUT;GLO;GRO;BUE;FIS;NAK;TRU;ALG;BAD
0;0;1;2;3;5;8;4;6;7;9;11;10;12;19;18;20;13;14;15;16;17
1;0;1;2;3;5;8;4;6;7;9;11;10;12;19;18;20;13;14;15;16;17
2;0;1;2;3;5;8;4;6;7;9;11;10;12;19;18;20;13;14;15;16;17
3;0;1;2;3;5;8;4;6;7;9;11;10;12;19;18;20;13;14;15;16;17
4;0;1;2;3;5;9;4;6;7;8;10;11;12;19;18;20;13;14;15;16;17
5;0;1;2;3;5;9;4;6;7;8;10;11;12;19;18;20;13;14;15;16;17
6;0;1;2;3;5;9;4;6;7;8;10;11;12;19;18;20;13;14;15;16;17
7;0;1;2;3;5;9;4;6;7;8;10;11;12;19;18;20;13;14;15;16;17
8;0;1;2;3;5;9;4;6;7;8;10;11;12;19;18;20;13;14;15;16;17
9;0;1;2;3;5;9;4;6;7;8;10;11;12;19;18;20;13;14;15;16;17
10;0;1;2;3;5;9;4;6;7;8;10;11;12;19;18;20;13;14;15;16;17
11;0;1;2;3;5;9;4;6;7;8;10;11;12;19;18;20;13;14;15;16;17
12;0;1;2;3;5;9;4;6;7;8;10;11;12;19;18;20;13;14;15;16;17
13;0;1;2;3;5;9;4;6;7;8;10;11;12;19;18;20;13;14;15;16;17
14;0;1;2;3;5;9;4;6;7;8;10;11;12;19;18;20;13;14;15;16;17
15;0;4;1;2;11;8;3;5;6;7;13;9;10;19;18;20;12;14;15;16;17
16;0;4;6;1;15;7;2;3;10;5;13;8;9;19;18;20;11;12;14;16;17
17;0;4;7;1;16;6;2;3;10;5;13;8;9;19;18;20;11;12;14;15;17
18;0;3;6;1;16;9;5;2;10;4;13;7;8;19;18;20;11;12;14;15;17
19;0;2;3;1;16;11;7;5;9;8;13;4;6;19;18;20;10;12;14;15;17
20;0;1;3;2;16;11;6;7;8;9;13;4;5;19;18;20;10;12;14;15;17
21;0;1;3;2;15;10;4;5;6;7;13;11;9;19;17;20;8;12;14;18;16
22;0;1;3;2;15;9;4;5;6;7;11;13;12;19;17;20;8;10;14;18;16
23;0;1;3;2;ab;9;4;5;6;7;11;13;12;18;16;19;8;10;14;17;15
24;0;1;3;2;ab;9;4;5;6;7;11;13;12;18;16;19;8;10;14;17;15
25;0;1;3;2;ab;9;4;5;6;7;11;13;12;18;16;19;8;10;14;17;15
26;0;1;3;2;ab;9;4;5;6;7;11;13;12;18;16;19;8;10;14;17;15
27;0;1;3;2;ab;9;4;5;6;7;11;13;12;16;18;19;8;10;14;15;17
28;0;1;3;2;ab;9;4;5;6;7;11;13;12;16;17;19;8;10;14;15;18
29;0;1;3;2;ab;9;4;5;6;7;10;12;11;16;17;19;8;14;13;15;18
30;0;1;3;2;ab;8;4;5;6;7;9;11;10;16;17;19;13;14;12;15;18
31;0;1;3;2;ab;8;4;5;6;7;9;11;10;17;16;19;13;14;12;15;18
32;0;1;3;2;ab;8;4;5;6;7;9;11;10;17;15;19;13;14;12;16;18
33;0;1;3;2;ab;8;4;5;6;7;9;11;10;16;15;19;12;13;14;17;18
34;0;1;3;2;ab;8;4;5;6;7;9;11;10;16;15;19;12;13;14;17;18
35;0;1;3;2;ab;8;4;5;6;7;9;11;10;16;15;19;12;13;14;17;18
36;0;4;2;1;ab;8;3;5;6;7;9;11;10;16;15;19;12;13;14;17;18
37;0;5;4;1;ab;8;2;3;6;7;9;10;11;16;15;19;12;13;14;17;18
38;0;4;6;1;ab;8;2;3;5;7;9;10;11;15;14;18;12;19;13;16;17
39;0;3;6;1;ab;8;4;2;5;7;10;9;11;15;14;18;12;19;13;16;17
40;0;3;6;1;ab;8;5;2;4;7;10;9;11;15;14;18;12;19;13;16;17
41;0;3;5;1;ab;9;4;2;7;6;10;8;11;14;15;ab;12;18;13;16;17
42;0;2;5;1;ab;8;3;4;6;7;9;10;11;14;15;ab;12;18;13;16;17
43;0;2;4;1;ab;7;3;5;6;9;8;11;10;14;15;ab;12;18;13;16;17
44;0;2;4;1;ab;7;3;5;6;9;8;11;10;14;15;ab;12;18;13;16;17
45;0;2;4;1;ab;7;3;5;6;9;8;11;10;14;15;ab;12;18;13;16;17
46;0;2;4;1;ab;7;3;5;6;9;8;11;10;14;15;ab;12;18;13;16;17
47;0;2;4;1;ab;7;3;5;6;9;8;11;10;14;15;ab;12;18;13;16;17
48;0;2;4;1;ab;7;3;5;6;9;8;11;10;14;15;ab;12;18;13;16;17
49;0;2;4;1;ab;7;3;5;6;9;8;11;10;14;15;ab;12;18;13;16;17
50;0;2;4;1;ab;7;3;5;6;9;8;11;10;14;15;ab;12;18;13;16;17
51;0;2;4;1;ab;7;3;5;6;9;8;11;10;14;15;ab;12;18;13;16;17
52;0;2;4;1;ab;7;3;5;6;9;8;11;10;14;15;ab;12;18;13;16;17
53;0;2;4;1;ab;7;3;5;6;9;8;11;10;14;15;ab;12;18;13;16;17
54;0;2;4;1;ab;7;3;5;6;9;8;11;10;14;15;ab;12;18;13;16;17
55;0;2;4;1;ab;7;3;5;6;9;8;11;10;14;15;ab;12;18;13;16;17
56;0;2;4;1;ab;7;3;5;6;9;8;11;10;14;15;ab;12;18;13;16;ab
