;sc;FIS;TRU;HEI;BAR;KUB;RAI;GLO;VET;WEB;ROS;SUT;HAM;ALO;BUT;KOV;BUE;ALG;NAK;GRO;BAD
0;1;1;5;7;14;3;2;4;9;6;8;16;ab;10;ab;11;12;ab;13;ab;15
1;1;1;14;6;15;3;2;4;8;5;7;16;ab;9;ab;10;11;ab;12;ab;13
2;1;1;14;6;15;3;2;4;8;5;7;16;ab;9;ab;10;11;ab;12;ab;13
3;1;1;14;6;15;3;2;4;8;5;7;16;ab;9;ab;10;11;ab;12;ab;13
4;0;2;15;6;13;3;1;4;7;5;8;16;ab;9;ab;10;11;ab;12;ab;14
5;0;2;16;6;13;3;1;4;7;5;8;15;ab;9;ab;10;11;ab;12;ab;14
6;0;2;16;6;12;3;1;4;7;5;8;14;ab;9;ab;10;11;ab;13;ab;15
7;0;2;16;6;12;3;1;4;7;5;8;14;ab;9;ab;10;11;ab;13;ab;15
8;0;2;16;6;12;3;1;4;7;5;8;13;ab;9;ab;10;11;ab;14;ab;15
9;0;2;16;6;12;3;1;4;7;5;8;13;ab;9;ab;10;11;ab;14;ab;15
10;0;2;16;6;12;3;1;4;7;5;8;13;ab;9;ab;10;11;ab;14;ab;15
11;0;2;16;5;12;3;1;6;7;4;8;13;ab;9;ab;10;11;ab;14;ab;15
12;0;2;16;4;11;8;1;13;5;3;6;12;ab;7;ab;9;10;ab;14;ab;15
13;0;2;16;5;11;8;1;13;4;3;6;12;ab;7;ab;9;10;ab;14;ab;15
14;0;4;16;9;10;6;3;13;1;11;2;12;ab;5;ab;7;8;ab;14;ab;15
15;0;4;16;9;10;6;3;13;1;11;2;12;ab;5;ab;7;8;ab;14;ab;15
16;0;3;16;9;10;5;2;13;8;11;1;12;ab;4;ab;6;7;ab;14;ab;15
17;0;2;16;9;10;5;1;12;8;13;3;11;ab;4;ab;6;7;ab;14;ab;15
18;0;2;16;8;9;4;1;12;7;13;11;10;ab;3;ab;5;6;ab;14;ab;15
19;0;2;16;8;9;4;1;12;7;13;11;10;ab;3;ab;5;6;ab;14;ab;15
20;0;2;16;8;9;4;1;12;6;13;11;10;ab;3;ab;5;7;ab;14;ab;15
21;0;2;ab;7;8;4;1;11;6;12;10;9;ab;3;ab;5;13;ab;14;ab;15
22;0;2;ab;7;8;4;1;11;6;12;10;9;ab;3;ab;5;13;ab;14;ab;15
23;0;2;ab;7;8;3;1;11;6;12;10;9;ab;4;ab;5;13;ab;14;ab;15
24;0;2;ab;6;7;3;1;10;5;11;9;8;ab;14;ab;4;12;ab;13;ab;15
25;0;2;ab;6;7;3;1;10;4;11;8;9;ab;14;ab;5;12;ab;13;ab;15
26;0;2;ab;5;6;3;1;8;4;9;7;13;ab;ab;ab;10;11;ab;12;ab;14
27;0;2;ab;5;11;3;1;7;4;8;6;13;ab;ab;ab;9;10;ab;12;ab;14
28;0;2;ab;5;11;3;1;7;4;8;6;12;ab;ab;ab;9;10;ab;13;ab;14
29;0;2;ab;5;10;4;1;7;3;8;6;12;ab;ab;ab;9;11;ab;13;ab;14
30;0;2;ab;4;10;5;1;7;3;8;6;11;ab;ab;ab;9;12;ab;13;ab;14
31;0;4;ab;2;10;5;3;8;1;7;6;11;ab;ab;ab;9;12;ab;13;ab;14
32;0;3;ab;5;9;4;2;10;1;6;7;11;ab;ab;ab;8;12;ab;13;ab;14
33;0;3;ab;5;8;4;2;10;1;6;9;11;ab;ab;ab;7;12;ab;13;ab;14
34;0;3;ab;5;7;4;2;10;1;9;8;11;ab;ab;ab;6;12;ab;13;ab;14
35;0;2;ab;5;7;4;1;10;3;9;8;11;ab;ab;ab;6;12;ab;13;ab;14
36;0;2;ab;5;7;4;1;10;3;9;8;11;ab;ab;ab;6;12;ab;13;ab;14
37;0;2;ab;5;7;4;1;10;3;9;8;11;ab;ab;ab;6;12;ab;13;ab;14
38;0;2;ab;5;7;4;1;10;3;9;8;11;ab;ab;ab;6;12;ab;13;ab;14
39;0;2;ab;5;7;4;1;10;3;9;8;11;ab;ab;ab;6;12;ab;13;ab;14
40;0;2;ab;5;7;4;1;10;3;9;8;11;ab;ab;ab;6;12;ab;13;ab;14
41;0;2;ab;5;7;4;1;10;3;9;8;11;ab;ab;ab;6;12;ab;13;ab;14
42;0;2;ab;5;7;4;1;10;3;9;8;11;ab;ab;ab;6;12;ab;13;ab;14
43;0;2;ab;5;7;4;1;10;3;9;8;11;ab;ab;ab;6;12;ab;13;ab;14
