;sc;HAM;SUT;RAI;KOV;BAR;BUT;LIU;ALO;VET;WEB;TRU;GRO;KUB;FIS2;HEI;GLO;NAK;ROS;BUE;ALG
0;0;1;3;2;7;4;5;6;9;8;ab;13;16;10;11;12;17;15;14;18;19
1;0;1;3;2;7;4;5;6;8;10;ab;15;19;9;11;12;16;14;13;17;18
2;0;1;3;2;7;4;5;6;8;10;ab;15;19;9;12;11;16;14;13;17;18
3;0;1;3;2;8;4;5;6;7;10;ab;14;18;9;12;11;15;13;19;16;17
4;0;1;3;2;8;4;5;6;7;10;ab;14;18;9;12;11;15;13;19;16;17
5;0;1;3;2;8;4;5;6;7;10;ab;14;18;9;12;11;15;13;19;16;17
6;0;1;3;2;8;4;5;6;7;10;ab;14;18;9;12;11;15;13;19;16;17
7;0;1;3;2;8;4;5;6;7;10;ab;14;18;9;12;11;15;13;19;16;17
8;0;1;3;2;8;4;5;6;7;9;ab;14;18;12;11;10;15;13;19;16;17
9;0;1;3;2;8;4;5;6;7;9;ab;13;17;18;11;10;14;12;19;15;16
10;0;1;3;2;8;4;5;6;7;9;ab;13;17;18;11;10;14;12;19;15;16
11;0;1;3;2;8;4;5;6;7;9;ab;13;17;18;11;10;14;12;19;15;16
12;0;1;3;2;8;4;5;6;7;9;ab;13;17;18;11;10;14;12;19;15;16
13;0;1;3;2;8;4;5;6;7;9;ab;13;17;18;11;10;14;12;19;15;16
14;0;1;3;2;8;4;5;6;7;9;ab;13;17;18;11;10;14;12;19;15;16
15;0;5;2;1;8;3;4;6;7;9;ab;13;17;ab;11;10;14;12;18;15;16
16;0;5;2;1;8;3;4;6;7;9;ab;13;17;ab;11;10;14;12;18;15;16
17;0;4;7;1;8;2;3;5;6;9;ab;13;17;ab;11;10;14;12;18;15;16
18;0;4;7;1;8;2;3;5;6;9;ab;13;16;ab;11;10;14;12;18;15;17
19;0;3;7;5;8;1;2;4;6;9;ab;13;16;ab;11;10;14;12;17;15;ab
20;0;3;7;5;8;1;2;4;6;9;ab;13;16;ab;11;10;14;12;17;15;ab
21;0;3;7;5;8;1;2;4;6;9;ab;13;16;ab;11;10;14;12;17;15;ab
22;0;3;6;4;7;1;2;ab;5;8;ab;12;15;ab;10;9;13;11;16;14;ab
23;0;3;6;4;7;1;2;ab;5;8;ab;12;15;ab;10;9;13;11;16;14;ab
24;0;3;6;4;7;1;2;ab;5;8;ab;12;15;ab;10;9;13;11;16;14;ab
25;0;3;5;4;7;1;2;ab;6;8;ab;12;15;ab;10;9;13;11;16;14;ab
26;0;3;5;4;6;1;2;ab;10;7;ab;12;15;ab;9;8;13;11;16;14;ab
27;0;3;5;4;11;1;2;ab;8;13;ab;10;15;ab;7;6;12;9;16;14;ab
28;0;2;4;3;11;1;5;ab;8;13;ab;10;15;ab;7;6;12;9;16;14;ab
29;0;1;3;2;11;4;5;ab;8;13;ab;10;15;ab;7;6;12;9;16;14;ab
30;0;1;3;2;10;4;5;ab;7;12;ab;9;15;ab;14;6;11;8;16;13;ab
31;0;1;3;2;9;4;5;ab;6;12;ab;8;15;ab;14;11;10;7;16;13;ab
32;0;1;3;2;9;4;5;ab;6;12;ab;8;15;ab;14;11;10;7;16;13;ab
33;0;1;3;2;9;4;5;ab;6;12;ab;8;15;ab;14;11;10;7;16;13;ab
34;0;5;2;1;8;3;4;ab;6;12;ab;10;15;ab;14;11;9;7;16;13;ab
35;0;5;2;1;7;3;4;ab;6;10;ab;14;15;ab;12;9;8;13;16;11;ab
36;0;5;2;1;7;3;4;ab;6;10;ab;13;15;ab;11;9;8;12;16;14;ab
37;0;3;5;4;7;1;2;ab;6;10;ab;13;15;ab;11;9;8;12;16;14;ab
38;0;3;5;4;7;1;2;ab;6;9;ab;12;15;ab;10;8;13;11;16;14;ab
39;0;3;5;4;7;1;2;ab;6;9;ab;12;15;ab;10;8;13;11;16;14;ab
40;0;3;5;4;7;1;2;ab;6;9;ab;12;15;ab;10;8;13;11;16;14;ab
41;0;3;5;4;7;1;2;ab;6;9;ab;12;15;ab;10;8;13;11;16;14;ab
42;0;3;5;4;7;1;2;ab;6;9;ab;12;15;ab;10;8;13;11;16;14;ab
43;0;3;5;4;7;1;2;ab;6;9;ab;12;15;ab;10;8;13;11;16;14;ab
44;0;3;5;4;7;1;2;ab;6;9;ab;12;15;ab;10;8;13;11;16;14;ab
45;0;3;5;4;7;1;2;ab;6;9;ab;12;15;ab;10;8;13;11;16;14;ab
46;0;3;5;4;7;1;2;ab;6;9;ab;12;15;ab;10;8;13;11;16;14;ab
47;0;3;5;4;7;1;2;ab;6;9;ab;14;15;ab;10;8;12;11;16;13;ab
48;0;3;5;4;7;1;2;ab;6;9;ab;14;15;ab;10;8;12;11;16;13;ab
49;0;3;5;4;7;1;2;ab;6;9;ab;14;15;ab;10;8;12;11;16;13;ab
50;0;3;5;4;7;1;2;ab;6;9;ab;14;15;ab;10;8;12;11;16;13;ab
51;0;3;5;4;7;1;2;ab;6;9;ab;14;15;ab;10;8;12;11;16;13;ab
52;1;12;4;3;6;1;2;ab;5;8;ab;14;ab;ab;9;7;11;10;16;13;ab
