;sc;HAM;VET;ROS;WEB;ALO;GLO;KUB;KOV;BAR;NAK;BUT;RAI;BUE;TRU;SUT;ALG;FIS2;GRO;LIU;HEI
0;0;1;3;2;4;6;5;8;9;7;11;10;13;12;17;15;14;16;19;18;20
1;0;1;3;2;4;6;5;8;9;7;11;10;13;12;18;15;14;16;19;17;20
2;0;1;3;2;4;6;5;8;9;7;11;10;13;12;18;15;14;16;20;17;19
3;0;1;3;2;4;6;5;8;9;7;11;10;13;12;18;15;14;16;ab;17;19
4;0;1;3;2;4;6;5;8;9;7;11;10;13;12;18;15;14;16;ab;17;19
5;0;1;3;2;6;5;4;8;9;7;11;10;13;12;18;15;14;16;ab;17;19
6;0;1;3;2;6;5;4;8;9;7;11;10;13;12;18;15;14;16;ab;17;19
7;0;1;3;2;6;5;4;8;9;7;11;10;13;12;18;15;14;16;ab;17;19
8;0;1;3;2;6;5;4;8;9;7;11;10;13;12;18;15;14;16;ab;17;19
9;0;1;3;2;6;5;4;8;9;7;11;10;13;12;18;15;14;16;ab;17;19
10;0;1;3;2;6;5;4;8;9;7;11;10;12;13;18;15;14;16;ab;17;19
11;0;1;3;2;6;5;4;8;9;7;11;10;12;13;18;15;14;16;ab;17;19
12;0;1;3;2;6;5;4;8;9;7;11;10;12;13;18;15;14;16;ab;17;19
13;0;1;3;2;6;5;4;8;9;7;11;10;12;13;18;15;14;16;ab;17;19
14;0;1;3;2;6;5;4;8;9;7;11;10;12;13;18;15;14;16;ab;17;19
15;0;1;3;2;6;5;4;8;9;7;11;10;12;13;18;15;14;16;ab;17;19
16;0;1;3;2;6;5;4;8;9;7;11;10;12;13;18;15;14;16;ab;17;19
17;0;1;6;2;7;4;3;8;9;5;11;10;12;13;16;15;14;18;ab;19;17
18;0;1;5;4;12;3;2;7;8;6;10;9;11;13;16;15;14;18;ab;19;17
19;1;1;4;3;12;2;9;7;5;10;8;6;11;13;15;16;14;17;ab;18;ab
20;1;1;4;3;10;2;7;11;5;9;8;6;12;13;15;18;14;16;ab;17;ab
21;1;1;3;2;9;5;4;10;7;6;11;8;12;13;14;18;17;15;ab;16;ab
22;1;1;3;2;9;5;4;10;7;6;11;8;12;13;14;18;17;15;ab;16;ab
23;1;1;3;2;9;5;4;10;7;6;11;8;12;13;14;ab;17;15;ab;16;ab
24;1;1;3;2;9;5;4;10;7;6;11;8;12;13;14;ab;17;15;ab;16;ab
25;0;1;3;2;9;5;4;10;7;6;11;8;12;13;14;ab;17;15;ab;16;ab
26;0;1;2;4;9;5;3;10;7;6;11;8;12;13;14;ab;17;15;ab;16;ab
27;0;1;2;14;8;4;3;9;6;5;10;7;11;12;13;ab;17;15;ab;16;ab
28;0;1;2;14;8;4;3;9;6;5;10;7;11;12;13;ab;17;15;ab;16;ab
29;0;1;2;14;8;4;3;9;6;5;10;7;11;12;13;ab;17;15;ab;16;ab
30;0;1;2;14;8;4;3;9;6;5;10;7;11;12;13;ab;17;15;ab;16;ab
31;0;1;2;14;8;4;3;9;6;5;10;7;11;12;13;ab;17;15;ab;16;ab
32;0;1;2;14;8;4;3;9;6;5;10;7;11;12;13;ab;17;15;ab;16;ab
33;0;1;2;14;8;4;3;9;6;5;10;7;11;12;13;ab;17;15;ab;16;ab
34;0;1;2;17;8;4;3;9;6;5;10;7;11;12;13;ab;16;14;ab;15;ab
35;0;1;2;17;8;4;3;9;6;5;10;7;11;12;13;ab;16;14;ab;15;ab
36;0;1;2;17;8;4;3;9;6;5;10;7;11;12;13;ab;16;14;ab;15;ab
37;0;1;2;16;8;4;3;9;6;5;10;7;11;13;12;ab;17;14;ab;15;ab
38;0;1;2;15;8;4;3;9;6;5;10;7;11;17;12;ab;16;13;ab;14;ab
39;0;1;7;15;8;3;2;9;5;4;10;6;11;17;12;ab;16;13;ab;14;ab
40;0;1;7;15;8;3;2;9;5;4;10;6;11;17;12;ab;16;13;ab;14;ab
41;0;1;7;15;8;3;2;10;5;4;9;6;11;17;12;ab;16;13;ab;14;ab
42;0;1;7;15;8;3;2;12;5;4;9;6;10;17;11;ab;16;13;ab;14;ab
43;0;1;9;15;8;3;2;12;5;4;7;6;10;17;11;ab;16;13;ab;14;ab
44;0;1;8;15;14;3;2;11;5;4;7;6;9;17;10;ab;16;12;ab;13;ab
45;0;1;8;13;ab;2;5;11;6;3;7;4;9;16;10;ab;15;12;ab;14;ab
46;0;2;5;12;ab;1;4;10;8;7;11;3;6;16;9;ab;15;13;ab;14;ab
47;0;2;5;12;ab;1;4;10;8;7;11;3;6;ab;9;ab;ab;13;ab;14;ab
48;0;2;5;12;ab;1;4;10;8;7;11;3;6;ab;9;ab;ab;13;ab;14;ab
49;0;2;5;12;ab;1;4;10;8;7;11;3;6;ab;9;ab;ab;13;ab;14;ab
50;0;1;5;12;ab;4;3;9;8;7;11;2;6;ab;10;ab;ab;13;ab;14;ab
51;0;1;4;11;ab;3;2;9;8;6;10;5;7;ab;12;ab;ab;13;ab;14;ab
52;0;1;4;11;ab;3;2;8;7;6;9;5;10;ab;12;ab;ab;13;ab;14;ab
53;0;1;4;11;ab;3;2;8;7;6;9;5;10;ab;12;ab;ab;13;ab;14;ab
54;0;1;4;11;ab;3;2;8;7;6;9;5;10;ab;12;ab;ab;13;ab;14;ab
55;0;1;4;11;ab;3;2;8;7;6;9;5;10;ab;12;ab;ab;13;ab;14;ab
56;0;1;4;11;ab;3;2;8;7;6;9;5;10;ab;12;ab;ab;13;ab;14;ab
57;0;1;4;11;ab;3;2;8;7;6;9;5;10;ab;12;ab;ab;13;ab;14;ab
58;0;1;4;11;ab;3;2;8;7;6;9;5;10;ab;12;ab;ab;13;ab;14;ab
59;0;1;4;11;ab;3;2;8;7;6;9;5;10;ab;12;ab;ab;13;ab;14;ab
60;0;1;4;11;ab;3;2;8;7;6;9;5;10;ab;12;ab;ab;13;ab;14;ab
