;sc;VET;TRU;HAM;HEI;RAI;BAR;ROS;SUT;KUB;BUT;KOV;ALG;BUE;FIS2;NAK;ALO;GRO;LIU;WEB
0;0;1;3;2;4;5;6;8;7;10;11;9;14;18;12;13;16;17;15;19
1;0;1;3;2;4;5;6;7;9;10;11;8;13;18;12;14;15;17;16;19
2;0;1;3;2;4;5;6;7;9;11;10;8;13;18;12;14;15;17;16;19
3;0;1;3;2;4;5;6;7;9;11;10;8;13;17;12;14;15;18;16;19
4;0;1;3;2;4;5;6;7;9;11;10;8;13;17;12;14;15;18;16;19
5;0;1;3;2;4;5;6;7;9;11;10;8;13;17;12;14;15;18;16;19
6;0;1;3;2;4;5;6;7;9;11;10;8;13;17;12;14;15;18;16;19
7;0;1;3;2;4;5;6;7;9;11;10;8;13;17;12;14;15;18;16;19
8;0;1;3;2;4;5;6;7;9;11;10;8;13;17;12;14;15;18;16;19
9;0;1;3;2;4;5;6;7;9;11;10;8;13;17;12;14;15;18;16;19
10;0;1;3;2;4;5;6;7;9;11;10;8;13;18;12;14;15;17;16;19
11;0;1;3;2;4;5;6;7;9;11;10;8;13;ab;12;14;15;17;16;18
12;0;1;3;2;4;5;6;7;12;10;8;9;13;ab;11;14;16;17;15;18
13;0;1;3;2;4;5;6;7;12;10;8;9;13;ab;11;14;16;17;15;18
14;0;1;3;2;4;5;6;7;12;10;8;9;13;ab;11;14;16;17;15;18
15;0;1;2;7;3;4;5;6;17;10;8;9;12;ab;11;13;15;16;14;18
16;0;1;7;6;2;3;4;5;17;10;8;9;12;ab;11;13;15;16;14;18
17;0;1;7;6;2;3;4;5;17;9;14;8;10;ab;16;11;13;15;12;18
18;0;1;4;3;5;8;9;2;17;7;14;6;10;ab;16;11;13;15;12;18
19;0;1;4;3;5;8;9;2;17;7;14;6;10;ab;16;11;13;15;12;18
20;0;1;4;3;5;8;9;2;17;7;14;6;10;ab;16;11;13;15;12;18
21;0;1;4;3;5;8;9;2;17;7;14;6;12;ab;16;10;13;15;11;18
22;0;1;3;2;4;7;8;9;16;6;13;5;17;ab;15;10;12;14;11;18
23;0;1;3;2;4;7;8;9;16;5;13;6;17;ab;15;10;12;14;11;18
24;0;1;3;2;4;6;7;8;16;5;12;13;17;ab;15;9;10;14;11;18
25;0;1;3;2;4;6;7;8;15;5;11;12;16;ab;13;9;10;14;17;18
26;0;1;3;2;4;5;6;7;15;11;10;12;16;ab;13;9;8;14;17;18
27;0;1;3;2;4;5;6;7;13;10;9;11;15;ab;12;16;8;14;17;18
28;0;1;3;2;4;5;6;7;13;10;9;11;14;ab;12;16;8;15;17;18
29;0;1;3;2;4;5;6;7;13;10;8;11;14;ab;12;15;9;17;16;18
30;0;1;3;2;4;5;6;7;12;9;8;10;13;ab;11;15;14;17;16;18
31;0;1;3;2;4;5;6;7;12;9;8;10;13;ab;11;16;14;17;15;18
32;0;1;3;2;4;5;6;7;12;9;8;10;13;ab;11;16;14;17;15;18
33;0;1;3;2;4;5;6;7;12;9;8;10;13;ab;11;16;14;17;15;18
34;0;1;3;2;4;5;6;7;12;9;8;10;13;ab;11;16;14;17;15;18
35;0;1;3;2;4;8;5;6;12;9;7;10;13;ab;11;16;14;17;15;18
36;0;1;3;2;8;7;4;5;12;9;6;10;13;ab;11;16;14;17;15;18
37;0;1;2;3;8;7;4;5;12;9;6;10;13;ab;11;16;14;17;15;18
38;0;1;2;3;9;7;4;5;12;8;6;10;13;ab;11;16;14;17;15;18
39;0;1;2;3;9;7;4;5;15;8;6;13;10;ab;14;16;11;17;12;18
40;0;1;2;3;8;6;4;5;15;7;9;13;10;ab;14;16;11;17;12;18
41;0;1;2;3;7;6;4;5;15;10;8;13;9;ab;14;16;11;17;12;18
42;0;1;2;3;6;5;7;4;15;10;8;13;9;ab;14;16;11;17;12;18
43;0;1;2;3;6;5;7;4;13;9;8;11;ab;ab;12;14;10;16;15;17
44;1;1;2;3;6;5;7;4;13;9;8;11;ab;ab;12;14;10;16;15;17
45;1;1;2;3;6;4;7;5;13;9;8;11;ab;ab;12;14;10;16;15;17
46;1;1;2;3;6;4;7;5;13;9;8;11;ab;ab;12;14;10;16;15;17
47;1;1;2;3;6;4;7;5;13;9;8;11;ab;ab;12;14;10;16;15;17
48;1;1;2;3;6;4;7;5;13;9;8;11;ab;ab;12;14;10;16;15;17
49;0;1;2;3;6;4;7;5;13;9;8;11;ab;ab;12;15;10;16;14;17
50;0;1;2;3;6;4;7;5;13;9;8;11;ab;ab;12;15;10;16;14;17
51;0;1;2;3;6;4;7;5;13;9;8;11;ab;ab;12;15;10;16;14;17
52;0;1;2;3;6;4;7;5;13;9;8;11;ab;ab;12;15;10;ab;14;17
