;sc;HAM;VET;WEB;BAR;BUT;TRU;KUB;HEI;ROS;BUE;RAI;KOB;NAK;ALG;ALO;LIU;SUT;KOV;GRO;FIS2
0;0;1;2;3;5;4;7;6;8;9;10;12;11;14;19;18;15;20;13;17;16
1;0;1;2;3;5;4;7;6;8;9;10;12;11;14;19;18;15;20;13;17;16
2;0;1;2;3;5;4;7;6;8;9;10;12;11;14;19;18;15;20;13;17;16
3;0;1;2;3;5;4;7;6;8;9;10;12;11;14;19;17;15;20;13;18;16
4;0;1;2;3;5;4;7;6;8;9;10;12;11;14;19;17;15;20;13;18;16
5;0;1;2;3;5;4;7;6;8;9;10;12;11;14;19;17;15;20;13;18;16
6;0;1;2;3;5;4;7;6;8;9;10;12;11;14;19;17;15;20;13;18;16
7;0;1;2;3;5;4;7;6;8;9;10;12;11;14;19;17;15;20;13;18;16
8;0;1;2;3;5;4;7;6;8;9;10;12;11;14;19;17;15;20;13;18;16
9;0;1;2;3;5;4;7;6;8;9;10;12;11;14;19;17;15;20;13;18;16
10;0;1;2;3;5;4;7;6;8;9;10;12;11;14;19;17;15;20;13;18;16
11;0;1;2;3;5;4;7;6;8;9;10;12;11;14;19;17;15;20;13;18;16
12;0;1;2;3;5;4;7;6;8;9;10;12;11;14;19;17;15;20;13;18;16
13;0;1;2;3;5;4;7;6;8;9;10;12;11;14;19;17;15;20;13;18;16
14;0;1;2;3;5;4;7;6;8;9;10;12;11;14;19;17;15;20;13;18;16
15;0;1;2;3;5;4;7;6;8;9;10;12;11;14;19;17;15;20;13;18;16
16;0;2;1;3;10;4;5;13;6;7;8;11;9;14;19;17;15;20;12;18;16
17;0;7;1;2;10;9;4;13;3;5;6;11;8;14;20;17;15;19;12;18;16
18;0;3;1;4;7;6;10;11;2;12;14;8;5;13;ab;17;15;19;9;18;16
19;0;3;1;2;6;5;10;11;9;12;14;7;4;13;ab;17;15;19;8;18;16
20;0;ab;1;2;5;4;9;10;8;11;13;6;3;12;ab;16;14;18;7;17;15
21;0;ab;1;2;5;4;9;10;8;11;13;6;3;12;ab;16;14;18;7;17;15
22;0;ab;1;2;5;4;9;10;8;11;13;6;3;12;ab;16;14;18;7;17;15
23;0;ab;1;2;5;4;9;10;8;11;13;6;3;12;ab;16;14;18;7;17;15
24;0;ab;1;2;5;4;9;10;8;11;13;6;3;12;ab;16;14;18;7;17;15
25;0;ab;1;2;5;4;9;10;8;11;13;6;3;12;ab;16;14;18;7;17;15
26;0;ab;1;2;5;4;9;10;8;11;13;6;3;12;ab;16;14;18;7;17;15
27;0;ab;1;2;5;4;9;10;8;11;13;6;3;12;ab;16;14;18;7;17;15
28;0;ab;1;2;5;4;9;10;8;11;13;7;3;12;ab;15;14;18;6;16;17
29;0;ab;1;2;5;4;8;9;7;10;12;15;3;11;ab;14;13;18;6;16;17
30;0;ab;1;2;4;3;7;8;6;9;11;15;12;10;ab;13;14;18;5;16;17
31;0;ab;1;2;4;3;6;7;5;8;9;14;11;10;ab;12;15;16;13;17;18
32;0;ab;1;2;4;3;6;7;5;8;9;13;10;14;ab;11;15;16;12;17;18
33;0;ab;1;2;4;3;6;7;5;8;9;13;10;14;ab;11;15;16;12;17;18
34;0;ab;1;2;4;3;6;7;5;8;9;12;10;13;ab;14;15;16;11;17;18
35;0;ab;1;2;4;3;6;7;5;8;9;12;10;13;ab;14;15;16;11;17;18
36;0;ab;1;2;4;3;6;7;5;8;9;12;10;13;ab;14;16;15;11;17;18
37;0;ab;1;2;4;3;6;7;5;9;8;12;10;13;ab;14;16;15;11;17;18
38;0;ab;1;2;4;3;6;7;5;10;8;12;9;13;ab;14;16;15;11;17;18
39;0;ab;1;2;4;3;6;9;5;10;7;12;8;13;ab;14;16;15;11;17;18
40;0;ab;1;6;3;2;5;9;4;10;7;12;8;13;ab;14;16;15;11;17;18
41;0;ab;1;4;5;2;3;10;6;9;8;12;7;13;ab;14;15;18;11;16;17
42;0;ab;1;2;4;3;7;10;5;9;8;12;6;13;ab;14;15;18;11;16;17
43;0;ab;1;2;4;3;7;10;5;9;8;12;6;13;ab;14;15;18;11;16;17
44;0;ab;1;2;4;3;7;10;5;9;8;12;6;13;ab;14;15;18;11;16;17
45;0;ab;1;2;4;3;7;10;5;9;8;12;6;13;ab;14;15;18;11;16;17
46;0;ab;1;2;4;3;7;10;5;9;8;12;6;13;ab;14;15;18;11;16;17
47;0;ab;1;2;4;3;7;10;5;9;8;12;6;13;ab;14;15;18;11;16;17
48;0;ab;1;2;4;3;7;10;5;9;8;12;6;13;ab;14;15;18;11;16;17
49;0;ab;1;2;4;3;7;10;5;9;8;12;6;13;ab;14;15;18;11;16;17
50;0;ab;1;2;4;3;7;10;5;9;8;12;6;13;ab;14;15;18;11;16;17
51;0;ab;1;2;4;3;7;10;5;9;8;12;6;13;ab;14;15;18;11;16;17
52;0;ab;1;2;4;3;7;10;5;9;8;12;6;13;ab;14;15;18;11;17;16
53;0;ab;1;2;4;3;7;10;5;9;8;12;6;13;ab;14;15;17;11;18;16
54;0;ab;1;2;4;3;7;10;5;9;8;12;6;13;ab;14;15;17;11;ab;ab
