;sc;BUT;TRU;GLO;ROS;WEB;KUB;RAI;BAR;ALO;HEI;NAK;HAM;VET;KOV;BOU;MAS;PIQ;FIS;SUT;BUE
0;0;3;2;8;1;7;19;6;5;4;9;14;10;11;ab;15;12;13;16;17;18
1;0;3;2;8;1;7;ab;6;5;4;9;14;10;11;ab;15;12;13;16;17;18
2;0;3;2;8;1;7;ab;6;5;4;9;14;10;11;ab;15;12;13;16;17;18
3;0;3;2;8;1;7;ab;6;4;5;9;14;11;10;ab;15;12;13;16;17;18
4;0;3;2;8;1;7;ab;6;4;5;9;14;11;10;ab;15;12;13;17;16;18
5;0;3;2;8;1;7;ab;6;4;5;9;14;11;10;ab;15;12;13;17;16;18
6;0;3;2;8;1;7;ab;6;4;5;9;14;11;10;ab;15;12;13;17;16;18
7;0;3;2;8;1;7;ab;6;4;5;9;14;11;10;ab;15;12;13;17;16;18
8;0;3;2;8;1;7;ab;6;4;5;11;14;10;9;ab;15;12;13;17;16;18
9;0;3;2;8;1;7;ab;6;4;5;11;14;10;9;ab;15;12;13;17;16;18
10;0;3;2;8;1;7;ab;5;4;6;11;14;10;9;ab;15;12;13;17;16;18
11;0;3;2;8;1;6;ab;5;4;7;11;14;10;9;ab;15;12;13;17;16;18
12;0;3;2;8;1;6;ab;5;4;7;11;14;9;10;ab;15;12;13;17;16;18
13;0;3;2;8;1;6;ab;5;4;7;10;13;9;17;ab;14;11;12;16;15;18
14;0;3;2;9;1;6;ab;5;4;7;10;13;8;17;ab;14;11;12;15;16;18
15;0;2;1;15;4;6;ab;5;3;7;9;12;8;16;ab;13;10;11;14;17;18
16;0;1;2;15;4;14;ab;5;3;6;8;11;7;16;ab;12;9;10;13;17;18
17;0;1;4;15;3;13;ab;5;2;6;8;11;7;16;ab;12;9;10;14;17;18
18;0;1;4;13;3;12;ab;15;2;5;7;10;6;14;ab;11;8;9;17;18;16
19;0;2;4;12;3;11;ab;14;1;5;7;10;6;13;ab;16;8;9;17;18;15
20;0;1;3;12;2;10;ab;15;4;5;7;11;6;13;ab;16;8;9;17;18;14
21;0;1;3;11;2;9;ab;14;4;10;6;13;5;12;ab;15;8;7;17;18;16
22;0;1;3;10;2;6;ab;14;4;13;5;11;7;12;ab;15;8;9;17;18;16
23;0;1;3;9;2;6;ab;14;4;13;5;11;7;12;ab;15;8;10;17;18;16
24;0;1;3;8;2;5;ab;14;4;13;6;12;7;11;ab;15;9;10;17;18;16
25;0;1;3;6;2;5;ab;14;4;12;7;13;8;11;ab;15;9;10;17;18;16
26;0;1;3;5;6;4;ab;14;2;11;7;12;9;13;ab;16;8;10;17;18;15
27;0;1;6;2;8;3;ab;14;5;12;4;13;10;11;ab;16;7;9;17;18;15
28;0;1;8;2;6;3;ab;13;7;14;4;16;9;10;ab;15;5;11;17;18;12
29;0;1;6;2;7;4;ab;16;5;12;3;14;9;8;ab;13;10;15;18;17;11
30;0;1;4;3;8;6;ab;14;5;11;2;12;7;15;ab;10;9;13;18;17;16
