;sc;VET;ALO;WEB;BAR;BUT;TRU;ROS;RAI;HAM;BUE;HEI;KOV;MAS;NAK;BOU;PIQ;KUB;SUT;GLO;FIS
0;1;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;19;17;20;18
1;1;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;19;17;20;18
2;1;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;19;18;20;17
3;1;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;19;18;20;17
4;1;1;2;3;4;5;6;10;7;8;9;11;12;13;14;15;16;18;20;19;17
5;1;1;2;3;4;5;6;20;7;8;9;10;11;12;13;14;15;17;19;18;16
6;1;1;5;2;3;4;6;20;7;8;9;10;11;12;13;14;15;17;19;18;16
7;1;1;20;2;3;4;5;19;6;7;8;9;10;11;12;13;14;16;18;17;15
8;0;1;20;2;3;4;5;19;7;6;8;9;10;11;13;12;14;17;18;16;15
9;0;1;20;2;3;4;5;19;7;6;8;9;11;10;13;12;14;17;18;16;15
10;0;1;20;2;4;3;6;19;7;5;8;12;10;9;14;11;15;17;18;13;16
11;0;1;19;2;4;3;5;20;8;10;6;12;9;7;14;11;16;18;17;13;15
12;0;1;17;2;4;3;6;20;8;9;5;19;10;7;13;11;18;16;15;12;14
13;0;1;17;2;4;3;7;20;8;9;5;19;10;6;13;11;18;16;15;12;14
14;0;1;17;6;3;2;9;20;8;7;4;19;10;5;13;11;18;16;15;12;14
15;0;3;16;6;2;1;11;20;7;8;4;19;9;5;13;10;18;14;17;12;15
16;0;3;13;6;2;1;19;20;7;8;4;18;9;5;12;10;16;17;15;11;14
17;0;3;13;6;2;1;20;17;7;8;4;18;9;5;12;10;15;19;16;11;14
18;1;3;13;6;2;1;ab;16;7;8;5;18;9;4;12;10;15;19;17;11;14
19;1;1;13;4;7;2;ab;16;5;6;10;17;8;3;12;9;15;18;19;11;14
20;1;1;12;3;6;2;ab;14;4;5;9;15;7;ab;11;8;17;16;18;10;13
21;1;1;11;3;6;2;ab;14;4;5;8;15;7;ab;10;12;18;16;17;9;13
22;0;1;10;3;7;2;ab;14;5;4;8;17;6;ab;11;12;18;15;16;9;13
23;0;1;9;3;7;2;ab;16;5;4;8;17;6;ab;10;11;18;14;15;12;13
24;0;1;9;3;7;2;ab;15;5;4;8;16;6;ab;10;11;17;14;13;18;12
25;0;1;9;3;7;2;ab;15;5;4;8;16;6;ab;10;11;17;13;12;18;14
26;0;1;9;3;6;2;ab;16;7;4;8;15;5;ab;10;11;17;13;12;18;14
27;0;1;8;3;6;2;ab;14;15;4;7;13;5;ab;17;9;18;11;10;16;12
28;0;1;8;2;6;3;ab;14;15;4;7;13;5;ab;17;9;18;11;10;16;12
29;0;1;8;2;6;3;ab;14;15;4;7;13;5;ab;16;9;18;10;11;17;12
30;0;1;7;3;6;2;ab;13;14;4;8;12;5;ab;15;17;18;10;9;16;11
31;0;1;7;2;6;3;ab;13;14;4;8;12;5;ab;16;17;18;10;9;15;11
32;0;1;7;2;6;3;ab;12;13;4;8;11;5;ab;17;16;18;10;9;14;15
33;0;1;5;2;4;3;ab;12;13;8;7;11;6;ab;17;15;18;10;9;14;16
34;0;1;5;2;4;3;ab;11;12;7;6;10;9;ab;17;15;18;14;8;13;16
35;0;1;9;2;4;3;ab;11;12;6;5;10;8;ab;16;14;18;17;7;13;15
36;0;1;13;2;4;3;ab;10;11;6;5;9;8;ab;16;14;18;17;7;12;15
37;0;3;13;1;4;2;ab;10;11;6;5;9;8;ab;16;14;18;17;7;12;15
38;0;3;13;1;4;2;ab;10;12;6;5;9;8;ab;16;14;18;17;7;11;15
39;0;2;12;3;4;1;ab;13;11;6;5;9;8;ab;17;14;18;16;7;10;15
40;0;1;11;3;4;2;ab;14;12;6;5;9;8;ab;17;13;18;15;7;10;16
41;0;1;11;3;4;2;ab;14;12;6;5;9;7;ab;17;13;18;15;8;10;16
42;0;1;11;2;3;4;ab;14;12;6;5;9;7;ab;18;13;17;15;8;10;16
43;0;1;11;2;5;3;ab;14;12;6;4;9;7;ab;ab;13;17;15;8;10;16
44;0;1;11;2;5;3;ab;14;12;6;4;9;7;ab;ab;13;17;15;8;10;16
45;0;1;11;2;4;3;ab;15;12;5;10;8;6;ab;ab;13;17;14;7;9;16
46;0;1;11;2;4;3;ab;15;13;6;10;8;5;ab;ab;12;17;14;7;9;16
47;0;1;11;2;4;3;ab;16;13;6;10;8;5;ab;ab;12;17;14;7;9;15
48;0;1;11;2;4;3;ab;16;13;7;10;8;5;ab;ab;12;17;14;6;9;15
49;0;1;11;2;4;3;ab;16;13;7;10;8;5;ab;ab;12;17;14;6;9;15
50;0;1;10;2;4;3;ab;15;12;6;8;9;5;ab;ab;11;16;13;17;7;14
51;0;1;10;2;4;3;ab;15;12;6;8;9;5;ab;ab;11;16;13;17;7;14
52;0;1;10;2;4;3;ab;15;12;6;8;9;5;ab;ab;11;16;13;17;7;14
53;0;1;9;2;4;3;ab;15;12;6;8;10;5;ab;ab;11;16;13;17;7;14
54;0;1;9;2;4;3;ab;15;11;6;8;10;5;ab;ab;12;16;13;17;7;14
55;0;1;9;2;4;3;ab;15;10;6;8;12;5;ab;ab;11;16;13;17;7;14
