;sc;BUT;VET;BAR;MAS;WEB;GLO;TRU;ALO;ROS;KUB;NAK;PIQ;HEI;HAM;BUE;RAI;BOU;KOV;SUT;FIS
0;1;2;4;1;3;5;8;ab;6;7;13;12;14;9;15;ab;10;ab;11;ab;16
1;1;2;4;1;3;5;8;ab;6;7;13;10;14;9;15;ab;11;ab;12;ab;16
2;1;2;4;1;3;5;8;ab;6;7;12;16;13;9;14;ab;10;ab;11;ab;15
3;1;2;4;1;3;5;8;ab;6;7;12;16;13;9;14;ab;10;ab;11;ab;15
4;1;2;4;1;3;5;8;ab;6;7;12;16;13;9;14;ab;10;ab;11;ab;15
5;0;2;4;1;3;5;8;ab;6;7;11;16;13;9;14;ab;10;ab;12;ab;15
6;0;2;4;1;3;5;8;ab;6;7;11;15;13;9;12;ab;10;ab;16;ab;14
7;0;2;4;1;3;5;8;ab;6;7;11;15;13;9;12;ab;10;ab;ab;ab;14
8;0;2;4;1;3;5;8;ab;6;7;11;15;13;9;12;ab;10;ab;ab;ab;14
9;0;2;4;1;3;5;8;ab;6;7;11;15;13;9;12;ab;10;ab;ab;ab;14
10;0;2;4;1;3;5;8;ab;6;7;11;15;13;9;12;ab;10;ab;ab;ab;14
11;0;2;4;1;3;5;8;ab;6;7;11;15;13;9;12;ab;10;ab;ab;ab;14
12;0;2;4;1;3;5;8;ab;6;7;11;15;13;9;12;ab;10;ab;ab;ab;14
13;0;2;4;1;3;5;8;ab;6;7;11;15;13;9;12;ab;10;ab;ab;ab;14
14;0;2;4;1;3;5;8;ab;6;7;11;15;13;9;12;ab;10;ab;ab;ab;14
15;0;2;4;1;3;5;8;ab;6;7;11;15;13;9;12;ab;10;ab;ab;ab;14
16;0;2;4;1;3;5;8;ab;6;7;11;15;13;9;12;ab;10;ab;ab;ab;14
17;0;2;4;1;3;5;14;ab;6;7;9;13;11;8;10;ab;ab;ab;ab;ab;12
18;0;6;3;1;2;4;14;ab;11;5;8;13;10;7;9;ab;ab;ab;ab;ab;12
19;0;5;2;3;1;9;14;ab;11;4;7;13;10;6;8;ab;ab;ab;ab;ab;12
20;0;3;5;1;4;9;14;ab;10;2;7;13;11;6;8;ab;ab;ab;ab;ab;12
21;0;3;5;1;4;9;13;ab;10;2;7;12;14;6;8;ab;ab;ab;ab;ab;11
22;0;3;5;1;4;9;13;ab;10;2;8;12;14;6;7;ab;ab;ab;ab;ab;11
23;0;3;5;1;4;8;12;ab;9;2;13;11;14;6;7;ab;ab;ab;ab;ab;10
24;0;3;5;1;4;8;12;ab;9;2;13;11;14;6;7;ab;ab;ab;ab;ab;10
25;0;2;4;1;3;7;12;ab;8;9;13;11;14;5;6;ab;ab;ab;ab;ab;10
26;0;2;4;1;3;7;12;ab;8;9;13;11;14;5;6;ab;ab;ab;ab;ab;10
27;0;2;4;1;3;7;12;ab;8;9;13;11;14;5;6;ab;ab;ab;ab;ab;10
28;0;2;4;1;3;7;12;ab;8;9;13;11;14;5;6;ab;ab;ab;ab;ab;10
29;0;2;4;1;3;7;12;ab;8;9;13;10;14;5;6;ab;ab;ab;ab;ab;11
30;0;2;4;1;3;6;11;ab;8;9;12;10;13;5;7;ab;ab;ab;ab;ab;14
