;sc;BUT;RAI;BAR;VET;MAS;ROS;KOV;WEB;ALO;NAK;BUE;PIQ;FIS;BOU;SUT;HEI;KUB;TRU;HAM;GLO
0;0;1;3;2;4;5;6;7;8;9;10;12;11;15;13;14;16;17;19;18;20
1;0;1;3;2;4;5;6;7;8;9;10;12;11;15;13;14;16;20;18;17;19
2;0;1;3;2;4;5;6;7;8;9;10;12;11;15;13;14;16;20;18;17;19
3;0;1;3;2;4;5;6;7;8;9;10;12;11;15;13;14;16;20;18;17;19
4;0;1;3;2;4;5;6;7;8;9;10;12;11;15;13;14;16;20;18;17;19
5;0;1;3;2;4;5;6;7;8;9;10;12;11;15;13;14;16;20;18;17;19
6;0;1;3;2;4;6;5;7;8;9;10;12;11;15;13;14;16;20;18;17;19
7;0;1;3;2;4;6;5;7;8;9;10;12;11;14;13;15;16;20;18;17;19
8;0;1;3;2;4;6;5;7;8;9;10;12;11;14;13;15;16;20;18;17;19
9;0;1;3;2;15;5;4;6;7;8;9;11;10;13;12;16;14;19;17;20;18
10;0;1;3;2;13;5;4;6;7;8;9;ab;ab;11;10;17;12;16;14;18;15
11;0;1;3;2;13;5;4;6;7;8;9;ab;ab;11;10;18;12;16;14;17;15
12;0;1;3;2;13;5;4;6;7;8;9;ab;ab;11;10;18;12;16;14;17;15
13;0;1;3;2;13;5;4;6;7;8;9;ab;ab;11;10;18;12;16;14;17;15
14;0;1;7;2;13;4;3;5;6;8;9;ab;ab;11;10;18;12;16;14;17;15
15;0;1;7;6;ab;3;2;4;5;8;9;ab;ab;11;10;17;12;15;13;16;14
16;0;1;7;6;ab;3;2;4;5;8;9;ab;ab;11;10;17;12;15;13;16;14
17;0;1;7;6;ab;2;5;3;4;8;9;ab;ab;11;10;17;12;15;13;16;14
18;0;1;6;5;ab;2;8;3;4;7;9;ab;ab;11;10;17;12;15;13;16;14
19;0;1;6;4;ab;5;8;2;3;7;9;ab;ab;11;10;17;12;15;13;16;14
20;0;1;4;3;ab;6;8;7;2;5;9;ab;ab;11;10;17;12;15;13;16;14
21;0;1;3;2;ab;6;7;8;5;4;9;ab;ab;11;10;17;12;15;13;16;14
22;0;1;3;2;ab;5;7;8;6;4;9;ab;ab;11;10;17;12;15;13;16;14
23;0;1;3;2;ab;5;7;8;6;4;9;ab;ab;11;10;17;12;15;13;16;14
24;0;1;3;2;ab;5;7;8;6;4;9;ab;ab;11;10;17;12;15;13;16;14
25;0;1;3;2;ab;5;7;8;6;4;9;ab;ab;11;10;17;12;15;13;16;14
26;0;1;3;2;ab;5;7;8;6;4;9;ab;ab;11;10;17;12;15;13;16;14
27;0;1;3;2;ab;4;6;7;5;9;8;ab;ab;11;10;17;12;15;13;16;14
28;0;1;3;2;ab;4;6;7;5;11;8;ab;ab;10;9;16;12;ab;13;15;14
29;0;1;3;2;ab;4;6;7;5;11;8;ab;ab;10;9;16;12;ab;13;15;14
30;0;1;3;2;ab;4;6;7;5;11;8;ab;ab;10;9;16;12;ab;13;15;14
31;0;1;3;2;ab;4;6;7;5;11;8;ab;ab;10;9;16;12;ab;13;15;14
32;0;1;3;2;ab;4;6;7;5;11;8;ab;ab;10;9;16;12;ab;13;15;14
33;0;1;3;2;ab;4;6;7;5;11;8;ab;ab;10;9;16;12;ab;13;15;14
34;0;1;3;2;ab;4;6;7;5;10;12;ab;ab;9;8;16;11;ab;13;15;14
35;0;1;3;2;ab;4;6;7;5;10;12;ab;ab;9;8;16;11;ab;13;15;14
36;0;1;3;2;ab;4;6;7;5;10;12;ab;ab;9;8;16;11;ab;13;15;14
37;0;1;3;2;ab;4;6;7;5;10;12;ab;ab;9;8;16;11;ab;13;15;14
38;0;1;3;2;ab;4;6;7;5;10;12;ab;ab;9;8;16;11;ab;13;15;14
39;0;1;3;2;ab;4;6;7;5;10;12;ab;ab;9;8;16;11;ab;13;15;14
40;0;1;3;2;ab;4;6;7;5;10;12;ab;ab;9;8;16;11;ab;13;15;14
41;0;1;3;2;ab;4;6;7;5;10;11;ab;ab;9;8;16;13;ab;12;15;14
42;0;1;3;2;ab;4;6;7;5;10;11;ab;ab;9;8;16;14;ab;12;15;13
43;0;1;3;2;ab;4;6;7;5;10;11;ab;ab;9;8;16;14;ab;12;15;13
44;0;1;3;2;ab;4;6;7;5;10;11;ab;ab;9;8;16;14;ab;12;15;13
45;0;1;3;2;ab;4;6;7;5;10;11;ab;ab;9;8;16;14;ab;12;15;13
46;0;1;3;2;ab;4;6;7;5;10;11;ab;ab;9;8;16;14;ab;12;15;13
47;0;1;3;2;ab;4;6;7;5;10;11;ab;ab;9;8;16;14;ab;12;15;13
48;0;1;3;2;ab;4;6;7;5;10;11;ab;ab;9;8;16;13;ab;15;14;12
49;0;1;2;5;ab;3;6;7;4;9;11;ab;ab;8;10;16;13;ab;15;14;12
50;0;1;2;5;ab;3;6;7;4;9;11;ab;ab;8;10;16;13;ab;15;14;12
51;0;2;1;5;ab;3;6;ab;4;7;10;ab;ab;8;9;15;12;ab;14;13;11
52;0;1;5;4;ab;2;6;ab;3;7;10;ab;ab;9;8;15;12;ab;13;14;11
53;0;1;5;4;ab;2;6;ab;3;7;10;ab;ab;9;8;15;12;ab;13;14;11
54;0;1;5;4;ab;2;6;ab;3;7;10;ab;ab;9;8;15;12;ab;13;14;11
55;0;1;3;2;ab;4;6;ab;5;7;10;ab;ab;9;8;15;12;ab;13;14;11
56;0;1;3;2;ab;4;5;ab;6;7;10;ab;ab;9;8;15;11;ab;12;14;13
57;0;1;3;2;ab;4;5;ab;6;7;10;ab;ab;9;8;15;11;ab;12;14;13
58;0;1;3;2;ab;4;5;ab;6;7;10;ab;ab;9;8;15;11;ab;12;14;13
59;0;1;3;2;ab;4;5;ab;6;7;10;ab;ab;9;8;15;11;ab;12;14;13
60;0;1;3;2;ab;4;5;ab;6;7;10;ab;ab;9;8;15;11;ab;12;14;13
