;sc;VET;BAR;WEB;TRU;NAK;BUT;ROS;GLO;RAI;ALO;MAS;KUB;KOV;PIQ;HEI;FIS;BOU;HAM;BUE;SUT
0;0;1;2;3;7;4;9;6;10;5;12;8;13;19;16;11;14;17;15;18;20
1;0;1;2;3;7;4;8;6;10;5;13;9;15;19;16;12;11;17;14;18;20
2;0;1;2;3;7;4;8;6;10;5;13;9;14;19;16;12;11;17;15;18;20
3;0;1;2;3;7;4;8;6;10;5;13;9;14;19;16;12;11;17;15;18;20
4;0;1;2;3;7;4;8;6;10;5;13;9;14;19;16;12;11;17;15;18;20
5;0;1;2;3;7;4;8;6;10;5;13;9;14;19;16;12;11;17;15;18;20
6;0;1;2;3;7;4;8;6;10;5;13;9;14;19;16;12;11;17;15;18;20
7;0;1;2;3;7;4;8;6;10;5;13;9;14;19;16;12;11;17;15;18;20
8;0;1;2;3;7;4;8;6;10;5;13;9;14;19;16;12;11;17;15;18;20
9;0;1;2;3;7;4;8;6;10;5;13;9;14;19;16;12;11;17;15;18;20
10;0;1;2;3;7;4;8;6;10;5;13;9;14;19;16;12;11;17;15;18;20
11;0;1;2;3;7;4;8;6;10;5;13;9;14;19;16;12;11;17;15;18;20
12;0;1;2;3;7;4;8;6;10;5;13;9;14;19;16;12;11;17;15;18;20
13;0;1;2;3;7;4;8;6;10;5;13;9;14;19;16;12;11;17;15;18;20
14;0;1;2;3;7;6;8;5;10;4;13;9;14;19;16;12;11;17;15;18;20
15;0;1;2;3;5;11;7;4;9;6;13;8;14;19;16;12;10;17;15;18;20
16;0;1;2;3;5;11;6;4;8;10;13;7;14;19;16;12;9;17;15;18;20
17;0;1;2;3;5;11;7;4;8;10;15;6;13;19;16;12;9;17;14;18;20
18;0;1;3;2;8;11;10;7;5;9;20;4;13;18;15;12;6;16;14;17;19
19;0;1;5;2;7;10;9;6;11;8;20;3;13;18;14;12;4;15;16;17;19
20;0;1;5;4;7;10;9;6;11;8;19;2;12;17;14;13;3;15;20;16;18
21;0;1;4;3;6;9;8;5;11;7;18;2;12;16;13;20;10;14;19;15;17
22;0;1;4;3;6;9;8;5;11;7;17;2;12;15;13;19;10;14;18;20;16
23;0;1;3;2;6;9;8;4;11;7;17;5;12;15;13;19;10;14;18;20;16
24;0;1;3;2;6;9;8;4;11;7;17;5;12;15;13;19;10;14;18;20;16
25;0;1;3;2;6;9;8;4;11;7;17;5;12;15;13;19;10;14;18;20;16
26;0;1;3;2;6;9;8;4;11;7;17;5;12;15;13;19;10;14;18;20;16
27;0;1;3;2;6;9;8;4;11;7;16;5;13;14;12;19;10;18;17;20;15
28;0;1;3;2;6;9;8;4;11;7;16;5;14;13;12;19;10;18;17;20;15
29;0;1;3;2;6;9;8;4;11;7;17;5;13;12;15;19;10;18;16;20;14
30;0;1;3;2;6;9;8;4;11;7;16;5;13;12;15;19;10;18;17;20;14
31;0;1;3;2;6;9;8;4;11;7;15;5;13;12;16;19;10;18;17;20;14
32;0;1;3;2;6;9;8;4;11;7;14;5;13;12;16;19;10;18;17;20;15
33;0;1;3;2;6;9;8;4;11;7;13;5;12;20;14;16;10;18;15;17;19
34;0;1;3;2;6;9;8;4;11;7;13;5;12;19;14;16;10;20;15;17;18
35;0;1;3;2;6;9;8;4;11;7;13;5;12;19;14;16;10;20;15;17;18
36;0;1;3;2;6;9;8;4;11;7;13;5;12;ab;14;16;10;19;15;17;18
37;0;1;3;2;6;9;8;4;11;7;13;5;12;ab;14;16;10;ab;15;17;18
38;0;1;3;2;6;9;8;4;11;7;17;5;12;ab;13;15;10;ab;14;16;18
39;0;1;3;2;6;9;8;4;11;7;17;5;12;ab;13;15;10;ab;14;16;18
40;0;1;3;2;6;11;8;4;10;7;16;5;12;ab;13;15;9;ab;14;17;18
41;0;1;3;2;6;11;7;4;10;8;16;5;12;ab;13;15;9;ab;14;18;17
42;0;1;3;2;6;11;7;5;9;10;15;4;12;ab;13;14;8;ab;16;18;17
43;0;1;3;2;5;11;6;9;8;10;15;4;12;ab;13;14;7;ab;16;18;17
44;0;2;3;1;5;11;6;9;7;10;15;4;12;ab;13;14;8;ab;16;18;17
45;0;2;3;1;5;11;4;8;6;9;14;7;12;ab;13;15;10;ab;16;18;17
46;0;2;3;1;8;11;4;7;5;9;14;6;12;ab;13;15;10;ab;16;18;17
47;0;1;4;2;8;11;3;6;7;9;14;5;13;ab;12;15;10;ab;16;18;17
48;0;1;4;2;7;11;3;6;9;8;14;5;13;ab;12;15;10;ab;16;18;17
49;0;1;3;2;7;11;6;5;9;8;14;4;13;ab;12;15;10;ab;16;18;17
50;0;1;3;2;7;11;6;5;9;8;14;4;13;ab;12;15;10;ab;16;18;17
51;0;1;3;2;7;11;6;5;9;8;14;4;13;ab;12;15;10;ab;16;18;17
52;0;1;3;2;7;11;6;5;9;8;14;4;13;ab;12;15;10;ab;16;18;17
53;0;1;3;2;7;11;6;5;9;8;14;4;13;ab;12;15;10;ab;16;18;17
54;0;1;3;2;7;11;6;5;9;8;14;4;13;ab;12;15;10;ab;16;18;17
55;0;1;3;2;7;11;6;5;9;8;14;4;13;ab;12;15;10;ab;16;18;17
56;0;1;3;2;7;11;6;5;9;8;14;4;13;ab;12;15;10;ab;16;18;17
57;0;1;3;2;7;11;6;5;9;8;14;4;13;ab;12;15;10;ab;16;18;17
58;0;1;3;2;7;11;6;5;9;8;14;4;13;ab;12;15;10;ab;16;18;17
59;0;1;3;2;7;11;6;5;9;8;14;4;13;ab;12;15;10;ab;16;18;17
