;sc;WEB;BAR;BUT;VET;HAM;KOV;SUT;MAS;RAI;PIQ;HEI;ALO;NAK;TRU;ROS;KUB;BUE;FIS;BOU;GLO
0;0;2;1;5;6;20;3;8;4;7;15;12;11;19;16;9;10;13;14;17;18
1;0;2;1;4;6;20;3;8;5;7;15;12;11;18;19;9;10;13;14;17;16
2;0;2;1;4;6;20;3;8;5;7;15;12;11;17;19;9;10;13;14;18;16
3;0;2;1;4;6;20;3;8;5;7;15;12;11;17;19;9;10;14;13;18;16
4;0;2;1;4;6;20;3;8;5;7;15;12;11;17;19;9;10;14;13;18;16
5;0;2;1;4;6;20;3;8;5;7;15;12;11;17;19;9;10;14;13;18;16
6;0;2;1;4;6;20;3;8;5;7;15;12;11;17;19;9;10;14;13;18;16
7;0;2;1;4;6;20;3;8;5;7;15;13;11;17;19;9;10;14;12;18;16
8;0;2;1;4;6;20;3;8;5;7;15;13;11;17;19;9;10;14;12;18;16
9;0;2;1;4;6;20;3;8;5;7;15;13;11;17;19;9;10;14;12;18;16
10;0;2;1;4;6;20;3;8;5;7;15;13;11;17;19;9;10;14;12;18;16
11;0;2;1;4;6;20;3;8;5;7;15;13;12;17;19;9;10;14;11;18;16
12;0;2;1;7;5;20;3;8;4;6;15;13;12;17;19;9;10;14;11;18;16
13;0;2;1;14;5;20;3;7;4;6;15;12;11;17;19;8;9;13;10;18;16
14;0;1;3;14;4;20;5;7;2;6;15;12;11;17;19;8;9;13;10;18;16
15;0;1;3;13;4;20;15;6;2;5;14;11;10;16;19;7;8;12;9;18;17
16;0;1;3;12;4;20;15;6;2;5;14;11;10;16;19;7;8;13;9;18;17
17;0;1;3;11;4;20;14;6;2;5;13;10;18;15;17;7;8;12;9;19;16
18;0;1;3;9;4;19;13;6;2;5;12;10;18;14;17;7;8;11;16;ab;15
19;0;8;2;9;3;19;13;5;1;4;12;10;17;14;18;6;7;11;16;ab;15
20;0;8;2;9;5;19;13;4;1;3;11;10;17;14;18;6;7;12;16;ab;15
21;0;7;2;8;11;19;12;4;1;3;10;9;16;13;18;5;6;17;15;ab;14
22;0;6;2;7;11;19;12;4;1;3;10;9;16;13;18;5;8;17;14;ab;15
23;0;6;2;7;10;19;11;3;1;5;9;8;15;12;18;4;16;17;13;ab;14
24;0;5;1;6;9;19;11;2;3;10;8;7;15;12;18;4;16;17;13;ab;14
25;0;4;1;5;8;19;11;2;9;10;7;6;15;12;18;3;16;17;13;ab;14
26;0;4;1;5;6;19;9;3;7;8;17;16;13;10;18;2;14;15;11;ab;12
27;0;3;1;4;5;19;8;11;6;7;17;16;13;9;18;2;14;15;10;ab;12
28;0;2;1;4;5;19;8;17;6;7;16;15;12;9;18;3;13;14;10;ab;11
29;0;2;1;3;4;19;8;17;5;7;16;15;12;9;18;6;13;14;10;ab;11
30;0;2;1;3;4;19;8;17;5;7;16;15;12;11;18;6;13;14;9;ab;10
31;0;1;2;7;3;19;8;17;4;6;15;14;11;16;18;5;12;13;9;ab;10
32;0;1;5;6;2;19;8;17;3;7;15;14;11;16;18;4;12;13;9;ab;10
33;0;1;5;6;2;19;7;17;3;15;14;13;10;16;18;4;11;12;8;ab;9
34;0;1;5;6;2;18;7;16;3;ab;14;12;8;15;17;4;11;13;10;ab;9
35;0;1;5;6;2;18;7;15;3;ab;13;11;8;14;17;4;10;12;16;ab;9
36;0;1;5;6;2;18;7;15;3;ab;13;11;8;14;17;4;10;12;16;ab;9
37;0;1;5;6;2;18;7;14;3;ab;11;10;8;13;17;4;9;12;16;ab;15
38;0;1;5;6;2;18;7;13;3;ab;11;10;8;12;16;4;9;17;15;ab;14
39;0;1;5;6;2;18;8;13;3;ab;11;10;7;12;16;4;9;17;15;ab;14
40;0;1;5;6;2;18;13;12;3;ab;10;8;7;11;16;4;9;17;15;ab;14
41;0;1;5;6;2;18;13;12;3;ab;10;8;7;11;16;4;9;17;15;ab;14
42;0;1;5;6;2;18;13;12;3;ab;10;8;7;11;16;4;9;17;15;ab;14
43;0;2;5;6;1;18;13;12;3;ab;9;8;7;10;16;4;11;17;15;ab;14
44;0;1;4;5;6;18;12;11;2;ab;9;8;7;10;16;3;15;17;14;ab;13
45;0;1;3;4;5;18;12;11;7;ab;9;8;6;10;16;2;15;17;14;ab;13
46;0;1;3;4;5;18;11;15;6;ab;10;7;8;9;16;2;14;17;13;ab;12
47;0;1;2;3;4;18;9;15;5;ab;13;11;7;8;16;6;14;17;12;ab;10
48;0;1;2;3;4;18;9;15;5;ab;13;11;7;8;16;6;14;17;12;ab;10
49;0;1;3;2;4;18;9;15;5;ab;13;11;7;8;17;6;14;16;12;ab;10
50;0;1;6;2;3;18;8;15;4;ab;13;10;7;11;17;5;14;16;12;ab;9
51;0;1;6;5;2;18;8;15;3;ab;13;10;7;11;17;4;14;16;12;ab;9
52;0;1;6;5;2;18;8;15;3;ab;13;10;7;11;17;4;14;16;12;ab;9
53;0;1;6;5;2;18;8;15;3;ab;13;10;7;11;17;4;14;16;12;ab;9
54;0;1;6;5;2;18;8;15;3;ab;13;10;7;11;17;4;14;16;12;ab;9
55;0;1;6;5;2;18;8;15;3;ab;13;10;7;11;16;4;14;17;12;ab;9
56;0;1;6;5;2;18;8;15;3;ab;13;10;7;11;17;4;14;16;12;ab;9
57;0;1;6;5;2;18;8;15;3;ab;13;10;7;11;17;4;14;16;12;ab;9
58;0;1;6;5;2;18;8;15;3;ab;13;10;7;12;17;4;14;16;11;ab;9
59;0;1;6;5;2;18;8;15;3;ab;13;10;7;12;17;4;14;16;11;ab;9
