;sc;VET;MAS;ALO;HAM;ROS;WEB;MSC;BUT;KUB;SUT;BAR;LIU;HUL;DLR;BUE;KOB;PET;ALG;GLO;TRU;KOV;DGR;SEN;CHA
0;0;1;3;2;5;4;7;6;8;21;22;10;9;13;14;17;12;11;15;18;20;16;19;23;24
1;0;1;3;2;5;4;7;6;8;18;21;10;9;13;14;16;12;11;15;19;22;17;20;23;ab
2;0;1;3;2;5;4;7;6;8;16;19;10;9;21;13;15;12;11;14;18;20;17;ab;22;ab
3;0;1;3;2;5;4;7;6;8;16;18;10;9;22;13;15;12;11;14;19;20;17;ab;21;ab
4;0;1;3;2;5;4;7;6;8;16;17;10;9;22;13;15;12;11;14;19;20;18;ab;21;ab
5;0;1;3;2;5;4;7;6;8;16;17;10;9;21;13;15;12;11;14;19;20;18;ab;22;ab
6;0;1;3;2;5;4;7;6;8;16;17;10;9;21;13;15;12;11;14;19;20;18;ab;22;ab
7;0;1;3;2;5;4;7;6;8;16;17;10;9;21;13;15;12;11;14;19;20;18;ab;22;ab
8;0;1;3;2;5;4;7;6;8;16;17;10;9;21;13;15;12;11;14;19;20;18;ab;22;ab
9;0;1;3;2;5;4;7;6;8;16;17;10;9;21;12;15;13;11;14;19;20;18;ab;22;ab
10;0;1;3;2;5;4;7;6;8;16;17;10;9;21;12;15;13;11;14;19;20;18;ab;22;ab
11;0;1;3;2;5;4;7;6;8;16;15;10;9;20;12;14;ab;11;13;18;19;17;ab;21;ab
12;0;1;3;2;5;4;7;6;8;16;15;10;9;19;12;13;ab;11;14;17;20;18;ab;21;ab
13;0;1;3;2;5;4;7;6;8;14;13;10;9;17;11;12;ab;ab;15;18;19;16;ab;20;ab
14;0;1;3;2;5;4;6;7;8;14;12;10;9;17;13;11;ab;ab;15;19;18;16;ab;20;ab
15;0;1;3;2;9;4;5;10;6;13;15;8;7;17;12;11;ab;ab;14;19;18;16;ab;20;ab
