;sc;VET;WEB;ALO;MAS;HAM;ROS;PET;KUB;DLR;HUL;BUT;BAR;SUT;MSC;BUE;LIU;ALG;GLO;KOV;TRU;DGR;SEN;KOB;YAM
0;0;1;3;2;4;6;7;5;8;11;10;15;9;12;13;19;14;18;22;21;17;20;23;16;24
1;0;1;3;2;4;5;7;6;8;11;10;15;9;12;13;18;14;ab;21;20;17;19;22;16;23
2;0;1;3;2;4;5;7;6;8;11;10;15;9;12;13;18;14;ab;21;20;17;19;22;16;23
3;0;1;3;2;4;5;7;6;8;11;10;14;9;12;13;17;16;ab;21;20;18;19;22;15;23
4;0;1;3;2;4;5;7;6;8;11;10;14;9;12;13;17;16;ab;21;20;18;19;22;15;23
5;0;1;3;2;4;5;7;6;8;11;10;14;9;12;13;17;16;ab;21;20;18;19;22;15;23
6;0;1;3;2;4;5;7;6;8;11;10;14;9;12;13;17;16;ab;21;20;18;19;22;15;23
7;0;1;3;2;4;5;7;6;8;11;10;14;9;12;13;17;16;ab;21;20;18;19;22;15;23
8;0;1;3;2;4;5;7;6;8;11;10;14;9;12;13;17;16;ab;21;20;18;19;22;15;23
9;0;1;3;2;4;5;7;6;8;11;10;14;9;12;13;17;16;ab;21;20;18;19;22;15;23
10;0;1;3;2;4;5;7;6;8;11;10;14;9;12;13;17;16;ab;21;20;18;19;22;15;23
11;0;1;3;2;4;5;7;6;8;11;10;14;9;12;13;17;16;ab;21;20;18;19;22;15;23
12;0;1;3;2;4;5;7;6;8;11;10;14;9;12;13;17;16;ab;21;20;18;19;22;15;23
13;0;1;3;2;4;5;7;6;8;11;10;15;9;12;13;16;17;ab;21;20;18;19;22;14;23
14;1;1;2;3;4;5;7;6;8;11;10;16;9;12;13;15;20;ab;21;19;17;18;22;14;23
15;1;2;1;3;5;4;ab;8;21;10;9;11;7;ab;12;13;15;ab;17;16;14;19;18;6;20
16;1;2;1;3;5;4;ab;7;19;9;8;10;6;ab;11;13;15;ab;17;16;14;21;18;12;20
17;0;2;1;3;5;4;ab;7;19;9;8;10;6;ab;12;13;14;ab;17;16;15;21;18;11;20
18;0;2;1;3;5;4;ab;7;19;9;8;10;6;ab;12;13;14;ab;17;16;15;21;18;11;20
19;0;2;1;3;5;4;ab;7;19;9;8;10;6;ab;12;13;14;ab;17;16;15;21;18;11;20
20;0;2;1;3;5;4;ab;7;19;9;8;10;6;ab;12;13;14;ab;17;15;16;21;18;11;20
21;0;2;1;3;5;4;ab;7;19;9;8;10;6;ab;12;13;14;ab;17;15;16;21;18;11;20
22;0;2;1;3;5;4;ab;7;21;9;8;10;6;ab;12;13;14;ab;17;15;16;20;18;11;19
23;0;2;1;3;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;19;17;10;18
24;0;2;1;3;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;19;17;10;18
25;0;2;1;3;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;19;17;10;18
26;0;2;1;3;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;19;17;10;18
27;0;2;1;3;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;19;17;10;18
28;0;2;1;3;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;18;17;10;19
29;0;2;1;3;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;18;17;10;19
30;0;2;1;3;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;18;17;10;19
31;0;3;1;2;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;18;17;10;19
32;0;3;1;2;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;18;17;10;19
33;0;3;1;2;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;18;17;10;19
34;0;3;1;2;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;18;17;10;19
35;0;3;1;2;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;18;17;10;19
36;0;3;1;2;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;18;17;10;19
37;0;3;1;2;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;18;17;10;19
38;0;3;1;2;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;18;17;10;19
39;0;3;1;2;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;18;17;10;19
40;0;3;1;2;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;18;17;10;19
41;0;3;1;2;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;18;17;10;19
42;0;3;1;2;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;18;17;10;19
43;0;3;1;2;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;18;17;10;19
44;0;3;1;2;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;18;17;10;19
45;0;3;1;2;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;18;17;10;19
46;0;3;1;2;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;18;17;10;19
47;0;3;1;2;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;18;17;10;19
48;0;3;1;2;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;18;17;10;19
49;0;3;1;2;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;18;17;10;19
50;0;3;1;2;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;18;17;10;19
51;0;3;1;2;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;18;17;10;19
52;0;3;1;2;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;18;17;10;19
53;0;3;1;2;4;ab;ab;6;ab;8;7;9;5;ab;11;12;13;ab;16;14;15;18;17;10;19
54;0;3;1;2;4;ab;ab;5;ab;8;7;9;6;ab;11;12;13;ab;16;14;15;18;17;10;19
55;0;3;1;2;4;ab;ab;5;ab;7;6;8;11;ab;10;12;13;ab;16;14;15;18;17;9;19
56;0;3;1;2;4;ab;ab;5;ab;7;6;8;11;ab;10;12;13;ab;16;14;15;18;17;9;19
57;0;3;1;2;4;ab;ab;5;ab;7;6;8;11;ab;10;12;13;ab;16;14;15;18;17;9;19
58;0;3;1;2;4;ab;ab;5;ab;7;6;8;11;ab;10;12;13;ab;16;14;15;18;17;9;19
59;0;3;1;2;4;ab;ab;5;ab;7;6;8;11;ab;10;12;13;ab;16;14;15;18;17;9;19
60;0;3;1;2;4;ab;ab;5;ab;7;6;8;11;ab;10;12;13;ab;16;14;15;18;17;9;19
61;0;3;1;2;4;ab;ab;5;ab;7;6;8;11;ab;10;12;13;ab;16;14;15;18;17;9;19
62;0;3;1;2;4;ab;ab;5;ab;7;6;8;11;ab;10;12;13;ab;16;14;15;18;17;9;19
63;0;3;1;2;4;ab;ab;5;ab;7;6;8;11;ab;10;12;13;ab;16;14;15;18;17;9;19
64;0;3;1;2;4;ab;ab;5;ab;7;6;8;10;ab;11;12;13;ab;16;14;15;18;17;9;19
65;0;3;1;2;4;ab;ab;5;ab;7;6;8;10;ab;11;12;13;ab;16;14;15;18;17;9;19
66;0;3;1;2;4;ab;ab;5;ab;7;6;8;10;ab;11;12;13;ab;16;14;15;18;17;9;ab
67;0;3;1;2;4;ab;ab;5;ab;7;6;8;10;ab;11;12;13;ab;16;14;15;18;17;9;ab
68;0;3;1;2;4;ab;ab;5;ab;7;6;8;10;ab;11;12;13;ab;16;14;15;18;17;9;ab
69;0;3;1;2;4;ab;ab;5;ab;7;6;8;10;ab;11;12;13;ab;16;14;15;18;17;9;ab
