;sc;WEB;HAM;KUB;VET;BUT;MAS;BAR;SUT;HUL;ALO;ALG;LIU;KOV;ROS;TRU;BUE;KOB;SEN;YAM;GLO;MSC;DGR;PET;DLR
0;0;6;1;2;3;5;4;ab;8;7;22;10;11;19;9;16;23;12;20;13;21;14;17;15;18
1;1;5;1;3;4;2;6;ab;8;7;20;14;9;21;10;15;23;12;18;17;22;13;16;11;19
2;1;5;1;3;4;2;6;ab;8;7;17;16;9;21;10;13;23;18;22;15;20;12;14;11;19
3;0;5;1;4;3;2;6;ab;7;8;19;18;9;22;10;13;21;15;23;16;17;12;14;11;20
4;0;5;1;4;3;2;6;ab;7;8;20;21;9;22;10;13;19;14;23;16;17;12;15;11;18
5;0;5;1;4;3;2;6;ab;7;8;19;21;9;22;10;14;20;13;ab;17;18;12;15;11;16
6;0;5;1;4;3;2;6;ab;7;8;17;21;9;22;10;14;20;13;ab;18;19;12;15;11;16
7;0;5;1;4;3;2;6;ab;7;8;16;18;9;22;10;14;20;13;ab;19;21;12;17;11;15
8;0;5;1;4;3;2;6;ab;7;8;14;18;9;22;10;16;19;13;ab;20;21;12;17;11;15
9;0;5;1;4;3;2;6;ab;7;8;14;16;13;22;9;17;19;12;ab;21;20;11;18;10;15
10;0;5;1;4;3;2;6;ab;7;8;14;16;13;22;11;17;18;12;ab;21;20;10;19;9;15
11;0;5;1;4;3;2;6;ab;7;8;14;16;13;22;11;18;17;12;ab;21;20;10;19;9;15
12;0;5;1;4;3;2;6;ab;7;8;14;16;13;21;11;18;17;12;ab;22;20;10;19;9;15
13;0;5;1;4;3;2;6;ab;7;8;14;16;13;21;11;18;17;12;ab;22;20;10;19;9;15
14;0;5;1;4;3;2;6;ab;7;8;13;16;14;21;11;18;17;12;ab;22;20;10;19;9;15
15;0;3;1;2;6;ab;4;ab;5;7;12;15;13;20;9;17;16;11;ab;21;19;8;18;10;14
16;0;3;1;2;12;ab;4;ab;5;15;9;14;11;20;7;17;16;8;ab;21;19;6;18;10;13
17;0;3;1;2;12;ab;4;ab;5;15;9;14;11;20;7;17;16;8;ab;21;19;6;18;10;13
18;0;3;1;2;12;ab;4;ab;5;15;9;14;11;20;7;17;16;8;ab;21;19;6;18;10;13
19;0;3;1;2;13;ab;4;ab;5;15;9;14;11;20;7;17;16;8;ab;21;19;6;18;10;12
20;0;3;1;2;14;ab;4;ab;5;15;9;13;11;20;7;17;16;8;ab;21;19;6;18;10;12
21;0;4;1;2;14;ab;3;ab;8;15;9;13;11;20;6;17;16;7;ab;21;19;5;18;10;12
22;0;4;1;2;14;ab;3;ab;7;15;9;13;11;20;6;17;16;8;ab;21;19;5;18;10;12
23;0;3;1;2;13;ab;4;ab;6;15;9;14;11;20;7;17;16;8;ab;21;19;5;18;10;12
24;0;3;1;2;11;ab;4;ab;5;15;9;12;14;20;7;17;16;8;ab;21;19;6;18;10;13
25;0;3;1;2;19;ab;4;ab;5;13;9;11;14;20;7;16;15;8;ab;21;18;6;17;10;12
26;0;3;1;2;20;ab;4;ab;5;13;9;11;14;19;7;16;15;8;ab;21;18;6;17;10;12
27;0;3;1;2;20;ab;4;ab;5;13;9;11;14;19;7;16;15;8;ab;21;18;6;17;10;12
28;0;3;1;2;20;ab;4;ab;5;13;9;11;14;19;7;16;15;8;ab;21;18;6;17;10;12
29;0;3;1;2;19;ab;4;ab;5;13;9;11;14;20;7;16;15;8;ab;21;18;6;17;10;12
30;0;3;1;2;19;ab;4;ab;5;13;9;11;14;20;7;16;15;8;ab;21;18;6;17;10;12
31;0;3;1;2;18;ab;4;ab;5;13;9;11;14;20;7;16;15;8;ab;21;19;6;17;10;12
32;0;3;1;2;17;ab;4;ab;5;13;9;11;14;20;7;16;15;8;ab;21;19;6;18;10;12
33;0;3;1;2;16;ab;4;ab;5;12;8;11;14;20;9;17;15;7;ab;21;18;6;19;10;13
34;0;3;1;2;16;ab;4;ab;5;13;8;11;14;20;9;17;15;7;ab;21;19;6;18;10;12
35;0;2;1;3;17;ab;4;ab;5;13;8;11;14;20;9;16;15;7;ab;21;19;6;18;10;12
36;0;2;1;3;17;ab;4;ab;5;15;8;11;13;19;9;16;14;7;ab;21;20;6;18;10;12
37;1;2;1;3;16;ab;4;ab;5;14;ab;10;12;18;8;15;13;7;ab;20;19;6;17;9;11
38;1;2;1;3;16;ab;4;ab;5;14;ab;10;12;18;8;15;13;7;ab;20;19;6;17;9;11
39;1;2;1;3;15;ab;4;ab;5;14;ab;10;12;16;8;19;13;7;ab;20;18;6;17;9;11
40;0;2;1;3;15;ab;4;ab;5;14;ab;11;12;16;6;19;13;8;ab;20;18;7;17;9;10
41;0;2;1;3;15;ab;4;ab;5;14;ab;10;11;16;6;19;13;8;ab;20;18;7;17;9;12
42;0;2;1;3;15;ab;4;ab;5;14;ab;10;11;16;6;19;13;8;ab;ab;18;7;17;9;12
43;0;2;1;3;15;ab;4;ab;5;14;ab;10;11;16;6;19;13;8;ab;ab;18;7;17;9;12
