;sc;ALO;BUT;MAS;WEB;HAM;VET;ROS;HUL;KUB;BAR;SUT;MSC;KOB;BUE;ALG;DLR;TRU;KOV;LIU;PET;DGR;SEN;YAM;GLO
0;0;2;1;3;9;ab;7;4;6;5;11;22;8;ab;10;13;12;16;19;14;15;18;21;20;17
1;0;2;1;3;9;ab;7;4;6;5;11;22;8;ab;10;13;12;16;19;14;15;18;21;20;17
2;0;2;1;3;9;ab;7;4;6;5;11;22;8;ab;10;14;12;16;19;13;15;18;21;20;17
3;0;2;1;3;9;ab;7;4;6;5;11;22;8;ab;10;14;12;16;19;13;15;18;21;20;17
4;0;2;1;3;9;ab;7;4;6;5;11;22;8;ab;10;14;12;16;18;13;15;19;21;20;17
5;0;2;1;3;8;ab;7;4;6;5;11;22;9;ab;10;14;12;16;18;13;15;19;21;20;17
6;0;2;1;3;8;ab;7;4;6;5;11;22;9;ab;10;14;12;16;18;13;15;19;21;20;17
7;0;2;1;3;8;ab;7;4;6;5;11;22;9;ab;10;14;12;16;18;13;15;19;21;20;17
8;0;2;1;3;8;ab;7;4;6;5;11;22;9;ab;10;14;12;16;18;13;15;19;21;20;17
9;0;2;1;3;8;ab;7;4;6;5;11;22;9;ab;10;14;13;16;18;12;15;19;21;20;17
10;0;2;1;3;8;ab;7;4;6;5;11;20;9;ab;10;14;13;16;18;12;15;19;22;21;17
11;0;2;1;3;8;ab;7;4;6;5;11;20;9;ab;10;14;13;16;18;12;15;19;ab;21;17
12;0;2;1;3;8;ab;7;4;6;5;11;19;9;ab;10;14;13;16;18;12;15;20;ab;21;17
13;0;2;1;3;8;ab;7;4;6;5;11;19;9;ab;10;14;13;16;18;12;15;20;ab;21;17
14;0;2;1;3;8;ab;7;4;6;5;11;19;9;ab;10;14;13;16;18;12;15;20;ab;21;17
15;0;2;1;3;8;ab;7;4;6;5;11;17;9;ab;10;15;13;16;19;12;14;20;ab;21;18
16;0;2;1;3;8;ab;7;4;6;5;11;17;9;ab;10;16;13;15;19;12;14;20;ab;21;18
17;0;2;1;3;8;ab;7;4;6;5;11;17;9;ab;10;16;14;15;19;12;13;20;ab;21;18
18;0;2;1;3;8;ab;7;4;6;5;11;17;9;ab;10;15;14;16;19;12;13;20;ab;21;18
19;0;2;1;3;7;ab;8;4;6;5;11;16;9;ab;10;15;14;17;19;12;13;20;ab;21;18
20;0;2;1;3;7;ab;8;4;6;5;11;15;9;ab;10;16;14;17;19;12;13;20;ab;21;18
21;0;2;1;3;7;ab;8;4;6;5;11;15;9;ab;10;19;14;16;18;12;13;20;ab;21;17
22;0;2;1;3;7;ab;8;4;6;5;11;15;9;ab;10;17;14;16;19;12;13;20;ab;21;18
23;0;2;1;3;7;ab;8;4;6;5;11;15;9;ab;10;17;14;16;20;12;13;19;ab;21;18
24;0;2;1;3;7;ab;8;4;6;5;11;15;9;ab;10;17;14;16;20;12;13;18;ab;21;19
25;0;2;1;3;7;ab;8;4;6;5;11;15;9;ab;10;16;14;17;19;12;13;20;ab;21;18
26;0;2;1;3;7;ab;8;4;6;5;11;15;9;ab;10;16;14;17;19;12;13;20;ab;21;18
27;0;2;1;3;7;ab;8;4;6;5;11;15;9;ab;10;16;14;17;19;12;13;20;ab;21;18
28;0;2;1;3;7;ab;8;4;6;5;11;15;9;ab;10;16;14;17;19;12;13;20;ab;21;18
29;0;2;1;3;7;ab;8;4;6;5;11;15;9;ab;10;16;14;17;19;12;13;20;ab;21;18
30;0;2;1;3;7;ab;8;4;6;5;11;15;9;ab;10;16;14;17;19;12;13;20;ab;21;18
