;sc;ALO;VET;HAM;BUT;WEB;BAR;ROS;KUB;MSC;KOB;ALG;PET;BUE;HEI;SUT;LIU;HUL;GLO;KOV;DGR;TRU;KLI;SEN;MAS
0;0;1;2;3;4;5;8;6;7;9;11;21;10;12;24;14;15;13;18;16;20;17;19;22;23
1;0;1;2;3;4;5;8;6;7;9;11;19;10;12;23;14;ab;13;16;15;20;17;18;21;22
2;1;1;2;3;4;9;7;5;6;8;10;18;12;13;23;15;ab;14;11;16;20;17;19;21;22
3;1;1;2;3;4;11;7;5;6;8;9;19;12;16;23;14;ab;13;10;17;20;18;21;22;15
4;1;1;2;3;4;11;7;5;6;8;9;19;12;16;23;14;ab;13;10;17;20;18;21;22;15
5;0;1;2;3;4;10;7;5;6;8;9;17;12;16;22;14;ab;13;11;18;19;23;20;21;15
6;0;1;2;3;4;9;7;5;6;8;10;17;15;16;22;12;ab;13;11;18;19;23;20;21;14
7;0;1;2;3;4;9;7;5;6;8;10;17;15;16;21;12;ab;13;11;18;19;23;20;22;14
8;0;1;2;3;4;9;7;5;6;8;10;17;15;16;20;12;ab;13;11;18;19;23;21;22;14
9;0;1;2;3;4;9;7;5;6;8;10;17;15;16;20;12;ab;13;11;18;19;23;21;22;14
10;0;1;2;3;4;8;7;5;6;9;10;17;15;16;20;12;ab;13;11;18;19;23;21;22;14
11;0;1;2;3;4;8;7;5;6;9;10;17;15;16;20;12;ab;13;11;18;19;23;21;22;14
12;0;1;2;3;4;8;7;5;6;9;10;17;15;16;20;12;ab;13;11;18;19;23;21;22;14
13;0;1;2;3;4;8;7;5;6;9;10;17;15;16;19;12;ab;13;11;18;20;23;21;22;14
14;0;1;2;3;4;8;7;5;6;9;10;17;15;16;19;11;ab;13;12;18;20;23;21;22;14
15;0;1;2;3;4;8;7;5;6;9;10;16;14;15;19;11;ab;12;17;18;20;23;21;22;13
16;0;1;2;3;4;8;7;5;6;9;10;16;14;15;19;11;ab;12;17;18;20;23;21;22;13
17;0;1;2;3;4;8;7;5;6;9;10;16;14;15;18;11;ab;12;17;19;20;23;21;22;13
18;0;1;2;3;4;8;7;5;6;9;10;16;14;15;18;11;ab;12;17;19;20;23;21;22;13
19;0;1;2;3;4;8;7;5;6;9;10;16;14;15;18;11;ab;12;17;19;20;23;21;22;13
20;0;1;2;3;4;8;7;5;6;9;10;16;14;15;18;11;ab;12;17;19;20;23;21;22;13
21;0;1;2;3;4;8;7;5;6;9;10;16;14;15;18;11;ab;12;17;19;20;23;21;22;13
22;0;1;2;3;4;8;7;5;6;9;10;16;14;15;18;11;ab;12;17;19;20;23;21;22;13
23;0;1;2;3;4;8;7;5;6;9;10;16;14;15;18;11;ab;12;17;19;20;23;21;22;13
24;0;1;2;3;4;8;7;5;6;9;10;16;14;15;18;11;ab;12;17;19;20;23;21;22;13
25;0;1;2;3;4;8;7;5;6;9;10;16;14;15;18;11;ab;12;17;19;20;23;21;22;13
26;0;1;2;3;4;8;7;5;6;9;10;16;14;15;18;11;ab;12;17;19;20;23;21;22;13
27;0;1;2;4;3;8;7;5;6;9;10;16;14;15;17;11;ab;12;18;19;20;ab;21;22;13
28;0;1;2;8;5;7;6;3;4;9;10;16;14;15;17;11;ab;12;18;19;20;ab;21;22;13
29;0;1;2;7;8;6;5;4;3;15;9;16;13;14;17;10;ab;11;18;19;20;ab;21;ab;12
30;0;1;2;6;7;5;4;8;3;16;ab;14;12;13;15;9;ab;10;17;18;19;ab;20;ab;11
31;1;1;2;6;7;3;5;8;4;16;ab;13;12;14;15;9;ab;10;19;17;18;ab;ab;ab;11
32;1;1;2;4;5;3;8;6;7;15;ab;13;12;16;14;9;ab;10;19;17;18;ab;ab;ab;11
33;1;1;2;4;5;3;8;6;7;15;ab;13;12;16;14;9;ab;10;19;17;18;ab;ab;ab;11
34;1;1;2;4;5;3;8;6;7;15;ab;13;12;16;14;9;ab;10;18;17;19;ab;ab;ab;11
35;0;1;2;ab;4;3;7;5;6;14;ab;12;11;15;13;8;ab;9;17;16;18;ab;ab;ab;10
36;0;1;2;ab;4;3;7;5;6;15;ab;12;11;13;ab;8;ab;9;16;14;17;ab;ab;ab;10
37;0;1;2;ab;4;3;7;5;6;15;ab;12;11;13;ab;8;ab;9;16;14;17;ab;ab;ab;10
38;0;1;2;ab;4;3;7;5;6;15;ab;12;11;13;ab;8;ab;9;16;14;17;ab;ab;ab;10
39;0;1;2;ab;4;3;7;5;6;15;ab;12;11;13;ab;8;ab;9;16;14;17;ab;ab;ab;10
40;0;1;2;ab;4;3;7;5;6;15;ab;13;11;12;ab;8;ab;9;16;14;17;ab;ab;ab;10
41;0;1;2;ab;4;3;7;5;6;15;ab;13;11;12;ab;8;ab;9;16;14;17;ab;ab;ab;10
42;0;1;2;ab;4;3;7;5;6;15;ab;13;11;12;ab;8;ab;9;16;14;17;ab;ab;ab;10
43;0;1;2;ab;4;3;7;5;6;15;ab;13;11;12;ab;8;ab;9;16;14;17;ab;ab;ab;10
44;0;1;2;ab;4;3;6;5;7;15;ab;13;11;12;ab;8;ab;9;16;14;17;ab;ab;ab;10
45;0;1;2;ab;4;3;6;5;13;15;ab;12;10;11;ab;7;ab;8;16;14;17;ab;ab;ab;9
46;0;1;2;ab;4;3;6;5;12;15;ab;13;10;11;ab;7;ab;8;16;14;17;ab;ab;ab;9
47;0;1;2;ab;4;3;6;5;12;15;ab;13;10;11;ab;7;ab;8;16;14;17;ab;ab;ab;9
48;0;1;2;ab;4;3;6;5;12;15;ab;13;10;11;ab;7;ab;8;17;14;16;ab;ab;ab;9
49;0;1;2;ab;4;3;6;5;12;15;ab;13;10;11;ab;7;ab;8;ab;14;16;ab;ab;ab;9
50;0;1;2;ab;4;3;6;5;11;15;ab;13;10;12;ab;7;ab;8;ab;14;16;ab;ab;ab;9
51;0;1;2;ab;4;3;6;5;10;15;ab;12;11;13;ab;7;ab;8;ab;14;16;ab;ab;ab;9
52;0;1;2;ab;4;3;6;5;9;14;ab;12;11;15;ab;7;ab;8;ab;13;16;ab;ab;ab;10
53;0;1;2;ab;4;3;6;5;8;14;ab;12;11;15;ab;7;ab;9;ab;13;16;ab;ab;ab;10
54;0;1;2;ab;4;3;6;5;7;14;ab;12;11;15;ab;8;ab;9;ab;13;16;ab;ab;ab;10
55;0;1;2;ab;4;3;6;5;7;14;ab;12;11;15;ab;8;ab;9;ab;13;16;ab;ab;ab;10
56;0;1;2;ab;4;3;6;5;7;13;ab;12;11;15;ab;8;ab;9;ab;14;16;ab;ab;ab;10
57;0;1;2;ab;4;3;6;5;7;13;ab;12;11;14;ab;8;ab;9;ab;15;16;ab;ab;ab;10
58;0;1;2;ab;4;3;6;5;7;13;ab;12;11;14;ab;8;ab;9;ab;16;15;ab;ab;ab;10
59;0;1;2;ab;4;3;6;5;7;13;ab;12;11;14;ab;8;ab;9;ab;16;15;ab;ab;ab;10
60;0;1;2;ab;4;3;6;5;7;13;ab;12;11;14;ab;8;ab;9;ab;16;15;ab;ab;ab;10
