;sc;HUL;VET;WEB;HAM;ALO;BAR;KUB;MSC;MAS;PET;BUT;KOB;ROS;ALG;HEI;LIU;GLO;TRU;BUE;KOV;DGR;SUT;KLI;SEN
0;0;3;1;2;5;4;7;6;10;8;22;9;13;11;14;12;16;18;19;15;17;20;21;24;23
1;0;3;1;2;5;4;7;6;10;8;21;9;15;11;13;12;16;18;19;14;17;22;20;24;23
2;0;3;1;2;5;4;7;6;9;8;20;10;15;11;13;12;16;18;21;14;17;22;19;24;23
3;0;3;1;2;5;4;7;6;9;8;20;10;15;11;13;12;16;19;21;14;17;22;18;24;23
4;0;3;1;2;5;4;7;6;9;8;19;10;15;11;13;12;16;20;21;14;18;22;17;24;23
5;0;3;1;2;5;4;7;6;9;8;18;10;15;11;13;12;16;20;21;14;19;22;17;24;23
6;0;4;1;2;5;3;7;6;9;8;18;10;15;11;13;12;16;20;21;14;19;22;17;24;23
7;0;4;1;2;5;3;7;6;9;8;18;10;15;11;13;12;16;20;21;14;19;22;17;24;23
8;0;4;1;2;5;3;7;6;9;8;18;10;15;11;13;12;16;20;21;14;19;22;17;24;23
9;0;4;1;2;5;3;7;6;9;8;18;10;15;11;13;12;16;20;21;14;19;22;17;24;23
10;0;4;1;2;5;3;7;6;9;8;18;13;15;10;12;11;16;20;21;14;19;22;17;24;23
11;0;4;1;2;5;3;7;6;8;11;17;18;14;9;12;10;15;20;21;13;19;22;16;24;23
12;0;4;1;2;5;3;10;6;7;19;16;17;13;8;11;9;14;20;21;12;18;22;15;24;23
13;0;6;1;2;4;3;17;8;5;23;15;16;12;7;9;11;13;19;20;10;18;21;14;24;22
14;0;14;1;2;4;3;17;15;5;23;12;13;8;6;9;16;10;19;20;7;18;21;11;24;22
15;0;13;1;2;4;3;17;14;5;23;10;12;8;6;16;15;11;20;19;7;18;21;9;24;22
16;0;12;1;2;4;3;16;13;5;20;11;10;8;6;15;14;17;23;18;7;19;21;9;24;22
17;0;12;1;2;4;3;16;13;5;19;11;10;7;6;15;14;17;23;18;8;22;20;9;24;21
18;0;10;1;2;4;3;15;11;5;19;13;8;7;6;14;12;17;23;18;16;22;20;9;24;21
19;0;10;1;2;4;3;14;11;6;18;17;8;7;5;13;12;16;23;19;15;22;20;9;24;21
20;0;10;1;2;6;3;14;11;9;18;17;7;5;4;13;12;16;23;22;15;21;19;8;24;20
21;0;10;1;2;6;3;14;11;9;17;18;7;5;4;13;12;16;23;22;15;21;19;8;24;20
22;0;10;1;2;6;3;14;11;9;17;18;7;5;4;13;12;16;23;22;15;21;19;8;24;20
23;0;10;1;2;6;3;14;11;9;17;18;7;5;4;13;12;16;23;21;15;20;19;8;24;22
24;0;10;2;1;6;3;14;11;9;17;18;7;5;4;13;12;16;22;21;15;20;19;8;24;23
25;0;10;2;1;5;3;14;11;9;17;18;7;6;4;13;12;16;22;21;15;20;19;8;24;23
26;0;10;1;2;4;3;14;11;9;17;18;6;5;7;13;12;16;22;21;15;19;20;8;24;23
27;0;10;1;2;4;3;14;11;9;17;18;6;5;7;13;12;16;21;20;15;19;22;8;24;23
28;0;10;1;2;4;3;14;11;9;17;18;6;5;7;13;12;16;21;20;15;19;23;8;24;22
29;0;10;1;2;4;3;14;11;9;17;18;5;6;7;13;12;16;21;20;15;19;23;8;24;22
30;0;10;1;2;4;3;14;11;9;16;18;5;6;7;13;12;17;21;20;15;19;23;8;24;22
31;0;10;1;2;4;3;14;11;9;16;18;5;6;7;13;12;17;21;20;15;19;23;8;24;22
32;0;10;1;2;4;3;14;11;9;16;18;5;6;7;13;12;17;21;20;15;19;23;8;24;22
33;0;10;1;2;4;3;18;11;9;15;17;5;6;7;13;12;16;21;20;14;19;23;8;24;22
34;0;10;1;2;4;3;18;11;9;15;17;5;6;7;13;12;16;21;20;14;19;23;8;24;22
35;0;10;1;2;4;3;18;11;9;15;17;5;6;7;13;12;16;21;20;14;19;23;8;24;22
36;0;10;1;2;4;3;18;11;9;15;17;5;6;7;13;12;16;21;20;14;19;23;8;24;22
37;0;10;1;2;4;3;18;11;9;15;17;5;6;7;13;12;16;21;20;14;19;23;8;24;22
38;0;10;1;2;4;3;18;11;9;15;17;5;7;6;13;12;16;21;20;14;19;23;8;24;22
39;0;10;1;2;4;3;18;11;9;15;17;5;7;6;13;12;16;21;20;14;19;23;8;24;22
40;0;10;1;2;4;3;18;11;9;15;17;5;7;6;13;12;16;21;20;14;19;24;8;23;22
41;0;10;1;2;4;3;18;11;9;15;17;5;7;6;13;12;16;21;20;14;19;24;8;23;22
42;0;10;1;2;4;3;18;11;9;15;17;5;7;6;13;12;16;21;20;14;19;24;8;23;22
43;0;10;1;2;4;3;18;11;9;15;17;5;7;6;13;12;16;21;20;14;19;24;8;23;22
44;0;10;1;2;4;3;18;11;9;15;17;5;7;6;13;12;16;21;20;14;19;24;8;23;22
45;0;10;1;2;4;3;18;11;9;15;17;5;7;6;13;12;16;21;20;14;19;24;8;23;22
46;0;10;1;2;4;3;18;11;9;15;17;5;7;6;13;12;16;21;20;14;19;24;8;23;22
47;0;10;1;2;4;3;18;11;9;15;17;5;7;6;13;12;16;21;20;14;19;24;8;23;22
48;0;9;1;2;4;3;18;10;8;14;17;5;15;6;12;11;16;21;20;13;19;24;7;23;22
49;1;9;1;2;4;3;17;10;7;15;16;5;14;6;11;13;ab;20;19;12;18;23;8;22;21
50;1;8;1;2;4;3;17;9;7;15;16;5;12;6;10;14;ab;20;19;11;18;23;13;22;21
51;1;8;1;2;4;3;17;9;6;15;16;5;12;7;10;14;ab;20;19;11;18;23;13;22;21
52;1;8;1;2;4;3;17;9;6;15;16;5;12;7;10;14;ab;20;19;11;18;23;13;22;21
53;1;8;1;2;4;3;17;9;6;15;16;5;12;7;10;14;ab;20;19;11;18;23;13;22;21
54;1;8;1;2;4;3;17;9;6;15;16;5;11;7;10;14;ab;20;19;12;18;23;13;22;21
55;0;8;1;2;4;3;17;9;7;14;16;5;11;6;10;15;ab;20;19;12;18;23;13;22;21
56;0;8;1;2;4;3;17;9;7;13;16;5;11;6;10;15;ab;20;19;12;18;23;14;22;21
57;0;8;1;2;4;3;17;9;7;13;16;5;11;6;10;15;ab;20;19;12;18;23;14;22;21
58;0;8;1;2;4;3;17;9;7;15;16;5;11;6;10;14;ab;20;19;12;18;23;13;22;21
59;0;8;1;2;4;3;17;9;7;15;16;5;11;6;10;14;ab;20;19;12;18;23;13;22;21
60;0;8;1;2;4;3;17;9;7;15;16;5;11;6;10;14;ab;20;19;13;18;23;12;22;21
61;0;8;1;2;4;3;17;9;7;15;16;5;11;6;10;14;ab;20;19;13;18;23;12;22;21
62;0;8;1;2;4;3;17;9;7;15;16;5;11;6;10;14;ab;20;19;13;18;nc;12;22;21
63;0;8;1;2;4;3;16;9;7;14;15;5;10;6;11;17;ab;20;19;13;18;nc;12;22;21
64;0;8;1;2;4;3;16;9;7;14;15;5;10;6;11;17;ab;20;19;13;18;nc;12;22;21
65;0;8;1;2;4;3;16;9;7;14;15;5;10;6;11;17;ab;20;19;13;18;nc;12;ab;21
66;0;8;1;2;4;3;16;9;7;14;15;5;10;6;11;17;ab;20;19;13;18;nc;12;ab;21
