;sc;VET;HAM;ALO;BUT;WEB;MAS;BAR;MSC;ROS;PET;KUB;KOB;SUT;HEI;HUL;LIU;ALG;BUE;TRU;KOV;GLO;DGR;SEN;KLI
0;1;1;2;4;3;5;6;7;ab;8;11;12;9;10;13;15;ab;17;14;18;16;19;21;20;22
1;1;1;2;4;3;5;6;7;ab;17;18;10;8;9;11;13;ab;19;12;15;14;16;20;21;22
2;1;1;2;4;3;5;6;7;ab;17;18;10;8;9;11;13;ab;19;12;15;14;16;20;21;22
3;1;1;2;4;3;5;6;7;ab;17;18;10;8;9;11;13;ab;19;12;15;14;16;20;21;22
4;1;1;2;4;3;5;6;7;ab;16;18;10;8;9;11;13;ab;19;12;15;14;17;20;21;22
5;0;1;2;4;3;5;6;7;ab;14;17;9;8;10;11;13;ab;18;12;16;15;19;20;21;22
6;0;1;2;4;3;5;6;7;ab;14;16;9;8;10;11;13;ab;18;12;17;15;19;20;21;22
7;0;1;2;4;3;5;6;7;ab;14;15;9;8;10;11;13;ab;17;12;18;16;19;20;21;22
8;0;1;2;4;3;5;6;7;ab;13;15;9;8;10;11;14;ab;16;12;18;17;19;20;21;22
9;0;1;2;4;3;5;6;7;ab;13;15;9;8;10;11;14;ab;16;12;18;17;19;20;21;22
10;0;1;2;4;3;6;5;7;ab;13;15;9;8;10;11;14;ab;16;12;18;17;19;20;21;22
11;0;1;2;4;3;16;5;6;ab;12;14;8;7;9;10;13;ab;15;11;18;17;19;20;21;22
12;0;1;2;4;3;16;5;6;ab;12;14;8;7;9;10;13;ab;15;11;18;17;19;20;21;22
13;0;1;2;4;3;14;16;5;ab;11;13;7;6;8;9;12;ab;15;10;18;17;19;20;21;22
14;0;1;2;4;3;14;16;5;ab;11;13;7;6;8;9;12;ab;15;10;18;17;19;20;21;22
15;0;1;2;12;3;13;15;4;ab;9;11;6;5;7;16;10;ab;14;8;18;17;19;20;21;22
16;0;1;2;12;3;13;15;4;ab;9;11;6;5;7;16;10;ab;14;8;18;17;19;20;21;22
17;0;1;2;12;3;13;15;6;ab;9;11;5;4;7;16;10;ab;14;8;18;17;19;20;21;22
18;0;1;2;11;3;12;14;16;ab;8;10;5;4;6;15;9;ab;13;7;18;17;19;20;21;22
19;0;1;2;11;3;12;14;16;ab;8;10;5;4;6;15;9;ab;13;7;18;17;19;20;21;22
20;0;1;2;11;3;12;14;16;ab;8;10;5;4;6;15;9;ab;13;7;18;17;19;20;21;22
21;0;1;2;11;3;12;14;16;ab;8;10;5;4;6;15;9;ab;13;7;18;17;19;20;21;22
22;0;1;2;11;3;12;14;16;ab;8;10;5;4;6;15;9;ab;13;7;18;17;19;20;21;22
23;0;1;5;11;2;12;14;16;ab;8;10;4;3;6;15;9;ab;13;7;18;17;19;20;21;22
24;0;2;5;11;1;12;14;16;ab;8;10;3;4;6;15;9;ab;13;7;18;17;19;20;21;22
25;0;2;4;11;1;12;14;16;ab;8;10;3;5;6;15;9;ab;13;7;18;17;19;20;21;22
26;0;2;4;11;1;12;14;16;ab;8;10;3;5;6;15;9;ab;13;7;18;17;19;20;21;22
