;sc;VET;WEB;ALO;ROS;BUT;HAM;MAS;KUB;MSC;SUT;BAR;ALG;BUE;PET;KOB;HUL;DLR;LIU;GLO;TRU;KOV;DGR;SEN;CHA
0;1;3;2;1;4;5;6;7;9;8;15;12;18;ab;10;ab;17;11;ab;np;13;14;20;16;19
1;1;5;2;1;3;4;11;8;6;12;13;14;15;ab;7;ab;18;9;ab;np;16;10;20;17;19
2;1;15;11;6;1;2;14;12;3;13;8;9;10;ab;4;ab;17;5;ab;np;16;7;20;18;19
3;0;14;10;4;1;2;12;11;3;15;5;8;9;ab;7;ab;16;6;ab;np;17;13;20;18;19
4;0;14;7;8;1;2;13;10;3;17;5;12;9;ab;6;ab;16;4;ab;np;15;11;20;18;19
5;0;15;9;12;1;2;16;10;3;11;7;14;6;ab;5;ab;19;4;ab;np;13;8;20;17;18
6;0;11;10;17;1;2;12;15;3;8;9;13;6;ab;5;ab;18;4;ab;np;14;7;20;16;19
7;0;9;10;15;1;2;11;13;3;7;8;12;5;ab;4;ab;17;ab;ab;np;14;6;19;16;18
8;0;9;11;14;1;2;10;13;3;6;8;12;5;ab;4;ab;17;ab;ab;np;15;7;ab;16;18
9;0;9;11;14;1;2;10;13;3;6;7;12;5;ab;4;ab;16;ab;ab;np;15;8;ab;17;18
10;0;9;10;14;1;2;7;13;3;6;8;12;5;ab;4;ab;15;ab;ab;np;16;11;ab;17;18
11;0;7;8;14;1;2;6;13;3;5;9;12;10;ab;4;ab;15;ab;ab;np;16;11;ab;17;18
12;0;7;8;13;1;2;6;12;3;5;9;11;10;ab;4;ab;15;ab;ab;np;16;14;ab;17;18
13;0;7;8;13;1;2;6;11;3;5;9;12;10;ab;4;ab;15;ab;ab;np;16;14;ab;17;18
14;0;7;8;13;1;2;6;11;3;5;9;12;10;ab;4;ab;15;ab;ab;np;16;14;ab;17;18
15;0;7;8;13;1;2;5;11;3;6;9;12;10;ab;4;ab;15;ab;ab;np;16;14;ab;17;18
16;0;6;8;13;1;2;5;11;3;7;9;12;10;ab;4;ab;15;ab;ab;np;17;14;ab;16;18
17;0;6;8;12;1;2;5;11;3;7;10;13;9;ab;4;ab;15;ab;ab;np;18;14;ab;16;17
18;0;6;8;11;2;1;5;12;3;7;10;13;9;ab;4;ab;15;ab;ab;np;18;14;ab;16;17
19;0;6;8;10;2;1;5;12;3;7;9;11;13;ab;4;ab;15;ab;ab;np;18;14;ab;16;17
20;0;8;6;10;2;1;7;12;3;5;9;11;15;ab;4;ab;14;ab;ab;np;18;13;ab;16;17
21;1;8;6;10;2;1;7;12;3;5;9;11;15;ab;4;ab;14;ab;ab;np;18;13;ab;16;17
22;1;8;6;10;2;1;7;12;3;5;9;11;14;ab;4;ab;15;ab;ab;np;18;13;ab;16;17
23;1;8;6;10;2;1;7;12;3;5;9;11;14;ab;4;ab;15;ab;ab;np;18;13;ab;16;17
24;1;7;11;9;2;1;6;12;3;5;8;10;14;ab;4;ab;15;ab;ab;np;18;13;ab;16;17
25;0;9;12;8;2;1;5;11;3;7;6;10;13;ab;4;ab;16;ab;ab;np;18;14;ab;15;17
26;0;8;12;7;2;1;4;11;3;9;6;10;13;ab;5;ab;15;ab;ab;np;ab;14;ab;16;17
27;0;8;12;7;2;1;4;11;3;9;6;10;13;ab;5;ab;15;ab;ab;np;ab;14;ab;16;17
28;0;8;12;6;2;1;3;11;4;9;7;10;13;ab;5;ab;15;ab;ab;np;ab;14;ab;16;17
29;0;7;12;6;2;1;3;10;4;9;8;11;13;ab;5;ab;15;ab;ab;np;ab;14;ab;16;17
30;0;7;11;6;2;1;3;10;4;9;8;12;13;ab;5;ab;15;ab;ab;np;ab;14;ab;16;17
31;0;7;11;6;2;1;3;10;4;9;8;12;13;ab;5;ab;15;ab;ab;np;ab;14;ab;16;17
32;0;6;11;5;2;1;3;10;4;9;8;12;13;ab;7;ab;15;ab;ab;np;ab;14;ab;16;17
