;sc;WEB;KUB;VET;MAS;HAM;ROS;MSC;BUT;BAR;LIU;HUL;SUT;BUE;PET;DLR;KOB;ALG;KOV;TRU;GLO;DGR;SEN;CHA;ALO
0;1;1;3;2;4;5;8;7;11;6;9;ab;10;12;13;14;15;16;17;19;18;20;21;22;23
1;1;1;3;2;4;5;8;7;11;6;9;ab;10;12;13;14;15;16;17;19;18;20;23;21;22
2;1;1;3;2;4;5;8;7;ab;6;9;ab;10;11;12;13;14;15;16;18;17;19;22;20;21
3;1;1;3;2;4;5;8;7;ab;6;9;ab;10;11;12;13;14;15;16;18;17;19;22;20;21
4;1;1;3;2;4;5;8;7;ab;6;9;ab;10;11;12;13;14;15;16;18;17;19;22;20;21
5;1;1;3;2;4;5;8;7;ab;6;9;ab;10;11;12;13;14;15;16;18;17;19;22;21;20
6;0;1;3;2;4;5;8;7;ab;6;9;ab;10;11;12;13;14;15;16;18;17;19;22;21;20
7;0;1;3;2;4;5;8;7;ab;6;9;ab;10;11;12;13;14;15;16;18;17;19;22;21;20
8;0;1;3;2;4;5;8;7;ab;6;9;ab;10;11;12;13;14;15;16;18;17;19;22;21;20
9;0;1;3;2;4;5;8;7;ab;6;9;ab;10;11;12;13;14;15;16;18;17;20;22;21;19
10;0;1;3;2;4;5;8;7;ab;6;9;ab;10;11;12;13;14;15;16;19;17;20;22;21;18
11;0;1;3;2;4;5;8;7;ab;6;9;ab;10;11;12;13;14;15;16;19;17;20;22;21;18
12;0;1;3;2;4;5;8;7;ab;6;9;ab;10;11;12;13;14;15;16;19;17;20;22;21;18
13;0;1;3;2;4;5;8;7;ab;6;9;ab;10;11;12;13;14;15;16;19;18;20;22;21;17
14;0;1;3;2;4;5;8;7;ab;6;9;ab;10;11;12;13;14;15;16;19;18;20;22;21;17
15;0;1;3;2;4;5;8;7;ab;6;9;ab;10;11;12;13;14;15;17;19;18;20;22;21;16
16;0;1;3;2;4;15;7;6;ab;5;8;ab;9;10;11;12;13;14;17;19;18;20;22;21;16
17;0;1;3;2;4;15;7;6;ab;5;8;ab;9;10;11;12;13;14;17;19;18;20;22;21;16
18;0;1;3;2;8;12;4;14;ab;15;16;ab;5;6;7;9;10;11;17;19;18;20;21;22;13
19;0;1;3;2;9;11;4;13;ab;14;16;ab;5;15;6;7;8;10;17;19;18;20;21;22;12
20;0;1;5;2;8;9;3;11;ab;12;13;ab;4;15;14;6;7;17;16;19;18;20;21;22;10
21;0;1;4;3;6;7;2;9;ab;11;12;ab;10;13;14;ab;5;16;15;18;17;19;20;21;8
22;0;1;4;3;6;7;2;9;ab;11;12;ab;10;13;14;ab;5;16;15;17;ab;18;19;20;8
23;0;1;4;3;6;7;2;9;ab;11;12;ab;10;13;14;ab;5;16;15;17;ab;18;19;20;8
24;0;1;4;3;6;7;2;9;ab;11;12;ab;10;13;14;ab;5;16;15;17;ab;19;18;20;8
25;0;1;4;3;5;7;2;9;ab;11;12;ab;10;13;14;ab;6;16;15;19;ab;ab;17;18;8
26;0;1;4;3;5;6;2;8;ab;10;11;ab;9;12;13;ab;ab;15;14;18;ab;ab;16;17;7
27;0;1;3;2;4;5;6;8;ab;10;11;ab;9;12;13;ab;ab;14;15;18;ab;ab;16;17;7
28;0;1;3;2;4;5;8;7;ab;10;11;ab;9;12;13;ab;ab;14;15;18;ab;ab;16;17;6
29;0;1;3;2;4;5;8;7;ab;10;11;ab;9;12;14;ab;ab;13;15;18;ab;ab;16;17;6
30;1;1;3;2;4;5;8;7;ab;ab;10;ab;9;11;13;ab;ab;12;14;17;ab;ab;15;16;6
31;1;1;3;2;4;5;8;7;ab;ab;10;ab;9;11;13;ab;ab;12;14;17;ab;ab;15;16;6
32;1;1;3;2;4;5;8;7;ab;ab;10;ab;9;11;13;ab;ab;12;14;17;ab;ab;15;16;6
